VariableName,name,giftType,award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
Defaults,,0,{},1,1,1,20990101,<ma;in;ph;en;vn;th>,<20160101;20990101>
VariableName,name,0 (code rieng) or 1  (code chung),award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
1,MANGAOP/CROSSOBT,1,{card={id=721};gold=9999999;rmb=1999;519=30;902= 30;603=30;942=1;501=30},1,1,1,,,
2,MANGAWAR/CROSSTH,1,{card={id=9002};rmb=1999;925=1;6059=1;100=30;500=1;945=1;16=30},1,2,1,,,
3,MANGA888/CROSSHERO,1,{card={id=3543};rmb=1999;502=50;519=30;6050=2;19=30;851=500;850=500},1,3,1,,,
4,VIP999/CROSSOMG,1,{card={id=9003};rmb=1999;521=50;519=30;452=500;451=500;2103=50;500=1},1,4,1,,,
5,SIGNUP99,1,{card={id=9002};rmb=1999;521=20;519=20;902=50;5000=500;930=100},1,5,1,,,
6,CODETESTKHONGMO,1,{500=3;gold=999999;rmb=4999;502=50},1,6,1,,,
7,MANGAWAR888,1,{rmb=1999;502=30;519=20;500=1;850=200;851=200;902=50;5000=999},1,7,1,,,
8,FREESS0608,1,{card={id=701};rmb=1999;500=1;2152=1;501=20;9061=100;13=50},1,8,1,,,
,,,,,,,,,
,,,,,,,,,
100,Hagtag,0,{gold=999999;rmb=1999;519=20;502=20;851=200;850=200;500=1},1,100,1,20250814,<en>,
1001,Đoán Tướng,0,{gold=999999;rmb=1999;501=10;521=10;451=200;452=200;5000=500;2103=20},1,1001,1,20250814,<en>,
1002,Code đoán hình,0,{gold=999999;rmb=1999;502=20;521=10;451=200;452=200;5000=500;2103=20},1,1002,1,20250816,<en>,
10001,TINHTOAN,0,{gold=999999;rmb=1999;502=20;521=10;851=200;500=2;16=20;902=30},1,10001,1,20250820,<en>,
10002,DoanhManh,0,{gold=999999;rmb=1999;502=20;521=10;603=20;501=10;500=2;451=200},1,10002,1,20250821,<en>,
10003,Đoán Tướng 2,0,{gold=999999;rmb=1999;501=10;521=10;451=200;452=200;5000=500;2103=20},1,10003,1,20250826,<en>,
10004,DoanhManh 2,0,{gold=999999;rmb=1999;502=20;521=10;603=20;501=10;500=2;451=200},1,10004,1,20250830,<en>,
10005,TINHTOAN 2,0,{gold=999999;rmb=1999;502=20;521=10;851=200;500=2;16=20;902=30},1,10005,1,20250831,<en>,
10006,DOANTUONG3,0,{gold=999999;rmb=1999;501=10;521=10;451=200;452=200;5000=500;2103=20},1,10006,1,20250905,<en>,
