VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_th,name_in,name_ph,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_th,desc_in,desc_ph,type,feature,taskType,taskParam,taskDesc_cn,taskDesc_tw,taskDesc,taskDesc_vn,taskDesc_ma,taskDesc_en,taskDesc_th,taskDesc_in,taskDesc_ph,res,icon,award,items,goto
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""",0,9999,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,{},<>,
成就ID,名字,名字,名字_越南,名字_越南,名字_越南,名字_越南,名字_越南,名字_越南,名字_越南,描述,描述,描述_越南,描述_越南,描述_越南,描述_越南,描述_越南,描述_越南,描述_越南,类型（1：奖励 2：任务）,功能key(对应unlock的feature字段),任务类型,任务参数,任务描述,任务描述,任务描述_越南,任务描述_越南,任务描述_越南,任务描述_越南,任务描述_越南,任务描述_越南,任务描述_越南,右侧大资源图,icon资源,奖励,道具,跳转目标
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,randomTower
1,,,Hard stage,Màn chơi khó khăn,Peringkat sukar,Hard stage,ด่านความยาก,Tahap sulit,Mahirap na yugto,,,"Brand new difficulty, new challenge  ","Toàn bộ độ khó mới, thách thức mới.","Kesukaran baru sepenuhnya, cabaran baru  ","Brand new difficulty, new challenge  ",ความยากใหม่ทั้งหมด ความท้าทายใหม่  ,"Tingkat kesulitan baru, tantangan baru  ","Bagong antas ng kahirapan, bagong hamon  ",,heroGate,,,,,,,,,,,,config/grow_guide/hard.jpg,city/levelup/grow_guide_1.png,{rmb=20;gold=10000},<5000;gold>,20000
2,,,Difficult stage,Màn khó khăn,Peringkat sukar,Difficult stage,ด่านยาก,Tahap sulit,Yugto ng kahirapan,,,"Completely fresh, new challenge  ","Hoàn toàn mới mẻ, thách thức mới.","Serba baru, cabaran baru  ","Completely fresh, new challenge  ",สดใหม่ทั้งหมด ความท้าทายใหม่  ,"Sepenuhnya baru, tantangan baru  ","Ganap na bago, bagong hamon  ",2,heroGate,30,50,,,Challenge difficult stages 50 times  ,Thử thách ải khó 50 lần,Cabaran peringkat sukar sebanyak 50 kali  ,Challenge difficult stages 50 times  ,ท้าทายด่านยาก 50 ครั้ง  ,Tantang tahap sulit sebanyak 50 kali  ,Subukin ang 50 beses na mahirap na yugto  ,config/grow_guide/hard.jpg,city/levelup/grow_guide_2.png,{rmb=20;gold=10000},<5000;gold>,20000
3,,,Arena,Đấu trường,Arena,Arena,อารีน่า,Arena,Arena,,,"Meet in narrow path, the brave wins  ","Hẹp đường gặp nhau, dũng sĩ thắng.","Bertemu di lorong sempit, pahlawan menang  ","Meet in narrow path, the brave wins  ",เจอกันในทางแคบ ผู้กล้าชนะ  ,"Bertemu di jalan sempit, pahlawan menang  ","Nagtagpo sa makitid na daan, ang matapang ang nanalo  ",,arena,,,,,,,,,,,,config/grow_guide/arena.jpg,city/levelup/grow_guide_3.png,{rmb=20;gold=10000},<coin1>,arena
4,,,Arena,Đấu trường,Arena,Arena,อารีน่า,Arena,Arena,,,"Meet in narrow path, the brave wins  ","Hẹp đường gặp nhau, dũng sĩ thắng.","Bertemu di lorong sempit, pahlawan menang  ","Meet in narrow path, the brave wins  ",เจอกันในทางแคบ ผู้กล้าชนะ  ,"Bertemu di jalan sempit, pahlawan menang  ","Nagtagpo sa makitid na daan, ang matapang ang nanalo  ",2,arena,41,20,,,Fight in the Arena 20 times  ,Thách đấu đấu trường 20 lần,Bertarung di arena sebanyak 20 kali  ,Fight in the Arena 20 times  ,ท้าประลองในอารีน่า 20 ครั้ง  ,Bertarung di Arena sebanyak 20 kali  ,Makipaglaban sa Arena ng 20 beses  ,config/grow_guide/arena.jpg,city/levelup/grow_guide_4.png,{rmb=20;gold=10000},<coin1>,arena
5,,,Daily mission,Nhiệm vụ hàng ngày,Misi harian,Daily mission,ภารกิจประจำวัน,Misi harian,Araw-araw na misyon,,,"Easy challenge, high rewards  ","Dễ dàng thử thách, nhận phần thưởng cao.","Cabaran mudah, ganjaran tinggi  ","Easy challenge, high rewards  ",ท้าทายง่าย รับรางวัลสูง  ,"Tantangan mudah, hadiah tinggi  ","Madaling hamon, mataas na gantimpala  ",,activityGate,,,,,,,,,,,,config/grow_guide/daily.jpg,city/levelup/grow_guide_5.png,{rmb=20;gold=10000},<gold;12;13;602;603>,activityGate
6,,,Daily activity,Hoạt động thường ngày,Aktiviti harian,Daily activity,กิจกรรมประจำวัน,Aktivitas harian,Araw-araw na aktibidad,,,"Easy challenge, big rewards  ","Thử thách dễ dàng, nhận phần thưởng lớn","Cabaran mudah, ganjaran besar  ","Easy challenge, big rewards  ",ท้าทายง่าย รับรางวัลใหญ่  ,"Tantangan mudah, hadiah besar  ","Madaling hamon, malaking gantimpala  ",2,activityGate,32,10,,,Challenge daily dungeons 10 times  ,Thách thức 10 lần phó bản hàng ngày,Cabaran dungeon harian sebanyak 10 kali  ,Challenge daily dungeons 10 times  ,ท้าทายดันเจี้ยนประจำวัน 10 ครั้ง  ,Tantang dungeon harian sebanyak 10 kali  ,Hamunin ang pang-araw-araw na dungeon ng 10 beses ,config/grow_guide/daily.jpg,city/levelup/grow_guide_6.png,{rmb=20;gold=10000},<gold;12;13;602;603>,activityGate
7,,,Path of growth,Con đường trưởng thành,Jalan pertumbuhan,Path of growth,เส้นทางการเติบโต,Jalur pertumbuhan,Landas ng paglago,,,"Endless journey, march forward bravely  ","Vô hạn chinh đồ, dũng mãnh tiến lên.","Jalan tanpa batas, mara dengan gagah  ","Endless journey, march forward bravely  ",ไม่มีที่สิ้นสุด มุ่งไปข้างหน้าอย่างกล้าหาญ  ,"Perjalanan tanpa batas, maju dengan berani  ","Walang hanggan ang landas, sumulong nang buo  ",,endlessTower,,,,,,,,,,,,config/grow_guide/endless.jpg,city/levelup/grow_guide_7.png,{rmb=20;gold=10000},<451;452;19;gold>,endlessTower
9,,,Guild,Công hội,Persatuan,Guild,สมาคม,Guild,Guild,,,"Join a guild, find like-minded friends  ","Tham gia hội, tìm kiếm những người bạn cùng chí hướng.","Sertai guild, cari rakan sefikiran  ","Join a guild, find like-minded friends  ",เข้าร่วมกิลด์ ค้นหาเพื่อนร่วมอุดมการณ์  ,"Gabung guild, cari teman satu visi  ","Sumali sa guild, humanap ng mga kaparehong layunin  ",,union,,,,,,,,,,, ,config/grow_guide/union.jpg,city/levelup/grow_guide_9.png,{rmb=20;gold=10000},<coin3>,union
