VariableName,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_vn,weatherDesc_en,weatherDesc_th,weatherDesc_in,weatherDesc_ph,weatherDesc_ma,palce,palce_vn,palce_en,palce_th,palce_in,palce_ph,palce_ma,placeDesc,placeDesc_vn,placeDesc_en,placeDesc_th,placeDesc_in,placeDesc_ph,placeDesc_ma,specialEff,specialEffDesc,specialEffDesc_vn,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_th,specialEffDesc_in,specialEffDesc_ph,specialEffDesc_ma
Defaults,,FALSE,,,0,1,<>,6,1,0,0,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,"""""","""""","""""","""""","""""","""""","""""",""""""
ID,备注,是否NPC,道馆ID,难度(NPC不配),权重(NPC不配),上阵类型 1=常规 2=单挑 3=车轮,上阵限制属性(NPC不配),上阵限制数量,上阵队伍数量（只对车轮）,上次记录可跳过,历史记录可跳过,是否配置完,是否配置完,weatherDesc_vn,weatherDesc_en,weatherDesc_th,weatherDesc_in,weatherDesc_ph,weatherDesc_ma,场地,palce_vn,palce_en,palce_th,palce_in,palce_ph,palce_ma,场地描述,场地描述,placeDesc_en,placeDesc_th,placeDesc_in,placeDesc_ph,placeDesc_ma,specialEff<<<nauture;nauture>;属性;+/-;val>>,特殊效果描述补充,specialEffDesc_vn,特殊效果描述补充,specialEffDesc_en,specialEffDesc_th,specialEffDesc_in,specialEffDesc_ph,specialEffDesc_ma
80001,,,1,1,1,,,,,,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ","Bão cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่)  ,"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)  ","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)  ","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)  ",,,,,,,,,,,,,,,<<<13>;1;0;5%>;<<13>;9;0;50%>>,,,,,,,,
80002,,,1,1,1,,,,,,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ","Bão cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่)  ,"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)  ","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)  ","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)  ",,,,,,,,,,,,,,,<<<9>;1;0;5%>;<<9>;9;0;5%>>,,,,,,,,
80003,,,1,1,1,,,,,,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ","Bão cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)  ",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่)  ,"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)  ","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)  ","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)  ",,,,,,,,,,,,,,,<<<13>;1;0;5%>;<<13>;9;0;10%>>,,,,,,,,
80004,,,1,1,,,,,,,,,All spirit beasts not belonging to the ice type receive ice elemental damage at the end of each major round and have a 10% chance to be frozen for 2 turns  ,Tất cả linh thú không thuộc hệ băng nhận sát thương nguyên tố băng vào cuối mỗi vòng lớn và có 10% xác suất bị Đóng băng trong 2 lượt,All spirit beasts not belonging to the ice type receive ice elemental damage at the end of each major round and have a 10% chance to be frozen for 2 turns  ,สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทน้ำแข็งจะได้รับความเสียหายธาตุน้ำแข็งเมื่อสิ้นสุดแต่ละรอบใหญ่และมีโอกาส 10% ที่จะถูกแช่แข็งเป็นเวลา 2 เทิร์น  ,Semua hewan roh yang bukan tipe es menerima kerusakan elemen es di akhir setiap putaran besar dan memiliki peluang 10% untuk membeku selama 2 giliran  ,Lahat ng spirit beast na hindi kabilang sa ice type ay tumatanggap ng ice elemental damage sa pagtatapos ng bawat malaking round at may 10% tsansa na ma-freeze sa loob ng 2 turn  ,Semua haiwan roh yang bukan jenis ais menerima kerosakan unsur ais pada akhir setiap pusingan utama dan mempunyai peluang 10% untuk dibekukan selama 2 pusingan  ,,,,,,,,,,,,,,,,,,,,,,,
80005,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80011,,,1,2,1,,,,,,,,"Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)","Bão cát (Tăng phòng thủ vật lý cho linh thú hệ đá, tất cả linh thú không thuộc hệ đất và đá có khả năng bị Mù vào cuối mỗi vòng lớn)","Sandstorm (Increases physical defense for stone-type spirit beasts, all spirit beasts not belonging to earth and stone types have a chance to be blinded at the end of each major round)",พายุทราย (เพิ่มการป้องกันทางกายภาพสำหรับสัตว์วิญญาณประเภทหิน สัตว์วิญญาณทั้งหมดที่ไม่ใช่ประเภทดินและหินมีโอกาสถูกทำให้ตาบอดเมื่อสิ้นสุดแต่ละรอบใหญ่),"Badai Pasir (Meningkatkan pertahanan fisik untuk hewan roh tipe batu, semua hewan roh yang bukan tipe tanah dan batu memiliki kemungkinan untuk buta di akhir setiap putaran besar)","Bagyong Buhangin (Nagpapataas ng pisikal na depensa para sa mga spirit beast na uri ng bato, lahat ng spirit beast na hindi kabilang sa uri ng lupa at bato ay may pagkakataong mabulag sa pagtatapos ng bawat malaking round)","Badai Pasir (Meningkatkan pertahanan fizikal untuk haiwan roh jenis batu, semua haiwan roh yang bukan jenis tanah dan batu mempunyai kemungkinan untuk buta pada akhir setiap pusingan utama)",,,,,,,,,,,,,,,<<<9;13>;1;0;6%>;<<9;13>;17;0;500>>,,,,,,,,
80012,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<9>;1;0;6%>;<<9>;14;0;1000>>,"/n#L10#Moles are quite shy; if there are many people, they will not dare to appear#L0#","/n#L10#Chuột Chũi khá nhút nhát, nếu đông người chúng sẽ không dám xuất hiện#L0#",,"/n#L10#Moles are quite shy; if there are many people, they will not dare to appear#L0#",/n#L10#ตุ่นค่อนข้างขี้อาย ถ้ามีคนเยอะพวกมันจะไม่กล้าออกมา#L0#,"/n#L10#Tikus mondok cukup pemalu, jika banyak orang mereka tidak akan berani muncul#L0#","/n#L10#Ang mga mole ay medyo mahiyain; kung maraming tao, hindi sila mangahas na lumitaw#L0#",/n#L10#Tikus mondok agak pemalu; jika ramai orang mereka tidak berani muncul#L0#
