VariableName,treeID,depth,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,iconRate,preTalentIDs,preLevel,costID,levelUp,effectType,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,desc_cn,desc_tw,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
Defaults,,,加成详情,加成详情,加成详情,加成详情,加成详情,加成详情,加成详情,加成详情,加成详情,city/drawcard/draw/icon_jbc1.png,1,<>,10,,10,,,0,<>,0,<>,0,<>,"""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,天赋页id,天赋深度,名称,名称,名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,天赋icon,icon大小修正,前置天赋id,前置天赋等级要求,消耗序列id,等级上限,效果类型(1-属性，2-技能),技能id,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,效果描述,效果描述,效果描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
101,1,1,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj_1.png,,,,1,5,1,,7,<2%;4%;6%;8%;10%>,8,<2%;4%;6%;8%;10%>,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s bonus to double attacks.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ tăng %s đòn tấn công kép","In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s bonus to double attacks.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดในการต่อสู้จะได้รับโบนัสการโจมตีสองครั้งเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan dalam pertempuran akan mendapatkan bonus serangan ganda sebesar %s.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakakuha ng %s dagdag na double attack.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan mendapat bonus serangan berganda sebanyak %s."
102,1,2,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj1.png,,<101>,2,2,5,1,,22,<300;600;900;1200;1500>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will receive an additional %s damage boost.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ được tăng thêm %s sát thương","In battles between non-player characters in this server’s territory, all heroes in the battle will receive an additional %s damage boost.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับโบนัสความเสียหายเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan menerima tambahan %s kerusakan.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakatanggap ng dagdag na %s na pinsala.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan menerima tambahan %s kerosakan."
103,1,2,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj2.png,,<101>,2,2,5,1,,7,<3%;6%;9%;12%;15%>,8,<3%;6%;9%;12%;15%>,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s bonus to double attacks.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ tăng %s đòn tấn công kép","In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s bonus to double attacks.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับโบนัสการโจมตีสองครั้งเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan dalam pertempuran akan mendapatkan bonus serangan ganda sebesar %s.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakakuha ng %s dagdag na double attack.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan mendapat bonus serangan berganda sebanyak %s."
104,1,3,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj1.png,,<102>,2,3,5,1,,14,<400;800;1200;1600;2000>,,,,,,,"In battles between non-player characters in our territory, all heroes in the battle will have a %s increased critical chance.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của chúng tôi, tất cả các anh hùng tham gia trận chiến sẽ có %s cơ hội chí mạng tăng lên","In battles between non-player characters in our territory, all heroes in the battle will have a %s increased critical chance.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเรา ฮีโร่ทั้งหมดจะมีโอกาสคริติคอลเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah kami, semua pahlawan akan memiliki peluang kritis meningkat sebesar %s.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa aming teritoryo, lahat ng bayani ay magkakaroon ng %s dagdag na critical chance.","Dalam pertempuran antara watak bukan pemain di wilayah kami, semua wira akan mempunyai peluang kritikal meningkat sebanyak %s."
105,1,3,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj2.png,,<102;103>,2,3,5,1,,22,<400;800;1200;1600;2000>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will receive an additional %s special damage bonus.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ được tăng thêm %s phần thưởng sát thương đặc biệt","In battles between non-player characters in this server’s territory, all heroes in the battle will receive an additional %s special damage bonus.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับโบนัสความเสียหายพิเศษเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan menerima tambahan %s kerusakan spesial.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakatanggap ng %s dagdag na special damage.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan menerima tambahan %s kerosakan istimewa."
106,1,3,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj3.png,,<103>,2,3,5,1,,29,<1000;1500;2000;2500;3000>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s attribute restriction increase.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ tăng %s hạn chế thuộc tính","In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s attribute restriction increase.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับการเพิ่มข้อจำกัดคุณสมบัติ %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan mendapatkan peningkatan batas atribut sebesar %s.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakakuha ng %s dagdag sa limitasyon ng katangian.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan mendapat peningkatan sekatan atribut sebanyak %s."
107,1,4,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj1.png,,<104>,3,4,5,1,,15,<1000;1500;2000;2500;3000>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will receive an additional %s critical damage.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ, tất cả các anh hùng trong trận chiến sẽ được tăng thêm %s sát thương chí mạng","In battles between non-player characters in this server’s territory, all heroes in the battle will receive an additional %s critical damage.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับโบนัสความเสียหายคริติคอลเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan menerima tambahan %s kerusakan kritis.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakatanggap ng %s dagdag na critical damage.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan menerima tambahan %s kerosakan kritikal."
108,1,4,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj2.png,,<104;105>,3,4,5,1,,18,<3000;4000;5000;6000;8000>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will have a %s break resistance rate.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ có tỷ lệ kháng phá vỡ %s","In battles between non-player characters in this server’s territory, all heroes in the battle will have a %s break resistance rate.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะมีอัตราต้านทานการเจาะเกราะ %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan memiliki tingkat resistensi break sebesar %s.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay magkakaroon ng %s break resistance rate.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan mempunyai kadar rintangan pecah sebanyak %s."
109,1,4,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj3.png,,<105;106>,3,4,5,1,,11,<10%;16%;22%;28%;34%>,12,<10%;16%;22%;28%;34%>,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s double defense and ignore bonus.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ tăng %s phòng thủ gấp đôi và bỏ qua","In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s double defense and ignore bonus.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับโบนัสป้องกันสองเท่าและการละเว้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan mendapatkan %s pertahanan ganda dan bonus pengabaian.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakakuha ng %s dagdag na double defense at ignore.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan mendapat %s pertahanan berganda dan abaikan bonus."
110,1,4,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj4.png,,<106>,3,4,5,1,,29,<2000;2500;3000;3500;5000>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s attribute restriction increase.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ tăng %s hạn chế thuộc tính","In battles between non-player characters in this server’s territory, all heroes in the battle will gain a %s attribute restriction increase.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นภายในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดจะได้รับการเพิ่มข้อจำกัดคุณสมบัติ %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan akan mendapatkan peningkatan batas atribut sebesar %s.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa loob ng teritoryo ng server na ito, lahat ng bayani ay makakakuha ng %s dagdag sa limitasyon ng katangian.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira akan mendapat peningkatan sekatan atribut sebanyak %s."
111,1,5,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj.png,,<107;108>,3,5,5,2,63001,,,,,,,,,"The first special skill will definitely be a critical hit, and critical damage will temporarily increase by $(20 + skill level * 4)$%.","Chiêu thức đặc biệt đầu tiên chắc chắn sẽ chí mạng, và sát thương chí mạng sẽ tạm thời tăng thêm $(20+cấp độ kỹ năng*4)$%","The first special skill will definitely be a critical hit, and critical damage will temporarily increase by $(20 + skill level * 4)$%.",สกิลพิเศษครั้งแรกจะต้องเป็นคริติคอลอย่างแน่นอน และความเสียหายคริติคอลจะเพิ่มขึ้นชั่วคราว $(20 + ระดับสกิล * 4)$%,"Skill khusus pertama pasti akan menjadi serangan kritis, dan kerusakan kritis akan meningkat sementara sebesar $(20 + level skill * 4)$%.","Ang unang espesyal na kakayahan ay siguradong magiging critical hit, at ang critical damage ay pansamantalang tataas ng $(20 + antas ng kasanayan * 4)$%.","Kemahiran istimewa pertama pasti akan menjadi serangan kritikal, dan kerosakan kritikal akan meningkat sementara sebanyak $(20 + tahap kemahiran * 4)$%."
112,1,5,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj.png,,<108;109>,3,5,5,2,63002,,,,,,,,,"At the start of the first round of battle, gain an additional $(250 + skill level * 70)$ fury.",Bắt đầu vòng đầu tiên của trận chiến và nhận thêm $(250+cấp độ kỹ năng*70)$ cơn thịnh nộ,"At the start of the first round of battle, gain an additional $(250 + skill level * 70)$ fury.",ในช่วงเริ่มต้นรอบแรกของการต่อสู้ จะได้รับความโกรธเพิ่มขึ้นอีก $(250 + ระดับสกิล * 70)$,"Pada awal ronde pertama pertempuran, dapatkan tambahan $(250 + level skill * 70)$ amarah.","Sa simula ng unang round ng laban, makakakuha ng dagdag na $(250 + antas ng kasanayan * 70)$ na galit.","Pada permulaan pusingan pertama pertempuran, dapatkan tambahan $(250 + tahap kemahiran * 70)$ kemarahan."
113,1,5,,,Output Bonus,Tiền thưởng đầu ra,Output Bonus,โบนัสการโจมตี,Bonus Serangan,Bonus sa Opensa,Bonus Serangan,config/card_ability/icon_gj.png,,<109;110>,3,5,5,2,63003,,,,,,,,,"Permanently increase damage per attack by $(5 + skill level * 2)$%, stackable up to 15 stacks.","Tăng vĩnh viễn sát thương mỗi đòn tấn công lên $(5+cấp độ kỹ năng*2)$%, có thể cộng dồn thêm 15 ngăn xếp","Permanently increase damage per attack by $(5 + skill level * 2)$%, stackable up to 15 stacks.",เพิ่มความเสียหายต่อการโจมตีถาวร $(5 + ระดับสกิล * 2)$% สามารถสะสมได้สูงสุด 15 ชั้น,"Secara permanen tingkatkan kerusakan per serangan sebesar $(5 + level skill * 2)$%, dapat ditumpuk hingga 15 tumpukan.","Permanenteng taasan ang damage bawat atake ng $(5 + antas ng kasanayan * 2)$%, maaaring ma-stack hanggang 15 na stack.","Tingkatkan kerosakan setiap serangan secara kekal sebanyak $(5 + tahap kemahiran * 2)$%, boleh ditimbun sehingga 15 timbunan."
201,2,1,,,Defense Bonus,Tiền thưởng phòng thủ,Defense Bonus,โบนัสการป้องกัน,Bonus Pertahanan,Bonus sa Depensa,Bonus Pertahanan,config/card_ability/icon_fy_1.png,,,,1,5,1,,9,<4%;8%;12%;16%;20%>,10,<4%;8%;12%;16%;20%>,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will gain %s double defense.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ tăng %s phòng thủ gấp đôi","In battles between non-player characters in this server’s territory, all heroes in the battle will gain %s double defense.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดในการต่อสู้จะได้รับการป้องกันสองเท่าเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan dalam pertempuran akan mendapatkan %s pertahanan ganda.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa teritoryo ng server na ito, lahat ng bayani sa laban ay magkakaroon ng %s dobleng depensa.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira dalam pertempuran akan mendapat %s pertahanan berganda."
202,2,2,,,Defense Bonus,Tiền thưởng phòng thủ,Defense Bonus,โบนัสการป้องกัน,Bonus Pertahanan,Bonus sa Depensa,Bonus Pertahanan,config/card_ability/icon_fy1.png,,<201>,2,2,5,1,,1,<3%;6%;9%;12%;15%>,,,,,,,"In battles between non-player characters in this server’s territory, all heroes in the battle will have %s increased maximum health.","Trong các trận chiến giữa những người không phải là người chơi trong lãnh thổ của máy chủ này, tất cả các anh hùng trong trận chiến sẽ có % máu tối đa tăng lên","In battles between non-player characters in this server’s territory, all heroes in the battle will have %s increased maximum health.",ในการต่อสู้ระหว่างตัวละครที่ไม่ใช่ผู้เล่นในอาณาเขตของเซิร์ฟเวอร์นี้ ฮีโร่ทั้งหมดในการต่อสู้จะมีพลังชีวิตสูงสุดเพิ่มขึ้น %s,"Dalam pertempuran antara karakter non-pemain di wilayah server ini, semua pahlawan dalam pertempuran akan memiliki %s peningkatan kesehatan maksimum.","Sa mga laban sa pagitan ng mga hindi manlalarong karakter sa teritoryo ng server na ito, lahat ng bayani sa laban ay magkakaroon ng %s dagdag sa maximum na buhay.","Dalam pertempuran antara watak bukan pemain di wilayah pelayan ini, semua wira dalam pertempuran akan mempunyai %s peningkatan kesihatan maksimum."
