VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,showIcon1,showIcon2,showIcon3,nature,talentMaxLevel,talentIDs,awakeMaxLevel,awakeCostSeqID,preTalentLevel,awakeTalentAttrs,attrType1,attrNum1,attrType2,attrNum2,guardIDs,preBadgeID,preBadgeType,preLevel
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""",,,,<>,50,<>,20,,<>,<>,,<>,,<>,<>,,1,
ID,徽章名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,徽章icon,精灵徽章icon1,精灵徽章icon2,精灵徽章icon3,属性系,天赋最大等级,天赋id,觉醒最大等级,觉醒消耗序列,觉醒所需天赋等级,觉醒后天赋属性加成,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2,守护精灵位id,前置徽章id,徽章解锁类型（1=觉醒，2=精神点亮）,前置解锁等级
1,Soul of the Earth Nation  ,Linh Hồn Đất Quốc,Soul of the Earth Nation  ,จิตวิญญาณแห่งชาติธาตุดิน  ,Jiwa Bangsa Tanah  ,Kaluluwa ng Bansang Lupa  ,Roh Negara Tanah  ,city/develop/gym_badge/badge/icon_bagua_kangua.png,city/develop/gym_badge/icon_bing1.png,city/develop/gym_badge/icon_bing2.png,city/develop/gym_badge/icon_l3.png,<9;13>,100,<11;12;13;14;15;16>,,1,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<11;12;13;14;15;16>,,,
2,Soul of the Water Nation  ,Linh Hồn Nước Quốc,Soul of the Water Nation  ,จิตวิญญาณแห่งชาติธาตุน้ำ  ,Jiwa Bangsa Air  ,Kaluluwa ng Bansang Tubig  ,Roh Negara Air  ,city/develop/gym_badge/badge/icon_bagua_gengua.png,city/develop/gym_badge/icon_shui1.png,city/develop/gym_badge/icon_shui2.png,city/develop/gym_badge/icon_lq2.png,<3;6>,100,<21;22;23;24;25;26>,,2,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<21;22;23;24;25;26>,,,
3,Soul of the Wind Nation  ,Linh Hồn Gió Quốc,Soul of the Wind Nation  ,จิตวิญญาณแห่งชาติธาตุลม  ,Jiwa Bangsa Angin  ,Kaluluwa ng Bansang Hangin  ,Roh Negara Angin  ,city/develop/gym_badge/badge/icon_bagua_zhengua.png,city/develop/gym_badge/icon_cao1.png,city/develop/gym_badge/icon_cao2.png,city/develop/gym_badge/icon_lv.png,<1;4;10>,100,<41;42;43;44;45;46>,,4,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<41;42;43;44;45;46>,,,
4,Soul of the Fire Nation  ,Linh Hồn Lửa Quốc,Soul of the Fire Nation  ,จิตวิญญาณแห่งชาติธาตุไฟ  ,Jiwa Bangsa Api  ,Kaluluwa ng Bansang Apoy  ,Roh Negara Api  ,city/develop/gym_badge/badge/icon_bagua_duigua.png,city/develop/gym_badge/icon_huo1.png,city/develop/gym_badge/icon_huo2.png,city/develop/gym_badge/icon_huang.png,<2;7>,100,<31;32;33;34;35;36>,,3,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<31;32;33;34;35;36>,,,
5,Soul of the Thunder Nation  ,Linh Hồn Sấm Quốc,Soul of the Thunder Nation  ,จิตวิญญาณแห่งชาติสายฟ้า  ,Jiwa Bangsa Petir  ,Kaluluwa ng Bansang Kidlat  ,Roh Negara Kilat  ,city/develop/gym_badge/badge/icon_bagua_ligua.png,city/develop/gym_badge/icon_long1.png,city/develop/gym_badge/icon_long2.png,city/develop/gym_badge/icon_lq1.png,<5;15>,100,<51;52;53;54;55;56>,,5,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<51;52;53;54;55;56>,1,2,10
6,Soul of the Dark Nation  ,Linh Hồn Ma Quốc,Soul of the Dark Nation  ,จิตวิญญาณแห่งชาติความมืด  ,Jiwa Bangsa Kegelapan  ,Kaluluwa ng Bansang Kadiliman  ,Roh Negara Kegelapan  ,city/develop/gym_badge/badge/icon_bagua_kungua.png,city/develop/gym_badge/icon_e1.png,city/develop/gym_badge/icon_e2.png,city/develop/gym_badge/icon_hei.png,<14;16>,100,<61;62;63;64;65;66>,,6,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<61;62;63;64;65;66>,2,2,10
7,Soul of the Iron Nation  ,Linh Hồn Sắt Quốc,Soul of the Iron Nation  ,จิตวิญญาณแห่งชาติธาตุเหล็ก  ,Jiwa Bangsa Besi  ,Kaluluwa ng Bansang Bakal  ,Roh Negara Besi  ,city/develop/gym_badge/badge/icon_bagua_xungua.png,city/develop/gym_badge/icon_du1.png,city/develop/gym_badge/icon_du2.png,city/develop/gym_badge/icon_zi.png,<8;12;17>,100,<71;72;73;74;75;76>,,7,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,92,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<71;72;73;74;75;76>,3,2,10
8,Soul of the Storm Nation,Linh Hồn Xoáy Quốc,Soul of the Storm Nation,จิตวิญญาณแห่งชาติพายุหมุน,Jiwa Bangsa Pusaran,Kaluluwa ng Bansang Ipo-ipo,Roh Negara Pusaran,city/develop/gym_badge/badge/icon_bagua_qiangua.png,city/develop/gym_badge/icon_yao1.png,city/develop/gym_badge/icon_yao2.png,city/develop/gym_badge/icon_hong.png,<11;18>,100,<81;82;83;84;85;86>,,8,<5;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100>,<2.0%;4.0%;6.0%;8.0%;10.0%;12.0%;14.0%;16.0%;18.0%;20.0%;22.0%;24.0%;26.0%;28.0%;30.0%;32.0%;34.0%;36.0%;38.0%;40.0%>,93,<10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180;190;200>,,,<81;82;83;84;85;86>,4,2,10
