VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,quality,exclusiveCards,itemsShow,languages,stackShow,strengthMax,strengthSeqID,advanceMax,advanceSeqID,advanceLvLimit,universalItems,attrTypes,attrNumRates,viceAttrRate,strengthAttrSeq,advanceAttrSeq,effect1,effect1LevelAdvSeq,effect2,effect2LevelAdvSeq,rebirthRMB,heldItemExp,fragID,produceGate1,produceGate2,produceGate3,produceDesc_cn,produceDesc_tw,produceDesc,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,effect,effectCardID
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",3,<>,TRUE,<cn;tw;en;vn;th;kr;in;ma;ph>,199,100,1,7,1,<>,<>,<1;13;7;9;8;10>,,0.5,1,1,0,<>,0,<>,10,0,0,"""""","""""","""""",可通过特殊运营活动获得,可通過特殊運營活動獲得,Can be obtained by drawing cards from accessories,Can be obtained by drawing cards from accessories,Can be obtained by drawing cards from accessories,Can be obtained by drawing cards from accessories,Can be obtained by drawing cards from accessories,Can be obtained by drawing cards from accessories,Can be obtained by drawing cards from accessories,{drawcard=false;gain=false},<>
ID,名称,名称,名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,图标,品质,专属卡牌<markID;>,控制道具是否显示,语言区域,显示每组的堆叠上限,最大强化等级,强化序列ID,最大进阶突破上限,进阶突破序列ID,突破强化等级限制,进阶万能道具,基础属性类型,基础属性整体修正,副携带属性比例,强化加成序列ID,突破加成序列ID,携带效果1,携带效果1等级突破序列,携带效果2,携带效果2等级突破序列,重生消耗钻石,携带道具增加经验,碎片ID（对应合成的碎片）,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,前三個都沒就讀描述,前三個都沒就讀描述,produceDesc_vn,produceDesc_en,produceDesc_th,produceDesc_in,produceDesc_ph,produceDesc_ma,分别表示在抽卡，恭喜获得,effectCardID
30101,,,Dice  ,Xúc Xắc,Dice  ,ลูกเต๋า  ,Dadu  ,Dice  ,Dadu  ,config/item/xddj/icon_touzi_30101.png,2,,,,,80,2,9,,<5;10;15;20;25;30;50;60;80>,<2151>,,<1.1;0.9;1;1;1;1>,,2,2,1,<0;1;2;3;4;5;6;7;8;9>,,,2,90,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30102,,,Broken Mysterious Seal  ,Ấn Ký Bí Ẩn Bị Vỡ,Broken Mysterious Seal  ,ผนึกปริศนาแตก  ,Segel Misterius Pecah  ,Broken Seal of Mystery  ,Meterai Misteri Pecah  ,config/item/xddj/icon_jieduji_30102.png,2,,,,,80,2,9,2,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1.1;1;1;1>,,2,2,3,<0;1;2;3;4;5;6;7;8;9>,,,2,90,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30103,,,Hood  ,Khăn Trùm Đầu,Hood  ,ผ้าคลุมศีรษะ  ,Penutup Kepala  ,Head Cover  ,Kain Penutup Kepala  ,config/item/xddj/icon_fangdumianju_30103.png,2,,,,,80,2,9,3,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1;1;1;1.1>,,2,2,5,<0;1;2;3;4;5;6;7;8;9>,,,2,90,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30104,,,Combat Potion  ,Dược Chiến Đấu,Combat Potion  ,น้ำยาในการต่อสู้  ,Ramuan Pertempuran  ,Battle Potion  ,Ramuan Pertempuran  ,config/item/xddj/icon_qibaofu_30104.png,2,,,,,80,2,9,4,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1;1;1.1;1>,,2,2,7,<0;1;2;3;4;5;6;7;8;9>,,,2,90,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30105,,,Hat  ,Mũ,Hat  ,หมวก  ,Topi  ,Hat  ,Topi  ,config/item/xddj/icon_qibaoqiu_30105.png,2,,,,,80,2,9,5,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;0.9;1;1.1;1;1>,,2,2,9,<0;1;2;3;4;5;6;7;8;9>,,,2,90,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30106,,,Ring  ,Nhẫn,Ring  ,แหวน  ,Cincin  ,Ring  ,Cincin  ,config/item/xddj/icon_qianben_30106.png,2,,,,,80,2,9,6,<5;10;15;20;25;30;50;60;80>,<2151>,,<1;1;1;1;1;1>,,2,2,11,<0;1;2;3;4;5;6;7;8;9>,,,2,90,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
30107,,,!!!Abandoned 1,!!!Bị bỏ rơi 1,!!!Abandoned 1,!!!Abandoned 2,!!!Abandoned 3,!!!Abandoned 4,!!!Abandoned 5,config/item/icon_qzdlq.png,2,,FALSE,<cn>,,60,2,9,,<5;10;15;20;25;30;50;60;80>,,,<1;1;1;1;1;1>,,2,2,1,<0;1;2;3;4;5;6;7;8;9>,,,,90,,,,,,,,,,,,,,,
30201,,,Detector Set  ,Bộ Dò Tìm,Detector Set  ,ชุดตรวจจับ  ,Peralatan Detektor  ,Detector Set  ,Set Pengesan  ,config/item/xddj/icon_xiujian_30201.png,,,,,,80,3,9,7,<5;10;15;20;25;30;50;60;80>,<2151>,,<1.05;0.9;1;1.05;1;1>,,3,3,15,<0;1;2;3;4;5;6;7;8;9>,,,5,150,,,,,,,Can be obtained through jewelry card draw  ,Có thể nhận được thông qua rút thẻ trang sức,Can be obtained through jewelry card draw  ,สามารถรับได้จากการสุ่มบัตรเครื่องประดับ  ,Dapat diperoleh melalui undian kartu perhiasan  ,Makakakuha sa pamamagitan ng jewelry card draw  ,Boleh diperoleh melalui cabutan kad barang kemas  ,,
