VariableName,name,name_tw,name_en,name_vn,name_th,name_in,name_ph,name_ma,type,classify,attrAdd,stackMax,theme,icon,res,startResScale,attr,interactivityAttr,roleActionDatas,size,touchSize,relSize,startPos,position,quality,currentNum,languages
Defaults,,,,,,,,,,-1,{},1,0,,,1,{},{},{},{width=1; height=1},{width=1;height=1;off={offWidth=0;offHeight=0}},{width=1;height=1;off={offWidth=0;offHeight=0}},{x=0; y=0;x2=0;y2=0},5,5,FALSE,<cn;in;tw;en;en_zd;vn;kr;th;ma;ph>
ID,名字,名字,名字,name_vn,name_th,name_in,name_ph,name_ma,类型（0、主题，1、地板，2、墙壁，3、家具，4、壁画，5角色）,加成类型标记，-1-全 0-防 1-攻 2-技,属性加成,最大数量,主题（0：没有主题）,图标,资源,初始资源缩放倍率,属性（1、flip 是否可翻转，2、初始位于左面 left，3、初始位于右面right 4、可交互interactivity5、可行走walk）,交互属性5、交互动作名interactivityName 6、interactivityID 可以交互的英雄id7、interactFurnName交互时家具要播放的动作名 8、off={x;y},数码兽交互动作的数据,所占空间(格子为单位),点击响应范围,主要是用于墙上物品绘制选中范围,初始位置偏移量,位置，用于调整顺序,品质,用于数量显示为当前/当前,语言区域
50001,简易地板,簡易地板,Simple Floor,Sàn đơn giản,พื้นเรียบง่าย  ,Lantai Sederhana  ,Simpleng Sahig  ,Lantai Ringkas  ,1,,,,,city/homeland/home/icon/floor/default100.png,home/floor1000.tmx,,{maxNum=30;k=0.5;minScale=0.4;maxScale=0.9},,,{x=6;wallHeight=5;y=6;width=12;height=12},,,{x2=-440;y2=-15;y=-15;x=-440},6,,TRUE,
50002,湖蓝格子,湖藍格子,Lake Blue Plaid,Ô vuông xanh biển,กระเบื้องลายตารางสีน้ำเงิน  ,Ubin Kotak Biru Laut  ,Ocean Blue na Parisukat na Tile  ,Jubin Petak Biru Laut  ,1,,{7=305},,2,city/homeland/home/icon/floor/grid101.png,home/floor1010.tmx,,{maxNum=30;k=0.5;minScale=0.4;maxScale=0.9},,,{x=6;wallHeight=5;y=6;width=12;height=12},,,{x2=-440;y2=-15;y=-15;x=-440},,,,
50003,绿茵地板,綠茵地板,Green Floor,Sàn cỏ xanh,พื้นหญ้าสีเขียว  ,Lantai Rumput Hijau  ,Berde na Sahig ng Damo  ,Lantai Rumput Hijau  ,1,,{1=1975},,1,city/homeland/home/icon/floor/green102.png,home/floor1020.tmx,,{maxNum=30;k=0.5;minScale=0.4;maxScale=0.9},,,{x=6;wallHeight=5;y=6;width=12;height=12},,,{x2=-440;y2=-15;y=-15;x=-440},,,,
50004,沙滩地板,沙灘地板,Sand Floor,Sàn cát biển,พื้นทรายชายหาด  ,Lantai Pasir Pantai  ,Sahig na Buhangin sa Baybayin  ,Lantai Pasir Pantai  ,1,,{8=115},,3,city/homeland/home/icon/floor/floor400.png,home/floor1030.tmx,,{maxNum=30;k=0.5;minScale=0.4;maxScale=0.9},,,{x=6;wallHeight=5;y=6;width=12;height=12},,,{x2=-440;y2=-15;y=-15;x=-440},4,,,
50005,圣诞地板,聖誕地板,Christmas Floor,Ván Sàn Noel,พื้นไม้คริสต์มาส  ,Lantai Kayu Natal  ,Kahoy na Sahig ng Pasko  ,Lantai Kayu Krismas  ,1,,{7=305},,4,city/homeland/home/icon/floor/theme4.png,home/floor1040.tmx,,{maxNum=30;k=0.5;minScale=0.4;maxScale=0.9},,,{x=6;wallHeight=5;y=6;width=12;height=12},,,{x2=-440;y2=-15;y=-15;x=-440},3,,,
51001,简易墙纸,簡易牆紙,Simple Wallpaper,Giấy dán tường đơn giản,วอลเปเปอร์เรียบง่าย  ,Wallpaper Sederhana  ,Simpleng Wallpaper  ,Kertas Dinding Ringkas  ,2,,,,,city/homeland/home/icon/wall/qiangYello.png,home/wall2000.tmx,,,,,{width=12;height=5},,,,6,,TRUE,
51002,湖蓝墙纸,湖藍牆紙,Lake Blue Wallpaper,Giấy dán tường xanh biển,วอลเปเปอร์สีน้ำเงินทะเล  ,Wallpaper Biru Laut  ,Ocean Blue na Wallpaper  ,Kertas Dinding Biru Laut  ,2,,{8=115},,2,city/homeland/home/icon/wall/qiang.png,home/wall2010.tmx,,,,,{width=12;height=5},,,,,,,
51003,和风墙纸,和風牆紙,Zephyr Wallpaper,Giấy dán tường dịu dàng,วอลเปเปอร์โทนอ่อน  ,Wallpaper Lembut  ,Banayad na Wallpaper  ,Kertas Dinding Lembut  ,2,,{7=245},,1,city/homeland/home/icon/wall/qiangdefault.png,home/wall2020.tmx,,,,,{width=12;height=5},,,,,,,
51004,湛蓝墙纸,湛藍牆紙,Azure Wallpaper,Giấy dán tường xanh đậm,วอลเปเปอร์สีน้ำเงินเข้ม  ,Wallpaper Biru Tua  ,Madilim na Asul na Wallpaper  ,Kertas Dinding Biru Gelap  ,2,,{1=2430},,3,city/homeland/home/icon/wall/qm400.png,home/wall2030.tmx,,,,,{width=12;height=5},,,,4,,,
51005,圣诞墙纸,聖誕牆紙,Christmas Wallpaper,Giấy Tường Noel,วอลเปเปอร์คริสต์มาส  ,Wallpaper Natal  ,Wallpaper ng Pasko  ,Kertas Dinding Krismas  ,2,,{8=115},,4,city/homeland/home/icon/wall/theme4.png,home/wall2040.tmx,,,,,{width=12;height=5},,,,3,,,
52001,双人床,雙人床,Double Bed,Giường đôi,เตียงคู่  ,Tempat Tidur Ganda  ,Dobleng Kama  ,Katil Berkembar  ,3,0,{1=6385},,2,city/homeland/home/icon/furniture/bed.png,city/homeland/home/item/furniture/bed.png,0.8,{interactivityTime=300;flip=True;interactivity=True},{interactivityName=sleep_loop;off={y=70;x=-15}},,{width=4;height=3},{height=3;width=4;off={offHeight=1;offWidth=2}},{height=3;width=4;off={offHeight=1;offWidth=2}},{y=25;x=-300},,,,
52002,冰箱,冰箱,Refrigerator,Tủ lạnh,ตู้เย็น  ,Kulkas  ,Refrigerator  ,Peti Sejuk  ,3,1,{8=275},,2,city/homeland/home/icon/furniture/bingxiang.png,city/homeland/home/item/furniture/bingxiang.png,,{flip=True},,,{width=2;height=2},{height=2;width=2;off={offHeight=3;offWidth=3}},{height=2;width=2;off={offHeight=3;offWidth=3}},{y=14;x=-125},,,,
52003,搬家纸箱,搬家紙箱,Carton,Hộp giấy chuyển nhà,กล่องกระดาษย้ายของ  ,Kotak Kardus Pindahan  ,Kahon ng Paglipat  ,Kotak Pindah  ,3,0,{1=2335},3,2,city/homeland/home/icon/furniture/box.png,city/homeland/home/item/furniture/box.png,,{flip=True},,,{width=2;height=1},{height=1;width=2;off={offHeight=2;offWidth=2}},{height=1;width=2;off={offHeight=2;offWidth=2}},{y=0;x=-160},,,,
52004,立式地灯,立式地燈,Vertical Floor Lamp,Đèn cây,โคมไฟตั้งพื้น  ,Lampu Lantai  ,Lampara sa Sahig  ,Lampu Lantai  ,3,1,{1=1645},4,1,city/homeland/home/icon/furniture/deng.png,city/homeland/home/item/furniture/deng.png,,{flip=True},,,,{height=1;width=1;off={offHeight=2;offWidth=2}},{height=1;width=1;off={offHeight=2;offWidth=2}},{y=20;x=-40},,,,
