VariableName,beginDate,beginTime,endDate,endTime,clientParam,clientParam_kr,clientParam_en,clientParam_vn,clientParam_tw
Defaults,20160101,500,20250101,500,{},{},{},{},{}
ID,开始日期,开始时间,截止日期,截止时间,客户端需要参数,客户端需要参数,客户端需要参数,客户端需要参数,客户端需要参数
1,20200116,,20200214,,,,,,
2,20200426,,20200809,,,,,,
3,20200810,,20201027,,,,,,
4,20201028,,20201217,,,,,,
5,20201216,,20210101,,,,,,
6,20210102,,20210301,,,,,,
7,20210326,,20210405,,,,,,
8,20210501,,20210701,,,,,,
9,20210701,,20210901,,,,,,
10,20211025,,20211112,,,,,,
