VariableName,gateGroup,gateGroup_tw,gateGroup_en,gateGroup_kr,randomValue,markIDs,dropItems,date,cd
Defaults,<>,<>,<>,<>,100,<>,<>,<>,0
ID,包含关卡,包含关卡,包含关卡,包含关卡,随机权值,上阵阵容的markID,增值掉落道具,日期限制（周几）,冷却天数
1,<60301;60302;60303;60304;60305;60306;60307>,,<60301;60302;60303;60304;60305;60306;60307>,,,<163;242;333;503;593;603>,<<20163;1;100>;<20242;1;100>;<20333;1;100>;<20503;1;100>;<20593;1;100>;<20603;1;100>>,<1;2;3;4;5;6;7>,2
2,<60321;60322;60323;60324;60325;60326;60327>,,<60321;60322;60323;60324;60325;60326;60327>,,,<741;731;712;641;631;611>,<<20741;1;100>;<20731;1;100>;<20712;1;100>;<20641;1;100>;<20631;1;100>;<20611;1;100>>,<1;2;3;4;5>,2
3,<60341;60342;60343;60344;60345;60346;60347>,,<60341;60342;60343;60344;60345;60346;60347>,,200,<863;883;972;1071;1032;1082>,<<20863;1;100>;<20883;1;100>;<20972;1;100>;<21071;1;100>;<21032;1;100>;<21082;1;100>>,<4;5;6;7>,2
4,<60361;60362;60363;60364;60365;60366;60367>,,<60361;60362;60363;60364;60365;60366;60367>,,,<1612;1381;1303;1293;1253;1221>,<<21612;1;100>;<21381;1;100>;<21303;1;100>;<21293;1;100>;<21253;1;100>;<21221;1;100>>,<1;2;3;4;5;6;7>,2
5,<60381;60382;60383;60384;60385;60386;60387>,,<60381;60382;60383;60384;60385;60386;60387>,,,<1772;1813;1841;1903;1911;1931>,<<21772;1;100>;<21813;1;100>;<21841;1;100>;<21903;1;100>;<21911;1;100>;<21931;1;100>>,<5;6;7>,2
6,<60401;60402;60403;60404;60405;60406;60407>,,<60401;60402;60403;60404;60405;60406;60407>,,300,<3152;3003;2723;2242;2033;2023>,<<23152;1;100>;<23003;1;100>;<22723;1;100>;<22242;1;100>;<22033;1;100>;<22023;1;100>>,<6;7>,1
7,<60411;60412;60413;60414;60415;60416;60417>,,<60411;60412;60413;60414;60415;60416;60417>,,300,<3161;3181;3251;3543;3592;3663>,<<23161;1;100>;<23181;1;100>;<23251;1;100>;<23543;1;100>;<23592;1;100>;<23663;1;100>>,<1;2;3;4;5;6;7>,1
8,<60421;60422;60423;60424;60425;60426;60427>,,<60421;60422;60423;60424;60425;60426;60427>,,300,<631;972;1381;1841;2242;3003>,<<20631;1;100>;<20972;1;100>;<21381;1;100>;<21841;1;100>;<22242;1;100>;<23003;1;100>>,<1;2;3;4;5;6;7>,1
9,<60431;60432;60433;60434;60435;60436;60437>,,<60431;60432;60433;60434;60435;60436;60437>,,300,<1293;883;611;3152;163;631>,<<21293;1;100>;<20883;1;100>;<20611;1;100>;<23152;1;100>;<20163;1;100>;<20631;1;100>>,<1;2;3;4;5;6;7>,1
10,<60441;60442;60443;60444;60445;60446;60447>,,<60441;60442;60443;60444;60445;60446;60447>,,200,<1903;1381;1082;3161;741;883>,<<21903;1;100>;<21381;1;100>;<21082;1;100>;<23161;1;100>;<20741;1;100>;<20883;1;100>>,<1;2;3;4;5;6;7>,2
