VariableName,key,_beizhu,sortValue,waitTime,isActive
Defaults,"""""",,1,20,0
ID,触发key（唯一）,备注,优先级(大的优先),有效时长（min）,是否激活
1,drawCard,,5,,1
2,limitDrawCardUp,,,,1
3,drawHoldItem,,4,,1
4,capture,,3,,1
5,pvpTopRank,,8,,1
6,limitDrawCard,,6,,1
7,limitBox,,7,,1
8,randomTowerPass,,9,,1
9,endlessTowerPass,,10,,1
10,cardStar,,11,,1
11,fragCombCard,,12,,1
12,pvpTopRankLast,,12,,1
13,craftTopRank,,12,,1
14,cardInLimitCard,,12,,1
15,crossArenaTopRank,,12,,1
16,crossArenaTopHistoryRefresh,,12,,1
17,crossMineTopHistoryRefresh,,12,,1
18,serverLog,,13,,1
19,groupDrawCardUp,,2,,1
20,limitSkin,,2,,1
