VariableName,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames_vn,storyNames_tw,storyNames_en,weatherTypeId
Default,,,,<>,,FALSE,,,,1,1,1,1,1,1,stage/mgcb.csv,<>,<>,<>,<>,<>,<>,<>,
ID,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames,storyNames_tw,storyNames_en,weatherTypeId
1,10101,,1,<50402;50082;0;0;0;0>,,,,,,0.9,0.4,,,,,stage/fb/putongfuben/naruto_fb_1_1.csv,<<0;10001>;<1;1001>;<1;1021;2>;<2;1031;2>>,,,,,,,
2,10101,,2,<52013;0;52963;0;50044;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.4,4,4,2,2,stage/fb/putongfuben/naruto_fb_1_1.csv,<<1;1041;2>;<2;1051;2>>,,,,,,,
4,10102,,1,<50082;53772;50692;0;0;0>,,,,,,0.9,0.4,,,,,stage/fb/putongfuben/naruto_fb_1_2.csv,<<1;1101;1>>,,,,,,,
5,10102,,2,<50013;0;50493;0;71293;0>,<0;0;0;0;1;0>,TRUE,,,,1.1,0.4,1.4,1.4,1.4,1.4,stage/fb/putongfuben/naruto_fb_1_2.csv,<<1;1201;1>>,,,,,,,
7,10103,,1,<52633;53432;52612;0;53472;0>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_1_3.csv,<<1;1301;1>>,,,,,,,
8,10103,,2,<50053;61394;50402;0;80721;0>,<0;0;0;0;1;0>,TRUE,,,,1.7,,1.7,1.7,1.7,1.7,stage/fb/putongfuben/naruto_fb_1_3.csv,<<1;1401;1>>,,,,,,,
10,10104,,1,<53432;0;52013;0;53283;0>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_1_4.csv,,,,,,,,
11,10104,,2,<50793;50493;52963;0;82233;0>,<0;0;0;0;1;0>,TRUE,,,,1.7,,1.7,1.7,1.7,1.7,stage/fb/putongfuben/naruto_fb_1_4.csv,,,,,,,,
13,10105,,1,<53283;0;52683;52612;0;53472>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_1_5.csv,,,,,,,,
14,10105,,2,<0;0;0;0;81313;0>,<0;0;0;0;1;0>,TRUE,,,,2.5,,2.5,2.5,2.5,2.5,stage/fb/putongfuben/naruto_fb_1_5.csv,,,,,,,,
16,10201,,1,<50692;0;53342;50013;0;50793>,,,,,,1.3,,1.3,1.3,1.3,1.3,stage/fb/putongfuben/naruto_fb_2_1.csv,,,,,,,,
