VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,discountDesc_cn,discountDesc_tw,discountDesc,discountDesc_vn,discountDesc_th,discountDesc_in,limitType,limitTimes,showUnable
Defaults,,{},0,{rmb=0},0,1,0,20990101,0,<1;150>,"""""","""""","""""","""""","""""","""""",0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,折扣描述,折扣描述,折扣描述,折扣描述,折扣描述,折扣描述,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1001,,{5001=100;5003=100;5002=100},10,{gold=60000},,330,,,,<1;27>,,,0.2,,,,,,
1002,,{5004=100;5006=100;5005=100},10,{gold=60000},,330,,,,<1;39>,,,0.2,,,,,,
1003,,{5008=100;5009=100;5007=100},10,{gold=60000},,330,,,,<1;49>,,,0.2,,,,,,
1004,,{5011=100;5012=100;5010=100},10,{gold=72000},,330,,,,<28;59>,,,0.2,,,,,,
1005,,{5014=100;5015=100;5013=100},10,{gold=84000},,330,,,,<40;69>,,,0.2,,,,,,
1006,,{5016=100;5017=100;5018=100},10,{gold=96000},,330,,,,<50;79>,,,0.2,,,,,,
1007,,{5020=100;5019=100;5021=100},30,{gold=324000},,330,,,,<60;84>,,,0.2,,,,,,
1008,,{5022=100;5024=100;5023=100},40,{gold=480000},,330,,,,<70;99>,,,0.2,,,,,,
1009,,{5025=100;5027=100;5026=100},50,{gold=660000},,330,,,,<80;104>,,,0.2,,,,,,
1010,,{5029=100;5028=100;5030=100},60,{gold=960000},,330,,,,<85;109>,,,0.2,,,,,,
1011,,{5032=100;5033=100;5031=100},70,{gold=1316000},,330,,,,<95;114>,,,0.2,,,,,,
1012,,{5036=100;5034=100;5035=100},60,{gold=1104000},,330,,,,<100;119>,,,0.2,,,,,,
1013,,{5037=100;5038=100;5039=100},60,{gold=1120000},,330,,,,<105;124>,,,0.2,,,,,,
1014,,{5042=100;5041=100;5040=100},60,{gold=1152000},,330,,,,<110;129>,,,0.2,,,,,,
1015,,{5045=100;5044=100;5043=100},60,{gold=1200000},,330,,,,<115;134>,,,0.2,,,,,,
1016,,{5047=100;5046=100;5048=100},60,{gold=1264000},,330,,,,<120;139>,,,0.2,,,,,,
1101,,{622=100;619=100;616=100;607=100;613=100;610=100},8,{gold=120000},,1000,,,1,,,,,,,,,,
1102,,{622=100;619=100;616=100;607=100;613=100;610=100},8,{gold=96000},,500,,,1,,,,0.2,,,,,,
1103,,{622=100;619=100;616=100;607=100;613=100;610=100},8,{gold=24000},,300,,,1,,,,0.8,,,,,,
1201,,{502=100},5,{rmb=50},,100,,,3,,,,,,,,,,
1202,,{521=100},2,{rmb=150},,100,,,3,,,,,,,,,,
1211,,{502=100},5,{rmb=40},,50,,,3,,,,0.2,,,,,,
1212,,{521=100},2,{rmb=120},,50,,,3,,,,0.2,,,,,,
1301,,{5000=100},60,{rmb=300},,100,,,2,,,,,,,,,,
1302,,{5000=100},120,{rmb=600},,100,,,2,,,,,,,,,,
1311,,{5000=100},60,{rmb=240},,50,,,2,,,,0.2,,,,,,
1312,,{5000=100},120,{rmb=480},,50,,,2,,,,0.2,,,,,,
1502,,{5001=100;5003=100;5002=100},30,{rmb=150},,150,,,6,<1;27>,,,,,,,,,
1503,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,6,<1;39>,,,,,,,,,
1504,,{5004=100;5006=100;5005=100},30,{rmb=150},,150,,,6,<1;39>,,,,,,,,,
1505,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,6,<1;49>,,,,,,,,,
1506,,{5008=100;5009=100;5007=100},30,{rmb=150},,150,,,6,<1;49>,,,,,,,,,
1507,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,6,<28;59>,,,,,,,,,
1508,,{5011=100;5012=100;5010=100},30,{rmb=180},,150,,,6,<28;59>,,,,,,,,,
1509,,{5014=100;5015=100;5013=100},30,{rmb=210},,150,,,6,<40;69>,,,,,,,,,
1510,,{5014=100;5015=100;5013=100},60,{rmb=420},,150,,,6,<40;69>,,,,,,,,,
1511,,{5016=100;5017=100;5018=100},30,{rmb=240},,150,,,6,<50;79>,,,,,,,,,
1512,,{5016=100;5017=100;5018=100},60,{rmb=480},,150,,,6,<50;79>,,,,,,,,,
1513,,{5020=100;5019=100;5021=100},30,{rmb=270},,100,,,6,<60;84>,,,,,,,,,
1514,,{5020=100;5019=100;5021=100},60,{rmb=540},,100,,,6,<60;84>,,,,,,,,,
1515,,{5020=100;5019=100;5021=100},100,{rmb=900},,100,,,6,<60;84>,,,,,,,,,
1516,,{5022=100;5024=100;5023=100},30,{rmb=300},,100,,,6,<70;99>,,,,,,,,,
1517,,{5022=100;5024=100;5023=100},60,{rmb=600},,100,,,6,<70;99>,,,,,,,,,
1518,,{5022=100;5024=100;5023=100},100,{rmb=1000},,100,,,6,<70;99>,,,,,,,,,
1519,,{5025=100;5027=100;5026=100},30,{rmb=330},,100,,,6,<80;99>,,,,,,,,,
1520,,{5025=100;5027=100;5026=100},60,{rmb=660},,100,,,6,<80;99>,,,,,,,,,
1521,,{5025=100;5027=100;5026=100},100,{rmb=1100},,100,,,6,<80;99>,,,,,,,,,
1522,,{5029=100;5028=100;5030=100},30,{rmb=360},,100,,,6,<85;104>,,,,,,,,,
1523,,{5029=100;5028=100;5030=100},60,{rmb=720},,100,,,6,<85;104>,,,,,,,,,
1524,,{5029=100;5028=100;5030=100},100,{rmb=1200},,100,,,6,<85;104>,,,,,,,,,
1525,,{5032=100;5033=100;5031=100},30,{rmb=390},,100,,,6,<90;109>,,,,,,,,,
1526,,{5032=100;5033=100;5031=100},60,{rmb=780},,100,,,6,<90;109>,,,,,,,,,
1527,,{5032=100;5033=100;5031=100},100,{rmb=1300},,100,,,6,<90;109>,,,,,,,,,
1528,,{5036=100;5034=100;5035=100},30,{rmb=420},,100,,,6,<95;114>,,,,,,,,,
1529,,{5036=100;5034=100;5035=100},60,{rmb=840},,100,,,6,<95;114>,,,,,,,,,
1530,,{5036=100;5034=100;5035=100},100,{rmb=1400},,100,,,6,<95;114>,,,,,,,,,
