VariableName,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName_cn,roleName_tw,roleName,roleName_vn,roleName_kr,talkContent,talkContent_vn,talkContent_ma,talkContent_en,talkContent_ph,talkContent_th,talkContent_in,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
Defaults,,,,,,1,0,,0,0,,,FALSE,0,,,1,1,,,,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,,<>,,,0,,,FALSE,,,,,
ID,_备注id,_注释（这里只是界面引导，战斗内引导另外配置）,所属阶段(-1:完成新手战斗，-2:主城点15下跳过引导),名称(特殊非正常引导触发),打开该场景/界面时触发，默认主城触发（all为对应战斗胜利，升级，主城等界面触发）,起始等级,触发关卡,补充条件（公式可扩展）,排序（多个stage满足，小的越先触发）,服务器交互(1、记录引导；3、进关卡记录引导，战斗返回继续引导),默默塞奖励,默默塞和初始选择卡牌相关的奖励,客户端显示奖励,1主城2关卡界面(每条引导最后触发),跳转步骤（该stage的最后一条配置生效）,出来延时,表现样式（1、引导员，2剧情对话，3、空白）,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段> id 0 为主角形象（样式2）,unitID（样式2）,对话角色额外偏移位置（样式2）,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_韩,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,显示指定背景图（样式2）,要点击的控件名称（样式1）,要点击的控件名称（样式1）,跳到目标节点（需要程序逻辑增加）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,强制上阵,任意位置取消（样式1）,明亮的地方（样式1）,选项文本1（样式1）,对应功能（样式1）,选项文本2（样式1）,对应功能（样式1）
1,,,1,nameAndFigure,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,chooseCard,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,3,nameAndFigureBefore,,,,0,1,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"Greetings, chosen one. The Ninja World is just a chaotic corner of the vast multiverse. All worlds are awaiting your salvation.","Chào người được chọn, Nhẫn giới chỉ là một góc hỗn loạn của vạn giới, chư thiên vạn giới đang chờ đợi sự cứu rỗi của bạn.","Salam kepada yang terpilih, Dunia Ninja hanyalah satu sudut kacau dari pelbagai dunia, seluruh alam semesta sedang menunggu penyelamatan daripada anda.  ","Greetings, chosen one. The Ninja World is just a chaotic corner of the vast multiverse. All worlds are awaiting your salvation.","Kumusta sa napiling isa, Ang Mundo ng Ninja ay isa lamang magulong bahagi ng maraming mundo, naghihintay ang lahat ng uniberso sa iyong pagligtas.",สวัสดีผู้ถูกเลือก โลกนินจาเป็นเพียงมุมหนึ่งที่วุ่นวายในบรรดาหมื่นโลก ทุกจักรวาลกำลังรอคอยการช่วยเหลือจากคุณ,"Salam untuk yang terpilih, Dunia Ninja hanyalah sudut kacau dari berbagai dunia, seluruh semesta menunggu penyelamatan dari kamu.",,,,,,,,,,,,,,
12,,,3,,,,,,,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"Oh right, I am a star spirit from the cosmos, people like to call me Star Child. I am responsible for guiding you to become stronger.","À phải rồi, ta là tinh linh đến từ tinh không, mọi người thích gọi ta là Tinh Tử, ta có trách nhiệm chỉ dẫn ngươi trở nên mạnh mẽ đó nha.","Oh ya, aku adalah roh bintang dari angkasa, semua orang suka memanggilku sebagai Xing Zi, dan aku bertanggungjawab membimbingmu menjadi lebih kuat.  ","Oh right, I am a star spirit from the cosmos, people like to call me Star Child. I am responsible for guiding you to become stronger.","Oo nga pala, ako ay isang espiritu mula sa mga bituin, tinatawag nila akong Bituin Bata, at ako ang gagabay sa’yo upang maging mas malakas.",อ้อใช่ ฉันคือจิตวิญญาณแห่งดวงดาวจากจักรวาล ทุกคนชอบเรียกฉันว่า ซิงจื่อ ฉันมีหน้าที่แนะนำให้คุณแข็งแกร่งขึ้น,"Oh ya, aku adalah roh bintang dari luar angkasa, semua orang memanggilku Xing Zi, aku bertanggung jawab membimbingmu menjadi lebih kuat.",,,,,,,,,,,,,,
13,,,3,,,,,,,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"You’re new here, I don’t know your name yet. Please tell me your name.","Bạn mới đến, tôi còn chưa biết bạn tên gì, cho tôi biết tên của bạn đi.","Anda baru tiba, saya masih belum tahu nama anda, beritahulah saya nama anda.  ","You’re new here, I don’t know your name yet. Please tell me your name.","Bago ka lang dito, hindi ko pa alam ang pangalan mo. Sabihin mo naman sa akin ang pangalan mo.",คุณเพิ่งมาถึง ฉันยังไม่รู้ชื่อคุณเลย บอกชื่อคุณให้ฉันรู้หน่อย,"Kamu baru datang, aku belum tahu siapa namamu, beri tahu aku namamu ya.",,,,,,,,,,,,,,
21,,,4,chooseCardBefore,,,,finish(1) and not finish(2),2,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"Sounds like a great name, I can almost see the future where you bring order to the worlds.","Nghe có vẻ là một cái tên hay đấy, ta dường như thấy được tương lai chấn chỉnh lại mọi thứ của các thế giới ở ngươi.","Kedengarannya seperti nama yang bagus, aku seakan-akan melihat masa depan di mana engkau akan membetulkan segalanya di pelbagai dunia.  ","Sounds like a great name, I can almost see the future where you bring order to the worlds.","Mukhang magandang pangalan iyan, parang nakikita ko na ang kinabukasan kung saan aayusin mo ang lahat ng mundo.",ฟังดูเป็นชื่อที่ดีเลยทีเดียว ฉันดูเหมือนจะเห็นอนาคตที่คุณจะนำระเบียบกลับคืนสู่ทุกโลก,"Kedengarannya seperti nama yang bagus, aku bisa melihat masa depan di mana kamu akan mengatur ulang semua dunia.",,,,,,,,,,,,,,
22,,,4,,,,,,,,,,,,,,2,,<401>,,,,,,,,,,"Kid, you talk too much! Hurry up and let me go!","Nhóc con, mày lắm lời quá đấy!Mau thả tao về!","Budak kecil, kau banyak cakap sangat! Cepat lepaskan aku balik!  ","Kid, you talk too much! Hurry up and let me go!","Hoy bata, ang daldal mo! Bitawan mo na ako!",ไอ้เด็กน้อย! พูดมากเกินไปแล้วนะ! ปล่อยฉันกลับไปเดี๋ยวนี้!,"Anak kecil, kamu cerewet banget! Cepat lepaskan aku pulang!",,,,,,,,,,,,,,
23,,,4,,,,,,,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"Yes, very good! That’s how it should be — the chosen one should have the courage to question everything!","Ừ, rất tốt, phải như vậy, người được chọn nên có dũng khí nghi ngờ mọi thứ!","Ya, sangat bagus, memang sepatutnya begitu, orang yang terpilih harus berani untuk meragui segala-galanya!  ","Yes, very good! That’s how it should be — the chosen one should have the courage to question everything!","Oo, magaling! Ganyan nga — ang napiling isa ay dapat may lakas ng loob na kwestyunin ang lahat!",ดีมาก แบบนี้แหละ ผู้ถูกเลือกควรมีความกล้าสงสัยในทุกสิ่ง!,"Ya, bagus sekali! Begitulah seharusnya, yang terpilih harus punya keberanian untuk meragukan segalanya!",,,,,,,,,,,,,,
24,,,4,,,,,,,,,,,,,,2,2,<888>,,{y=100;x=0},,,,,,,,"However, fate is hard to resist. I believe you’re ready to save it all, so start by saving the Ninja World first!","Tuy nhiên, ý trời khó cưỡng, ta tin rằng con đã sẵn sàng cứu vãn tất cả rồi, vậy thì hãy bắt đầu bằng việc cứu lấy nhẫn giới trước đi!","Namun, kehendak langit sukar dilawan, aku percaya kau sudah bersedia untuk menyelamatkan semuanya, maka mulakanlah dengan menyelamatkan Dunia Ninja dahulu!  ","However, fate is hard to resist. I believe you’re ready to save it all, so start by saving the Ninja World first!","Gayunpaman, ang tadhana ay mahirap labanan. Naniniwala akong handa ka nang iligtas ang lahat, kaya simulan mo muna sa pagligtas ng Mundo ng Ninja!",แต่ถึงอย่างนั้น ฟ้าลิขิตยากจะขัดขืน ฉันเชื่อว่าคุณพร้อมจะกอบกู้ทุกสิ่งแล้ว งั้นเริ่มต้นด้วยการกอบกู้โลกนินจาก่อนเลย!,"Namun, kehendak langit sulit dilawan, aku yakin kamu sudah siap untuk menyelamatkan semuanya, jadi mulai dari menyelamatkan Dunia Ninja dulu!",,,,,,,,,,,,,,
