VariableName,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2
Defaults,"""""",0,FALSE,FALSE,<0;0>,TRUE,<cn;in;tw;en;vn;th;kr;ma;ph>,,"""""",,""""""
ID,备注,卡牌id,图鉴默认激活开关,图鉴前置形态自动激活开关,身高体重,当前版本是否开放,语言区域,属性加成类型1,属性加成数值1,属性加成类型2,属性加成数值2
13,,13,,,<1;1>,,,7,0.30%,,
44,,44,,,<1;1>,,,7,0.20%,,
53,,53,,,<1;1>,,,8,0.20%,,
82,,82,,,<1;1>,,,9,0.20%,,
163,,163,,,<1;1>,,,7,0.60%,,
242,,242,,,<1;1>,,,8,0.60%,,
263,,263,,,<1;1>,,,9,1.00%,,
273,,273,,,<1;1>,,,1,0.30%,,
333,,333,,,<1;1>,,,8,0.60%,,
334,,334,,,<1;1>,,,8,1.00%,,
393,,393,,,<1;1>,,,10,1.00%,,
402,,402,,,<1;1>,,,8,0.30%,,
493,,493,,,<1;1>,,,9,0.30%,,
503,,503,,,<1;1>,,,9,0.60%,,
552,,552,,,<1;1>,,,10,0.30%,,
572,,572,,,<1;1>,,,13,1.00%,,
574,,574,,,<1;1>,,,13,2.00%,,
593,,593,,,<1;1>,,,10,0.60%,,
603,,603,,,<1;1>,,,13,0.60%,,
611,,611,,,<1;1>,,,7,0.60%,,
631,,631,,,<1;1>,,,1,0.60%,,
641,,641,,,<1;1>,,,9,0.60%,,
692,,692,,,<1;1>,,,10,0.20%,,
701,,701,,,<1;1>,,,7,1.00%,,
712,,712,,,<1;1>,,,10,0.60%,,
721,,721,,,<1;1>,,,1,1.00%,,
731,,731,,,<1;1>,,,7,0.30%,,
741,,741,,,<1;1>,,,13,0.60%,,
761,,761,,,<1;1>,,,8,2.00%,,
771,,771,,,<1;1>,,,8,1.00%,,
793,,793,,,<1;1>,,,13,0.30%,,
863,,863,,,<1;1>,,,7,0.60%,,
883,,883,,,<1;1>,,,8,0.60%,,
972,,972,,,<1;1>,,,1,0.60%,,
973,,973,,,<1;1>,,,1,1.00%,,
