VariableName,name_cn,name_tw,name,name_vn,name_ma,name_en,name_in,name_th,name_ph,name_kr,desc_cn,desc_tw,desc,desc_vn,desc_ma,desc_en,desc_in,desc_th,desc_ph,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,0,,,<cn;in;tw;en;vn;th;ma;ph;kr>
ID,名字,名字,名字,名字,名字,名字,名字,名字,名字,名字_韩,描述,描述,描述_越南,描述_越南,描述_越南,描述_越南,描述_越南,描述_越南,描述_越南,描述_韩,目标类型(1-总数量;2-单属性数量),目标参数（目标数量）,目标参数2（目标元素属性）,自然属性卡牌加成(0表示全部),加成属性type,加成属性值,语言区域
1,,,Collect 5 heroes,Thu thập 5 anh hùng,Kumpul 5 wira,Collect 5 heroes,Kumpulkan 5 pahlawan,รวบรวมฮีโร่ 5 ตัว,Kolektahin ang 5 bayani,,,,#C0xFF5B545B#Increase HP of all heroes #C0xD38D22#350,#C0xFF5B545B#Tăng máu toàn bộ tướng #C0xD38D22#350,#C0xFF5B545B#Tingkatkan darah semua wira #C0xD38D22#350,#C0xFF5B545B#Increase HP of all heroes #C0xD38D22#350,#C0xFF5B545B#Meningkatkan HP semua pahlawan #C0xD38D22#350,#C0xFF5B545B#เพิ่มพลังชีวิตให้กับฮีโร่ทุกตัว #C0xD38D22#350,#C0xFF5B545B#Dagdagan ang HP ng lahat ng bayani #C0xD38D22#350,,,5,,,1,350,
2,,,Collect 10 heroes,Thu thập 10 anh hùng,Kumpul 10 wira,Collect 10 heroes,Kumpulkan 10 pahlawan,รวบรวมฮีโร่ 10 ตัว,Kolektahin ang 10 bayani,,,,#C0xFF5B545B#All heroes increase physical armor #C0xD38D22#120,#C0xFF5B545B#Toàn bộ tướng tăng giáp vật lý #C0xD38D22#120,#C0xFF5B545B#Semua wira mendapat peningkatan armor fizikal #C0xD38D22#120,#C0xFF5B545B#All heroes increase physical armor #C0xD38D22#120,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan armor fisik #C0xD38D22#120,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มเกราะกายภาพ #C0xD38D22#120,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pisikal na armor #C0xD38D22#120,,,10,,,9,120,
3,,,Collect 20 heroes,Thu thập 20 anh hùng.,Kumpul 20 wira,Collect 20 heroes,Kumpulkan 20 pahlawan,รวบรวมฮีโร่ 20 ตัว,Kolektahin ang 20 bayani,,,,#C0xFF5B545B#All heroes increase magic resistance #C0xD38D22#150,#C0xFF5B545B#Toàn bộ tướng tăng Kháng Phép #C0xD38D22#150,#C0xFF5B545B#Semua wira mendapat peningkatan penentangan sihir #C0xD38D22#150,#C0xFF5B545B#All heroes increase magic resistance #C0xD38D22#150,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan resistensi sihir #C0xD38D22#150,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มการต้านเวท #C0xD38D22#150,#C0xFF5B545B#Lahat ng bayani ay tumataas ang resistensya sa mahika #C0xD38D22#150,,,20,,,10,150,
4,,,Collect 30 heroes,Thu thập 30 anh hùng,Kumpul 30 wira,Collect 30 heroes,Kumpulkan 30 pahlawan,รวบรวมฮีโร่ 30 ตัว,Kolektahin ang 30 bayani,,,,#C0xFF5B545B#All heroes gain increased critical resistance #C0xD38D22#3%,#C0xFF5B545B#Tất cả tướng được tăng kháng bạo kích#C0xD38D22#3%,#C0xFF5B545B#Semua wira mendapat peningkatan penentangan kritikal #C0xD38D22#3%,#C0xFF5B545B#All heroes gain increased critical resistance #C0xD38D22#3%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan resistensi kritikal #C0xD38D22#3%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มการต้านคริติคอล #C0xD38D22#3%,#C0xFF5B545B#Lahat ng bayani ay tumatanggap ng dagdag na resistensya sa kritikal #C0xD38D22#3%,,,30,,,16,300,
5,,,Collect 50 heroes,Thu thập 50 anh hùng,Kumpul 50 wira,Collect 50 heroes,Kumpulkan 50 pahlawan,รวบรวมฮีโร่ 50 ตัว,Kolektahin ang 50 bayani,,,,#C0xFF5B545B#All heroes increase physical defense #C0xD38D22#3%,#C0xFF5B545B#Toàn bộ tướng tăng phòng thủ vật lý#C0xD38D22#3%,#C0xFF5B545B#Semua wira mendapat peningkatan pertahanan fizikal #C0xD38D22#3%,#C0xFF5B545B#All heroes increase physical defense #C0xD38D22#3%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan pertahanan fisik #C0xD38D22#3%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มการป้องกันกายภาพ #C0xD38D22#3%,#C0xFF5B545B#Lahat ng bayani ay tumataas ang pisikal na depensa #C0xD38D22#3%,,,50,,,9,300,
6,,,Collect 70 heroes,Thu thập 70 anh hùng.,Kumpul 70 wira,Collect 70 heroes,Kumpulkan 70 pahlawan,รวบรวมฮีโร่ 70 ตัว,Kolektahin ang 70 bayani,,,,#C0xFF5B545B#All heroes gain increased magic resistance #C0xD38D22#3%,#C0xFF5B545B#Toàn bộ tướng được tăng Kháng Phép#C0xD38D22#3%,#C0xFF5B545B#Semua wira mendapat peningkatan penentangan sihir #C0xD38D22#3%,#C0xFF5B545B#All heroes gain increased magic resistance #C0xD38D22#3%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan resistensi sihir #C0xD38D22#3%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มการต้านเวท #C0xD38D22#3%,#C0xFF5B545B#Lahat ng bayani ay tumatanggap ng dagdag na resistensya sa mahika #C0xD38D22#3%,,,70,,,10,300,
7,,,Collect 100 heroes,Thu thập 100 anh hùng,Kumpul 100 wira,Collect 100 heroes,Kumpulkan 100 pahlawan,รวบรวมฮีโร่ 100 ตัว,Kolektahin ang 100 bayani,,,,#C0xFF5B545B#All heroes gain increased critical resistance #C0xD38D22#3%,#C0xFF5B545B#Tất cả tướng được tăng kháng bạo kích#C0xD38D22#3%,#C0xFF5B545B#Semua wira mendapat peningkatan penentangan kritikal #C0xD38D22#3%,#C0xFF5B545B#All heroes gain increased critical resistance #C0xD38D22#3%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan resistensi kritikal #C0xD38D22#3%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มการต้านคริติคอล #C0xD38D22#3%,#C0xFF5B545B#Lahat ng bayani ay tumatanggap ng dagdag na resistensya sa kritikal #C0xD38D22#3%,,,100,,,16,300,
8,,,Collect 150 heroes,Thu thập 150 anh hùng.,Kumpul 150 wira,Collect 150 heroes,Kumpulkan 150 pahlawan,รวบรวมฮีโร่ 150 ตัว,Kolektahin ang 150 bayani,,,,#C0xFF5B545B#All heroes gain increased physical damage reduction #C0xD38D22#3%,#C0xFF5B545B#Toàn bộ tướng được tăng miễn giảm sát thương vật lý#C0xD38D22#3%,#C0xFF5B545B#Semua wira mendapat peningkatan pengurangan kerosakan fizikal #C0xD38D22#3%,#C0xFF5B545B#All heroes gain increased physical damage reduction #C0xD38D22#3%,#C0xFF5B545B#Semua pahlawan mendapatkan peningkatan pengurangan kerusakan fisik #C0xD38D22#3%,#C0xFF5B545B#ฮีโร่ทุกตัวเพิ่มการลดความเสียหายกายภาพ #C0xD38D22#3%,#C0xFF5B545B#Lahat ng bayani ay tumatanggap ng dagdag na pagbabawas sa pisikal na pinsala #C0xD38D22#3%,,,150,,,33,300,
