VariableName,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
Defaults,0,,,,,0,0,"""""",0,""""""
ID,卡牌markID,精灵名字,第一属性,资质,初始星级,星级,加成属性类型1,加成属性值1,加成属性类型2,加成属性值2
1,13,,,,,1,1,0.00%,,
2,13,,,,,2,1,0.06%,,
3,13,,,,,3,1,0.11%,,
4,13,,,,,4,1,0.17%,,
5,13,,,,,5,1,0.28%,,
6,13,,,,,6,1,0.39%,,
7,13,,,,,7,1,0.56%,,
8,13,,,,,8,1,0.73%,,
9,13,,,,,9,1,0.95%,,
10,13,,,,,10,1,1.18%,,
11,13,,,,,11,1,1.40%,,
12,13,,,,,12,1,1.68%,,
13,13,,,,,13,1,1.83%,,
14,13,,,,,14,1,1.99%,,
15,13,,,,,15,1,2.14%,,
16,13,,,,,16,1,2.29%,,
17,13,,,,,17,1,2.44%,,
18,13,,,,,18,1,2.60%,,
19,13,,,,,19,1,2.75%,,
20,13,,,,,20,1,2.90%,,
21,13,,,,,21,1,3.05%,,
22,13,,,,,22,1,3.21%,,
23,13,,,,,23,1,3.36%,,
24,13,,,,,24,1,3.51%,,
25,44,,,,,1,7,0.00%,,
26,44,,,,,2,7,0.04%,,
27,44,,,,,3,7,0.06%,,
28,44,,,,,4,7,0.08%,,
29,44,,,,,5,7,0.12%,,
30,44,,,,,6,7,0.18%,,
31,44,,,,,7,7,0.24%,,
32,44,,,,,8,7,0.32%,,
33,44,,,,,9,7,0.40%,,
34,44,,,,,10,7,0.50%,,
35,44,,,,,11,7,0.60%,,
36,44,,,,,12,7,0.72%,,
37,44,,,,,13,7,0.79%,,
38,44,,,,,14,7,0.85%,,
39,44,,,,,15,7,0.92%,,
40,44,,,,,16,7,0.98%,,
41,44,,,,,17,7,1.05%,,
42,44,,,,,18,7,1.11%,,
43,44,,,,,19,7,1.18%,,
44,44,,,,,20,7,1.24%,,
45,44,,,,,21,7,1.31%,,
46,44,,,,,22,7,1.37%,,
47,44,,,,,23,7,1.44%,,
48,44,,,,,24,7,1.51%,,
49,53,,,,,1,10,0.00%,,
50,53,,,,,2,10,0.04%,,
51,53,,,,,3,10,0.06%,,
52,53,,,,,4,10,0.08%,,
53,53,,,,,5,10,0.12%,,
54,53,,,,,6,10,0.18%,,
55,53,,,,,7,10,0.24%,,
56,53,,,,,8,10,0.32%,,
57,53,,,,,9,10,0.40%,,
58,53,,,,,10,10,0.50%,,
59,53,,,,,11,10,0.60%,,
60,53,,,,,12,10,0.72%,,
61,53,,,,,13,10,0.79%,,
62,53,,,,,14,10,0.85%,,
63,53,,,,,15,10,0.92%,,
64,53,,,,,16,10,0.98%,,
65,53,,,,,17,10,1.05%,,
66,53,,,,,18,10,1.11%,,
67,53,,,,,19,10,1.18%,,
68,53,,,,,20,10,1.24%,,
69,53,,,,,21,10,1.31%,,
70,53,,,,,22,10,1.37%,,
71,53,,,,,23,10,1.44%,,
72,53,,,,,24,10,1.51%,,
73,82,,,,,1,1,0.00%,,
74,82,,,,,2,1,0.03%,,
75,82,,,,,3,1,0.04%,,
76,82,,,,,4,1,0.06%,,
77,82,,,,,5,1,0.08%,,
78,82,,,,,6,1,0.13%,,
79,82,,,,,7,1,0.17%,,
80,82,,,,,8,1,0.22%,,
81,82,,,,,9,1,0.28%,,
82,82,,,,,10,1,0.35%,,
83,82,,,,,11,1,0.42%,,
84,82,,,,,12,1,0.50%,,
85,82,,,,,13,1,0.55%,,
86,82,,,,,14,1,0.59%,,
87,82,,,,,15,1,0.64%,,
88,82,,,,,16,1,0.68%,,
89,82,,,,,17,1,0.73%,,
90,82,,,,,18,1,0.77%,,
91,82,,,,,19,1,0.82%,,
92,82,,,,,20,1,0.86%,,
93,82,,,,,21,1,0.91%,,
94,82,,,,,22,1,0.95%,,
95,82,,,,,23,1,1.00%,,
96,82,,,,,24,1,1.05%,,
97,163,,,,,1,9,0.00%,,
98,163,,,,,2,9,0.00%,,
99,163,,,,,3,9,0.10%,,
100,163,,,,,4,9,0.25%,,
101,163,,,,,5,9,0.40%,,
102,163,,,,,6,9,0.70%,,
103,163,,,,,7,9,1.00%,,
104,163,,,,,8,9,1.30%,,
105,163,,,,,9,9,1.75%,,
106,163,,,,,10,9,2.20%,,
107,163,,,,,11,9,2.65%,,
108,163,,,,,12,9,3.25%,,
109,163,,,,,13,9,3.55%,,
110,163,,,,,14,9,3.84%,,
111,163,,,,,15,9,4.14%,,
112,163,,,,,16,9,4.43%,,
113,163,,,,,17,9,4.73%,,
114,163,,,,,18,9,5.02%,,
115,163,,,,,19,9,5.32%,,
116,163,,,,,20,9,5.61%,,
117,163,,,,,21,9,5.91%,,
118,163,,,,,22,9,6.20%,,
119,163,,,,,23,9,6.50%,,
120,163,,,,,24,9,6.80%,,
121,242,,,,,1,9,0.00%,,
122,242,,,,,2,9,0.00%,,
123,242,,,,,3,9,0.10%,,
124,242,,,,,4,9,0.25%,,
125,242,,,,,5,9,0.40%,,
126,242,,,,,6,9,0.70%,,
127,242,,,,,7,9,1.00%,,
128,242,,,,,8,9,1.30%,,
129,242,,,,,9,9,1.75%,,
130,242,,,,,10,9,2.20%,,
131,242,,,,,11,9,2.65%,,
132,242,,,,,12,9,3.25%,,
133,242,,,,,13,9,3.55%,,
134,242,,,,,14,9,3.84%,,
135,242,,,,,15,9,4.14%,,
136,242,,,,,16,9,4.43%,,
137,242,,,,,17,9,4.73%,,
138,242,,,,,18,9,5.02%,,
139,242,,,,,19,9,5.32%,,
140,242,,,,,20,9,5.61%,,
141,242,,,,,21,9,5.91%,,
142,242,,,,,22,9,6.20%,,
143,242,,,,,23,9,6.50%,,
144,242,,,,,24,9,6.80%,,
145,263,,,,,1,13,0.00%,,
146,263,,,,,2,13,0.00%,,
147,263,,,,,3,13,0.00%,,
148,263,,,,,4,13,0.16%,,
149,263,,,,,5,13,0.48%,,
