VariableName,range,periodAward,version
Defaults,,{},0
ID,区间,结算奖励,奖励版本
1,<1;2>,{coin1=1200;rmb=300;gold=100000},
2,<2;3>,{coin1=1050;rmb=280;gold=95000},
3,<3;4>,{coin1=900;rmb=260;gold=90000},
4,<4;5>,{coin1=800;rmb=240;gold=85000},
5,<5;6>,{coin1=750;rmb=220;gold=80000},
6,<6;7>,{coin1=720;rmb=200;gold=75000},
7,<7;8>,{coin1=690;rmb=190;gold=70000},
8,<8;9>,{coin1=660;rmb=180;gold=65000},
9,<9;10>,{coin1=630;rmb=170;gold=60000},
10,<10;11>,{coin1=600;rmb=160;gold=55000},
11,<11;21>,{coin1=550;rmb=150;gold=50000},
12,<21;31>,{coin1=510;rmb=140;gold=45000},
13,<31;41>,{coin1=490;rmb=130;gold=40000},
14,<41;51>,{coin1=460;rmb=120;gold=35000},
15,<51;71>,{coin1=430;rmb=110;gold=30000},
16,<71;101>,{coin1=400;rmb=100;gold=28000},
17,<101;201>,{coin1=380;rmb=95;gold=26000},
18,<201;301>,{coin1=360;rmb=90;gold=24000},
19,<301;401>,{coin1=340;rmb=85;gold=22000},
20,<401;501>,{coin1=320;rmb=80;gold=20000},
21,<501;601>,{coin1=300;rmb=75;gold=18000},
22,<601;701>,{coin1=280;rmb=70;gold=17000},
23,<701;801>,{coin1=260;rmb=65;gold=16000},
24,<801;1001>,{coin1=240;rmb=60;gold=15000},
25,<1001;3001>,{coin1=220;rmb=55;gold=14000},
26,<3001;5001>,{coin1=200;rmb=50;gold=13000},
27,<5001;10001>,{coin1=195;rmb=45;gold=12000},
28,<10001;15001>,{coin1=190;rmb=40;gold=11000},
29,<15001;100000>,{coin1=185;rmb=40;gold=10000},
101,<1;2>,{coin1=2700;rmb=700;gold=150000},101
102,<2;3>,{coin1=2400;rmb=640;gold=145000},101
103,<3;4>,{coin1=2100;rmb=600;gold=140000},101
104,<4;5>,{coin1=1900;rmb=560;gold=135000},101
105,<5;6>,{coin1=1800;rmb=520;gold=130000},101
106,<6;7>,{coin1=1740;rmb=500;gold=125000},101
107,<7;8>,{coin1=1680;rmb=480;gold=120000},101
108,<8;9>,{coin1=1620;rmb=460;gold=115000},101
109,<9;10>,{coin1=1560;rmb=440;gold=110000},101
110,<10;11>,{coin1=1500;rmb=420;gold=105000},101
111,<11;21>,{coin1=1400;rmb=400;gold=100000},101
112,<21;31>,{coin1=1340;rmb=380;gold=95000},101
113,<31;41>,{coin1=1280;rmb=360;gold=90000},101
114,<41;51>,{coin1=1220;rmb=340;gold=85000},101
115,<51;71>,{coin1=1160;rmb=320;gold=80000},101
116,<71;101>,{coin1=1100;rmb=280;gold=78000},101
117,<101;201>,{coin1=1060;rmb=240;gold=76000},101
118,<201;301>,{coin1=1020;rmb=200;gold=74000},101
119,<301;401>,{coin1=980;rmb=180;gold=72000},101
120,<401;501>,{coin1=940;rmb=160;gold=70000},101
121,<501;601>,{coin1=900;rmb=150;gold=68000},101
122,<601;701>,{coin1=860;rmb=140;gold=67000},101
123,<701;801>,{coin1=820;rmb=130;gold=66000},101
124,<801;1001>,{coin1=780;rmb=120;gold=65000},101
125,<1001;3001>,{coin1=740;rmb=110;gold=64000},101
126,<3001;5001>,{coin1=700;rmb=100;gold=63000},101
127,<5001;10001>,{coin1=690;rmb=90;gold=62000},101
128,<10001;15001>,{coin1=680;rmb=80;gold=61000},101
129,<15001;100000>,{coin1=670;rmb=80;gold=60000},101
201,<1;2>,{coin1=2700;rmb=700;gold=150000},102
202,<2;3>,{coin1=2400;rmb=640;gold=145000},102
203,<3;4>,{coin1=2100;rmb=600;gold=140000},102
204,<4;5>,{coin1=1900;rmb=560;gold=135000},102
205,<5;6>,{coin1=1800;rmb=520;gold=130000},102
206,<6;7>,{coin1=1740;rmb=500;gold=125000},102
207,<7;8>,{coin1=1680;rmb=480;gold=120000},102
208,<8;9>,{coin1=1620;rmb=460;gold=115000},102
209,<9;10>,{coin1=1560;rmb=440;gold=110000},102
210,<10;11>,{coin1=1500;rmb=420;gold=105000},102
211,<11;21>,{coin1=1400;rmb=400;gold=100000},102
212,<21;31>,{coin1=1340;rmb=380;gold=95000},102
213,<31;41>,{coin1=1280;rmb=360;gold=90000},102
214,<41;51>,{coin1=1220;rmb=340;gold=85000},102
215,<51;71>,{coin1=1160;rmb=320;gold=80000},102
216,<71;101>,{coin1=1100;rmb=280;gold=78000},102
217,<101;201>,{coin1=1060;rmb=240;gold=76000},102
218,<201;301>,{coin1=1020;rmb=200;gold=74000},102
219,<301;401>,{coin1=980;rmb=180;gold=72000},102
220,<401;501>,{coin1=940;rmb=160;gold=70000},102
221,<501;601>,{coin1=900;rmb=150;gold=68000},102
222,<601;701>,{coin1=860;rmb=140;gold=67000},102
223,<701;801>,{coin1=820;rmb=130;gold=66000},102
224,<801;1001>,{coin1=780;rmb=120;gold=65000},102
225,<1001;3001>,{coin1=740;rmb=110;gold=64000},102
226,<3001;5001>,{coin1=700;rmb=100;gold=63000},102
227,<5001;10001>,{coin1=690;rmb=90;gold=62000},102
228,<10001;15001>,{coin1=680;rmb=80;gold=61000},102
229,<15001;100000>,{coin1=670;rmb=80;gold=60000},102
