VariableName,needRank,award,cost
Defaults,,{},{}
ID,需要名次,排位奖励,消耗
1,1,{rmb=200;6051=1},
2,3,{rmb=150;gold=100000},
3,6,{6052=1;rmb=120},
4,10,{rmb=100;gold=80000},
5,30,{501=1;rmb=100},
6,50,{rmb=100;gold=45000},
7,70,{rmb=100;gold=42500},
8,100,{501=1;rmb=100},
9,200,{rmb=100;gold=37500},
10,300,{rmb=100;gold=35000},
11,400,{501=1;rmb=100},
12,600,{941=1;rmb=100},
13,800,{rmb=100;gold=25000},
14,1000,{rmb=100;503=1},
15,1500,{rmb=80;gold=18000},
16,2000,{rmb=80;gold=18000},
17,3000,{rmb=80;503=1},
18,4000,{rmb=60;gold=16000},
