VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;in;tw;en;vn;th;kr;ma;ph>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
30,,{21893=3},{coin1=3000},,,,,,,,,,
31,,{20641=5},{coin1=1500},,,,,,,,,,
32,,{20712=5},{coin1=1500},,,,,,,,,,
33,,{20863=5},{coin1=1500},,,,,,,,,,
41,,{22033=5},{coin1=1500},,,,,,,,,,
42,,{21032=5},{coin1=1500},,,,,,,,,,
43,,{21381=5},{coin1=1500},,,,,,,,,,
44,,{21911=5},{coin1=1500},,,,,,,,,,
45,,{23003=5},{coin1=1500},,,,,,,,,,
61,,{20552=5},{coin1=1200},,,,,,,,,,
62,,{20793=5},{coin1=1200},,,,,,,,,,
63,,{22013=5},{coin1=1200},,,,,,,,,,
64,,{22612=5},{coin1=1200},,,,,,,,,,
71,,{12=10},{coin1=300},,,,,,,,,,
72,,{13=10},{coin1=600},,,,,,,,,,
73,,{14=10},{coin1=1000},,,,,,,,,,
74,,{2103=3},{coin1=600},,,,,,,,,,
75,,{514=30},{coin1=1000},,,,,,,,,,
80,,{502=50},{coin1=18000},,,,,,,3,1,,
104,,{2205=1},{coin1=20000},,,,,,,4,1,,
