VariableName,gateID,_beizhu,itemMap,count,probability,itemCount
Defaults,,,{},1,0,1
掉落ID,关卡ID,掉落物品名称,随机掉落物品ID权值数量,掉落次数,掉落物品概率,掉落道具数量
1,10101,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
2,10102,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
3,10103,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
4,10104,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
5,10105,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
6,10201,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
7,10202,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
8,10203,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
9,10204,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
10,10205,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
11,10206,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
12,10301,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
13,10302,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
14,10303,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
15,10304,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
16,10305,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
17,10306,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
18,10307,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
19,10308,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
20,10401,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
21,10402,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
22,10403,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
23,10404,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
24,10405,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
25,10406,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
26,10407,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
27,10408,,{11=42.1053;510=42.1053;5000=15.7895},5,38,
28,10501,,{11=32;510=32;12=8;5000=12;511=16},5,50,
29,10502,,{11=32;510=32;12=8;5000=12;511=16},5,50,
30,10503,,{11=32;510=32;12=8;5000=12;511=16},5,50,
31,10504,,{11=32;510=32;12=8;5000=12;511=16},5,50,
32,10505,,{11=32;510=32;12=8;5000=12;511=16},5,50,
33,10506,,{11=32;510=32;12=8;5000=12;511=16},5,50,
34,10507,,{11=32;510=32;12=8;5000=12;511=16},5,50,
