VariableName,room,_roomType,_beizhu,icon,weight,group,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,monsterType,type,desc,desc_vn,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
Defaults,0,,,"""""",100,1,"""""","""""","""""","""""","""""","""""","""""",1,0,"""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,{},<>,<>,1,0,0,{},{}
ID,房间,房间设定,备注,图标,权值（-1表示必定会随机到）,组ID,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,怪物类型,类型（1-怪物；2-加成buff；3-宝箱；4-随机事件event）,描述文本,desc_vn,描述文本,desc_en,desc_th,desc_in,desc_ph,desc_ma,怪物组id,战力修正系数,积分修正,掉落预览,加成组（<<group;weight>; <group;weight>>）,随机事件（<<group;weight>; <group;weight>>）,宝箱类型（1普通，2豪华）,金币产出,试炼币产出,首次开启随机奖励,加开随机奖励
1,2,,,city/adventure/random_tower/icon/icon_wz.png,,,Combat Enhancement,Tăng Cường Chiến Đấu,Combat Enhancement,การเสริมพลังการต่อสู้,Peningkatan Pertempuran,Pagpapalakas ng Laban,Peningkatan Pertempuran,,2,,,,,,,,,,,,,<<101;100>>,,,,,,
2,2,,,city/adventure/random_tower/icon/icon_wz.png,,,Combat Enhancement,Tăng Cường Chiến Đấu,Combat Enhancement,การเสริมพลังการต่อสู้,Peningkatan Pertempuran,Pagpapalakas ng Laban,Peningkatan Pertempuran,,2,,,,,,,,,,,,,<<102;100>>,,,,,,
3,2,,,city/adventure/random_tower/icon/icon_wz.png,,,Combat Enhancement,Tăng Cường Chiến Đấu,Combat Enhancement,การเสริมพลังการต่อสู้,Peningkatan Pertempuran,Pagpapalakas ng Laban,Peningkatan Pertempuran,,2,,,,,,,,,,,,,<<12223;100>>,,,,,,
4,3,,,city/adventure/random_tower/icon/img_jddr@.png,,,Simple Enemy,Kẻ Địch Đơn Giản,Simple Enemy,ศัตรูง่าย,Musuh Sederhana,Simpleng Kaaway,Musuh Mudah,,1,It seems the opponent can be easily defeated,Có vẻ là đối thủ có thể dễ dàng bị đánh bại,,It seems the opponent can be easily defeated,ดูเหมือนว่าศัตรูจะถูกโจมตีได้ง่าย,Sepertinya lawan bisa dengan mudah dikalahkan,Mukhang madaling talunin ang kalaban,Nampaknya lawan boleh dikalahkan dengan mudah,,,,,,,,,,,
5,3,,,city/adventure/random_tower/icon/img_jddr@.png,,,Simple Enemy,Kẻ Địch Đơn Giản,Simple Enemy,ศัตรูง่าย,Musuh Sederhana,Simpleng Kaaway,Musuh Mudah,,1,It seems the opponent can be easily defeated,Có vẻ là đối thủ có thể dễ dàng bị đánh bại,,It seems the opponent can be easily defeated,ดูเหมือนว่าศัตรูจะถูกโจมตีได้ง่าย,Sepertinya lawan bisa dengan mudah dikalahkan,Mukhang madaling talunin ang kalaban,Nampaknya lawan boleh dikalahkan dengan mudah,,,,,,,,,,,
6,3,,,city/adventure/random_tower/icon/img_ptdr@.png,,,Normal Enemy,Kẻ Địch Thông Thường,Normal Enemy,ศัตรูปกติ,Musuh Normal,Karaniwang Kaaway,Musuh Biasa,2,1,"Has some strength, but not a concern","Có chút sức mạnh, nhưng không đáng lo ngại",,"Has some strength, but not a concern",มีพลังบ้าง แต่ไม่ใช่เรื่องน่ากังวล,"Memiliki sedikit kekuatan, tapi tidak perlu dikhawatirkan","May kaunting lakas, ngunit hindi dapat alalahanin","Ada sedikit kekuatan, tetapi tidak membimbangkan",2,,,,,,,,,,
7,3,,,city/adventure/random_tower/icon/img_ptdr@.png,,,Normal Enemy,Kẻ Địch Thông Thường,Normal Enemy,ศัตรูปกติ,Musuh Normal,Karaniwang Kaaway,Musuh Biasa,2,1,"Has some strength, but not a concern","Có chút sức mạnh, nhưng không đáng lo ngại",,"Has some strength, but not a concern",มีพลังบ้าง แต่ไม่ใช่เรื่องน่ากังวล,"Memiliki sedikit kekuatan, tapi tidak perlu dikhawatirkan","May kaunting lakas, ngunit hindi dapat alalahanin","Ada sedikit kekuatan, tetapi tidak membimbangkan",2,,,,,,,,,,
8,3,,,city/adventure/random_tower/icon/img_kndr@.png,,,Hard Enemy,Kẻ Địch Khó,Hard Enemy,ศัตรูยาก,Musuh Sulit,Mahirap na Kaaway,Musuh Sukar,3,1,Be careful when choosing the opponent,Hãy cẩn thận khi chọn đối thủ,,Be careful when choosing the opponent,ระวังเมื่อเลือกศัตรู,Berhati-hatilah saat memilih lawan,Mag-ingat sa pagpili ng kalaban,Berhati-hati ketika memilih lawan,3,,,,,,,,,,
9,3,,,city/adventure/random_tower/icon/img_kndr@.png,,,Hard Enemy,Kẻ Địch Khó,Hard Enemy,ศัตรูยาก,Musuh Sulit,Mahirap na Kaaway,Musuh Sukar,3,1,Be careful when choosing the opponent,Hãy cẩn thận khi chọn đối thủ,,Be careful when choosing the opponent,ระวังเมื่อเลือกศัตรู,Berhati-hatilah saat memilih lawan,Mag-ingat sa pagpili ng kalaban,Berhati-hati ketika memilih lawan,3,,,,,,,,,,
10,4,,,city/adventure/random_tower/icon/icon_wz.png,,,Attribute Enhancement,Tăng Cường Thuộc Tính,Attribute Enhancement,การเสริมคุณสมบัติ,Peningkatan Atribut,Pagpapalakas ng Katangian,Peningkatan Atribut,,2,,,,,,,,,,,,,<<1;100>>,,,,,,
11,4,,,city/adventure/random_tower/icon/icon_wz.png,,,Combat Supply,Tiếp Tế Chiến Đấu,Combat Supply,การส่งเสบียงการต่อสู้,Pasokan Pertempuran,Suplay ng Laban,Bekalan Pertempuran,,2,,,,,,,,,,,,,<<5;100>>,,,,,,
12,4,,,city/adventure/random_tower/icon/icon_wz.png,,,Attribute Enhancement,Tăng Cường Thuộc Tính,Attribute Enhancement,การเสริมคุณสมบัติ,Peningkatan Atribut,Pagpapalakas ng Katangian,Peningkatan Atribut,,2,,,,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
13,4,,,city/adventure/random_tower/icon/icon_wz.png,,,Attribute Enhancement,Tăng Cường Thuộc Tính,Attribute Enhancement,การเสริมคุณสมบัติ,Peningkatan Atribut,Pagpapalakas ng Katangian,Peningkatan Atribut,,2,,,,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
14,4,,,city/adventure/random_tower/icon/icon_sj.png,0,,Event,Sự Kiện,Event,เหตุการณ์,Acara,Kaganapan,Acara,,4,No one knows what will happen,Không ai biết chuyện gì sẽ xảy ra,,No one knows what will happen,ไม่มีใครรู้ว่าจะเกิดอะไรขึ้น,Tidak ada yang tahu apa yang akan terjadi,Walang nakakaalam kung ano ang mangyayari,Tiada siapa yang tahu apa yang akan berlaku,,,,,,<<1;100>;<2;10>>,,,,,
15,4,,,city/adventure/random_tower/icon/icon_sj.png,0,,Event,Sự Kiện,Event,เหตุการณ์,Acara,Kaganapan,Acara,,4,"Your choice may bring luck, but it can also bring disaster","Lựa chọn của bạn có thể mang lại may mắn, nhưng cũng có thể mang đến tai họa",,"Your choice may bring luck, but it can also bring disaster",การเลือกของคุณอาจนำโชคดี แต่ก็อาจนำหายนะมาเช่นกัน,"Pilihanmu bisa membawa keberuntungan, tapi juga bisa membawa bencana","Ang iyong pagpili ay maaaring magdala ng suwerte, ngunit maaari ring magdala ng sakuna","Pilihan anda mungkin membawa tuah, tetapi juga boleh membawa malapetaka",,,,,,<<2;100>;<3;10>>,,,,,
16,4,,,city/adventure/random_tower/icon_bx.png,-1,,Treasure Chest,Rương Báu,Treasure Chest,หีบสมบัติ,Petasan Harta Karun,Dibdib ng Kayamanan,Peti Harta Karun,,3,Treasure chest accidentally discovered,Hòm báu tình cờ phát hiện,,Treasure chest accidentally discovered,พบกล่องสมบัติโดยบังเอิญ,Petik harta yang ditemukan secara tidak sengaja,Nadiskubreng kayamanang baul,Petak harta yang ditemui secara kebetulan,,,,,,,,10000,20,{libs=<504;504>},
