VariableName,group,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
Defaults,1,"""""","""""","""""","""""","""""","""""","""""","""""",999,"""""","""""","""""",1,0,0,"""""",0,"""""",0,0,"""""",0,0,0,0,0,0,0,<>,FALSE,99,0,0,0
buffID,buff组别,描述,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,buff权重,图标,图标背景,特效颜色,buff类型（1=属性加成;2=补给;3=积分加成;4=被动技能）,加成自然属性类型（0表示全体）,属性类型,属性加成数值,属性类型,属性加层数值,加成自然属性类型（0表示全体）,属性类型,属性加层数值,补给类型（1-回血；2-回怒；3-复活；4-扣血；5-扣怒）,补给对象（1-选择一只；2-上阵精灵；3-全体符合条件精灵）,回/扣血 回/扣怒百分比（以100为分母）,积分加成类型（1.剩余回合数  2.存活精灵数  3.当前层数）,积分加成系数,特殊被动技能,被动技能可用于几次战斗,被动技能组<group; 数值>， 同group数值大的会覆盖小的<1;1>,今日是否唯一,限制出现的次数,更换随机库,所属随机库,补给 前置条件（1-有精灵残血；2-有精灵没满怒；3-有精灵死亡）
1,,,Our hero's physical attack +10%  ,Tấn công vật lý của anh hùng của chúng tôi +10%,Our hero's physical attack +10%  ,การโจมตีทางกายภาพของฮีโร่ฝ่ายเรา +10%  ,Serangan fisik pahlawan kami +10%  ,Pagsalakay ng pisikal ng aming bayani +10%  ,Serangan fizikal wira kami +10%  ,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,7,10%,,,,,,,,,,,,,,,,,,
2,2,,Our hero's physical attack +15%  ,Tấn công vật lý của anh hùng của chúng tôi +15%,Our hero's physical attack +15%  ,การโจมตีทางกายภาพของฮีโร่ฝ่ายเรา +15%  ,Serangan fisik pahlawan kami +15%  ,Pagsalakay ng pisikal ng aming bayani +15%  ,Serangan fizikal wira kami +15%  ,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,7,15%,,,,,,,,,,,,,,,3,,,
3,3,,Our hero's physical attack +20%  ,Tấn công vật lý của anh hùng của chúng tôi +20%,Our hero's physical attack +20%  ,การโจมตีทางกายภาพของฮีโร่ฝ่ายเรา +20%  ,Serangan fisik pahlawan kami +20%  ,Pagsalakay ng pisikal ng aming bayani +20%  ,Serangan fizikal wira kami +20%  ,100,city/develop/talent/icon_wg.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,7,20%,,,,,,,,,,,,,,TRUE,1,,,
4,,,Our hero's magic attack +10%  ,Tấn công phép của anh hùng của chúng tôi +10%,Our hero's magic attack +10%  ,การโจมตีเวทของฮีโร่ฝ่ายเรา +10%  ,Serangan sihir pahlawan kami +10%  ,Pagsalakay ng mahika ng aming bayani +10%  ,Serangan magik wira kami +10%  ,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,,,8,10%,,,,,,,,,,,,,,,,,,
5,2,,Our hero's magic attack +15%  ,Tấn công phép của anh hùng của chúng tôi +15%,Our hero's magic attack +15%  ,การโจมตีเวทของฮีโร่ฝ่ายเรา +15%  ,Serangan sihir pahlawan kami +15%  ,Pagsalakay ng mahika ng aming bayani +15%  ,Serangan magik wira kami +15%  ,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,,,8,15%,,,,,,,,,,,,,,,3,,,
6,3,,Our hero's magic attack +20%  ,Tấn công phép của anh hùng của chúng tôi +20%,Our hero's magic attack +20%  ,การโจมตีเวทของฮีโร่ฝ่ายเรา +20%  ,Serangan sihir pahlawan kami +20%  ,Pagsalakay ng mahika ng aming bayani +20%  ,Serangan magik wira kami +20%  ,100,city/develop/talent/icon_tg.png,city/adventure/random_tower/icon/box_blue.png,effect,,,8,20%,,,,,,,,,,,,,,TRUE,1,,,
7,,,Our hero's physical and magic attack +5%  ,Tấn công vật lý và phép của anh hùng của chúng tôi +5%,Our hero's physical and magic attack +5%  ,การโจมตีทางกายภาพและเวทของฮีโร่ฝ่ายเรา +5%  ,Serangan fisik dan sihir pahlawan kami +5%  ,Pagsalakay ng pisikal at mahika ng aming bayani +5%  ,Serangan fizikal dan magik wira kami +5%  ,150,city/adventure/random_tower/icon/icon_xingxiangskill_4.png,city/adventure/random_tower/icon/box_red.png,effect,,,8,5%,7,5%,,,,,,,,,,,,,,,,
8,2,,Our hero's physical and magic attack +10%  ,Tấn công vật lý và phép của anh hùng của chúng tôi +10%,Our hero's physical and magic attack +10%  ,การโจมตีทางกายภาพและเวทของฮีโร่ฝ่ายเรา +10%  ,Serangan fisik dan sihir pahlawan kami +10%  ,Pagsalakay ng pisikal at mahika ng aming bayani +10%  ,Serangan fizikal dan magik wira kami +10%  ,150,city/adventure/random_tower/icon/icon_xingxiangskill_4.png,city/adventure/random_tower/icon/box_red.png,effect,,,8,10%,7,10%,,,,,,,,,,,,,3,,,
9,3,,Our hero's physical and magic attack +15%  ,Tấn công vật lý và phép của anh hùng của chúng tôi +15%,Our hero's physical and magic attack +15%  ,การโจมตีทางกายภาพและเวทของฮีโร่ฝ่ายเรา +15%  ,Serangan fisik dan sihir pahlawan kami +15%  ,Pagsalakay ng pisikal at mahika ng aming bayani +15%  ,Serangan fizikal dan magik wira kami +15%  ,150,city/adventure/random_tower/icon/icon_xingxiangskill_4.png,city/adventure/random_tower/icon/box_red.png,effect,,,8,15%,7,15%,,,,,,,,,,,,,2,,,
10,,,Our hero's damage increase +5%  ,Tăng sát thương của anh hùng của chúng tôi +5%,Our hero's damage increase +5%  ,เพิ่มความเสียหายของฮีโร่ฝ่ายเรา +5%  ,Peningkatan kerusakan pahlawan kami +5%  ,Pagtaas ng pinsala ng aming bayani +5%  ,Peningkatan kerosakan wira kami +5%  ,100,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,22,500,,,,,,,,,,,,,,,,,,
11,2,,Our hero's damage increase +10%  ,Tăng sát thương của anh hùng của chúng tôi +10%,Our hero's damage increase +10%  ,เพิ่มความเสียหายของฮีโร่ฝ่ายเรา +10%  ,Peningkatan kerusakan pahlawan kami +10%  ,Pagtaas ng pinsala ng aming bayani +10%  ,Peningkatan kerosakan wira kami +10%  ,120,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,22,1000,,,,,,,,,,,,,,,3,,,
12,3,,Our hero's damage increase +15%  ,Tăng sát thương của anh hùng của chúng tôi +15%,Our hero's damage increase +15%  ,เพิ่มความเสียหายของฮีโร่ฝ่ายเรา +15%  ,Peningkatan kerusakan pahlawan kami +15%  ,Pagtaas ng pinsala ng aming bayani +15%  ,Peningkatan kerosakan wira kami +15%  ,150,city/develop/talent/icon_shjc.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,22,1500,,,,,,,,,,,,,,TRUE,1,,,
13,,,Our hero's critical rate +5%  ,Tỷ lệ chí mạng của anh hùng của chúng tôi +5%,Our hero's critical rate +5%  ,อัตราคริติคอลของฮีโร่ฝ่ายเรา +5%  ,Tingkat kritis pahlawan kami +5%  ,Tasa ng kritikal ng aming bayani +5%  ,Kadar kritikal wira kami +5%  ,100,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,14,500,,,,,,,,,,,,,,,,,,
14,2,,Our hero's critical rate +10%  ,Tỷ lệ chí mạng của anh hùng của chúng tôi +10%,Our hero's critical rate +10%  ,อัตราคริติคอลของฮีโร่ฝ่ายเรา +10%  ,Tingkat kritis pahlawan kami +10%  ,Tasa ng kritikal ng aming bayani +10%  ,Kadar kritikal wira kami +10%  ,120,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,14,1000,,,,,,,,,,,,,,,3,,,
15,3,,Our hero's critical rate +15%  ,Tỷ lệ chí mạng của anh hùng của chúng tôi +15%,Our hero's critical rate +15%  ,อัตราคริติคอลของฮีโร่ฝ่ายเรา +15%  ,Tingkat kritis pahlawan kami +15%  ,Tasa ng kritikal ng aming bayani +15%  ,Kadar kritikal wira kami +15%  ,150,city/develop/talent/icon_bj.png,city/adventure/random_tower/icon/box_yellow.png,effect,,,14,1500,,,,,,,,,,,,,,TRUE,1,,,
