VariableName,_beizhu,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,group,res,desc_cn,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,onlyOne,limit,choice1,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,resultDesc1,resultDesc1_vn,resultDesc1_en,resultDesc1_th,resultDesc1_in,resultDesc1_ph,resultDesc1_ma,result1,choice2,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,resultDesc2,resultDesc2_vn,resultDesc2_en,resultDesc2_th,resultDesc2_in,resultDesc2_ph,resultDesc2_ma,result2,choice3,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,resultDesc3,resultDesc3_vn,resultDesc3_en,resultDesc3_th,resultDesc3_in,resultDesc3_ph,resultDesc3_ma,result3
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",FALSE,999,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{}
ID,备注,事件标题,事件标题,事件标题_越南,name_vn,name_en,name_th,name_in,name_ph,name_ma,组ID,卡面资源,事件描述,事件描述_越南,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,今日是否唯一,限制出现的次数,选择1描述,choice1_vn,choice1_en,choice1_th,choice1_in,choice1_ph,choice1_ma,结果1描述,resultDesc1_vn,resultDesc1_en,resultDesc1_th,resultDesc1_in,resultDesc1_ph,resultDesc1_ma,结果1,选择2描述,choice2_vn,choice2_en,choice2_th,choice2_in,choice2_ph,choice2_ma,结果2描述,resultDesc2_vn,resultDesc2_en,resultDesc2_th,resultDesc2_in,resultDesc2_ph,resultDesc2_ma,结果2,选择3描述,choice3_vn,choice3_en,choice3_th,choice3_in,choice3_ph,choice3_ma,结果3描述,resultDesc3_vn,resultDesc3_en,resultDesc3_th,resultDesc3_in,resultDesc3_ph,resultDesc3_ma,结果3
1,,,,Exquisite sculpture  ,Tượng điêu khắc tinh xảo,Exquisite sculpture  ,ประติมากรรมสุดประณีต  ,Patung yang indah  ,Maselang iskultura  ,Arca yang indah  ,2,,,"A delicate statue has fallen to the ground, revealing a faint golden light within.  ","Một bức tượng tinh xảo bị ngã xuống đất, dường như có thể thấy ánh sáng vàng lấp lánh bên trong.","A delicate statue has fallen to the ground, revealing a faint golden light within.  ",รูปปั้นที่ประณีตล้มลงกับพื้น ดูเหมือนจะมีแสงสีทองเปล่งประกายอยู่ภายใน  ,"Sebuah patung indah jatuh ke tanah, tampak cahaya keemasan di dalamnya.  ","Isang maselang estatwa ang bumagsak sa lupa, tila may kumikislap na gintong liwanag sa loob.  ","Sebuah arca halus terjatuh ke tanah, tampak cahaya keemasan di dalamnya.  ",TRUE,,Rebuild the statue  ,Dựng lại bức tượng,Rebuild the statue  ,สร้างรูปปั้นขึ้นใหม่  ,Bangun kembali patung  ,Itayo muli ang estatwa  ,Bina semula patung  ,"Received a blessing from the statue, the deployed heroes’ HP was fully restored  ","Nhận được phúc lành từ bức tượng, HP của các anh hùng ra trận được hồi phục hoàn toàn","Received a blessing from the statue, the deployed heroes’ HP was fully restored  ",ได้รับพรจากรูปปั้น HP ของฮีโร่ที่ส่งลงสู่สนามฟื้นเต็ม  ,"Menerima berkat dari patung, HP semua hero yang diturunkan pulih sepenuhnya  ","Nakatanggap ng biyaya mula sa estatwa, lubos na bumalik ang HP ng lahat ng bayani na ipinadala sa laban  ","Menerima berkat dari patung, HP semua hero yang dikerahkan dipulihkan sepenuhnya  ",{buff=<210>},Break it  ,Đập vỡ nó,Break it  ,ทำลายมัน  ,Hancurkan itu  ,Basagin ito  ,Pecahkan ia  ,"Received gold but cursed, all deployed heroes lose 20% HP","Nhận được vàng nhưng bị nguyền rủa, tất cả anh hùng ra trận bị giảm 20% HP","Received gold but cursed, all deployed heroes lose 20% HP",ได้รับทองแต่ถูกสาป ฮีโร่ที่ส่งลงสู่สนามทั้งหมดเสีย HP 20%,"Menerima emas tetapi dikutuk, semua hero kehilangan 20% HP","Pumasa ka ng ginto ngunit sinumpa, lahat ng bayani mawalan ng 20% HP","Menerima emas tetapi dikutuk, semua wira kehilangan 20% HP  ",{buff=<201>;items={gold=5000}},Pretend not to see,Giả vờ không thấy,Pretend not to see,แกล้งทำเป็นไม่เห็น,Berpura-pura tidak melihat,Nagkunwaring walang nakita,Berpura-pura tidak nampak,Nothing happened  ,Không có chuyện gì xảy ra,Nothing happened  ,ไม่มีอะไรเกิดขึ้น  ,Tidak ada yang terjadi  ,Walang nangyari  ,Tiada apa yang berlaku  ,
2,,,,Strange sculpture  ,Tượng điêu khắc kỳ lạ,Strange sculpture  ,ประติมากรรมแปลกประหลาด  ,Patung yang aneh  ,Kakaibang iskultura  ,Arca pelik  ,2,,,"A strange statue has fallen to the ground, revealing a blinding light inside.  ","Một bức tượng kỳ lạ bị ngã xuống đất, dường như có thể thấy ánh sáng chói lóa bên trong.","A strange statue has fallen to the ground, revealing a blinding light inside.  ",รูปปั้นประหลาดล้มลงกับพื้น ดูเหมือนจะมีแสงเจิดจ้าอยู่ภายใน  ,"Sebuah patung aneh jatuh ke tanah, tampak cahaya terang menyala di dalamnya.  ","Isang kakaibang estatwa ang bumagsak, tila may nakakasilaw na liwanag sa loob.  ","Sebuah arca pelik terjatuh ke tanah, tampak cahaya terang menyinar di dalamnya.  ",TRUE,,Rebuild the statue  ,Dựng lại bức tượng,Rebuild the statue  ,สร้างรูปปั้นขึ้นใหม่  ,Bangun kembali patung  ,Itayo muli ang estatwa  ,Bina semula patung  ,"Received a blessing from the statue, the deployed heroes’ Rage was fully restored  ","Nhận được phúc lành từ bức tượng, nộ khí của các anh hùng ra trận được hồi phục hoàn toàn","Received a blessing from the statue, the deployed heroes’ Rage was fully restored  ",ได้รับพรจากรูปปั้น โกรธของฮีโร่ที่ส่งลงสู่สนามฟื้นเต็ม  ,"Menerima berkat dari patung, Rage semua hero yang diturunkan pulih sepenuhnya  ","Nakatanggap ng biyaya mula sa estatwa, lubos na bumalik ang Rage ng lahat ng bayani na ipinadala sa laban  ","Menerima berkat dari patung, Rage semua hero yang dikerahkan dipulihkan sepenuhnya  ",{buff=<211>},Break it  ,Đập vỡ nó,Break it  ,ทำลายมัน  ,Hancurkan itu  ,Basagin ito  ,Pecahkan ia  ,"Received gold but cursed, all deployed heroes’ Rage is wiped","Nhận được vàng nhưng bị nguyền rủa, toàn bộ nộ khí của anh hùng ra trận bị xóa sạch","Received gold but cursed, all deployed heroes’ Rage is wiped",ได้รับทองแต่ถูกสาป โทสะของฮีโร่ถูกล้างหมด,"Menerima emas tetapi dikutuk, semua Rage hero dihapus","Pumasa ka ng ginto ngunit sinumpa, ang lahat ng Rage ng bayani ay natanggal","Menerima emas tetapi dikutuk, semua Rage wira dihapus  ",{buff=<205>;items={gold=5000}},Pretend not to see,Giả vờ không thấy,Pretend not to see,แกล้งทำเป็นไม่เห็น,Berpura-pura tidak melihat,Nagkunwaring walang nakita,Berpura-pura tidak nampak,"A faint light flickered from the statue and enveloped you. It seems you've received a blessing. In the next battle, whenever an allied hero defeats an enemy, they will gain a 100% attack buff that lasts for 2 turns.  ","Một tia sáng yếu lóe lên từ trong bức tượng, bao phủ lên bạn, dường như bạn đã nhận được lời chúc phúc. Trong trận chiến tiếp theo, anh hùng phe ta sau khi tiêu diệt kẻ địch sẽ nhận được 100% buff sức tấn công, kéo dài 2 hiệp.","A faint light flickered from the statue and enveloped you. It seems you've received a blessing. In the next battle, whenever an allied hero defeats an enemy, they will gain a 100% attack buff that lasts for 2 turns.  ",แสงสลัวแวบขึ้นจากรูปปั้นและห่อหุ้มตัวคุณไว้ ดูเหมือนว่าคุณได้รับพรแล้ว ในการต่อสู้ครั้งถัดไป ฮีโร่ฝ่ายเราที่สังหารศัตรูจะได้รับบัฟโจมตีเพิ่ม 100% นาน 2 เทิร์น  ,"Cahaya redup berkedip dari patung dan menyelimuti kamu. Sepertinya kamu telah menerima berkah. Dalam pertempuran berikutnya, setiap kali hero sekutu mengalahkan musuh, mereka akan mendapatkan buff serangan 100% selama 2 giliran.  ","Isang mahinang liwanag ang kumislap mula sa rebulto at bumalot sa iyo. Mukhang nakatanggap ka ng basbas. Sa susunod na laban, kapag nakapatay ng kalaban ang bayani ng ating koponan, makakakuha siya ng 100% dagdag lakas sa loob ng 2 turn.  ","Sinar cahaya samar terpancar dari patung dan menyelubungi anda. Nampaknya anda telah menerima berkat. Dalam pertempuran seterusnya, setiap kali wira pasukan kita menewaskan musuh, mereka akan menerima peningkatan serangan 100% selama 2 pusingan.  ",{buff=<1038>}
3,,,,Monster blocking the way  ,Quái thú chặn đường,Monster blocking the way  ,สัตว์ประหลาดขวางทาง  ,Monster menghalangi jalan  ,Halimaw sa daraanan  ,Raksasa menghalang jalan  ,,,,You accidentally awaken a sleeping wild beast.  ,Bạn vô tình đánh thức một con quái thú hoang dã đang ngủ say.,You accidentally awaken a sleeping wild beast.  ,คุณเผลอปลุกสัตว์ร้ายป่าที่กำลังหลับใหล  ,Kamu tidak sengaja membangunkan monster buas yang sedang tidur.  ,Aksidenteng nagising mo ang isang mabangis na halimaw.  ,Kamu secara tidak sengaja membangunkan raksasa buas yang sedang tidur.  ,,3,Comfort him  ,An ủi anh ta,Comfort him  ,ปลอบเขา  ,Menghiburnya  ,Aliwin siya  ,Tenangkan dia  ,"The beast continues sleeping soundly, and there seems to be a treasure chest behind it  ","Quái thú tiếp tục ngủ say, phía sau nó dường như có một rương báu","The beast continues sleeping soundly, and there seems to be a treasure chest behind it  ",สัตว์ร้ายยังคงหลับสนิท ดูเหมือนว่ามีหีบสมบัติอยู่ข้างหลัง  ,"Raksasa itu terus tidur nyenyak, dan tampaknya ada peti harta dibelakangnya  ","Patuloy na natutulog ang halimaw, at tila may treasure chest sa likuran  ","Raksasa itu terus tidur nyenyak, dan sepertinya ada peti harta di belakangnya  ",{items={gold=5000}},Hide  ,Trốn đi,Hide  ,ซ่อนตัว  ,Sembunyi  ,Magtago  ,Bersembunyi  ,"The beast roars in anger, you panic—physical and special attack down 10%, deployed heroes’ Rage decreases","Quái thú nổi giận gầm thét, bạn hoảng sợ—sức tấn công vật lý và đặc biệt giảm 10%, nộ khí của anh hùng ra trận bị giảm","The beast roars in anger, you panic—physical and special attack down 10%, deployed heroes’ Rage decreases","สัตว์ร้ายคำรามด้วยความโกรธ คุณตกใจ—พลังโจมตีปกติและพิเศษลดลง 10%, โทสะของฮีโร่ลดลง","Raksasa mengamuk dan menggeram, kamu panik—serangan fisik & khusus turun 10%, Rage hero menurun","Galit na umungol ang halimaw, natakot ka—pisikal & espesyal na atake bumaba ng 10%, Rage ng bayani bumaba","Naga Nether mengamuk, kamu panik—serangan fizikal & khas turun 10%, Rage wira berkurang  ",{buff=<212;213>},,,,,,,,,,,,,,,
4,,,,Contains a mystery  ,Ẩn chứa điều bí ẩn,Contains a mystery  ,ซ่อนความลับไว้  ,Menyimpan misteri  ,May taglay na hiwaga  ,Tersembunyi misteri  ,2,,,"This place is empty, but you can hear a faint sound.  ","Nơi này trống rỗng, dường như có thể nghe thấy âm thanh yếu ớt.","This place is empty, but you can hear a faint sound.  ",สถานที่แห่งนี้ว่างเปล่า แต่ดูเหมือนจะได้ยินเสียงเบาๆ  ,"Tempat ini kosong, tetapi terdengar suara samar.  ","Walang laman ang lugar na ito, ngunit tila may mahinang tunog.  ","Tempat ini kosong, tetapi terdengar bunyi yang lemah.  ",,,Listen  ,Lắng nghe,Listen  ,ฟัง  ,Dengarkan  ,Makinig  ,Dengar  ,"Heard Meloetta’s voice— in the next battle, our first acting hero will deal double damage  ","Nghe thấy giọng hát của Meloetta, trong trận chiến tiếp theo, anh hùng hành động đầu tiên của phe ta sẽ gây sát thương gấp đôi","Heard Meloetta’s voice— in the next battle, our first acting hero will deal double damage  ",ได้ยินเสียง Meloetta—ในการต่อสู้ครั้งต่อไป ฮีโร่คนแรกของเราจะสร้างความเสียหายเป็นสองเท่า  ,"Mendengar suara Meloetta—dalam pertarungan berikutnya, hero pertama kita akan memberikan kerusakan dua kali lipat  ","Narinig ang boses ni Meloetta—sa susunod na laban, ang unang bayani ng ating panig ay magbibigay ng dobleng pinsala  ","Mendengar suara Meloetta—dalam pertempuran berikutnya, hero pertama kita akan memberikan kerusakan dua kali lipat  ",{buff=<1039>},Search around  ,Tìm xung quanh,Search around  ,ค้นหาบริเวณรอบ ๆ  ,Cari di sekitar  ,Maghanap sa paligid  ,Cari di sekeliling  ,"It seems a treasure chest was found, inside are some items","Hình như phát hiện một rương báu, bên trong có một vài món đồ","It seems a treasure chest was found, inside are some items",ดูเหมือนพบหีบสมบัติ ข้างในมีของบางอย่าง,"Sepertinya menemukan peti harta, di dalamnya ada beberapa item","Mukhang may nahanap na treasure chest, may ilang item sa loob","Nampaknya menemui peti harta, dalamnya ada beberapa item  ",{items={gold=5000}},,,,,,,,,,,,,,,
5,,,,Mysterious treasure chest  ,Rương kho báu bí ẩn,Mysterious treasure chest  ,หีบสมบัติลึกลับ  ,Peti harta karun misterius  ,Misteryosong kayamanang kahon  ,Peti harta karun misteri  ,2,,,A strangely shaped treasure chest is discovered.  ,Phát hiện một chiếc rương có hình dạng kỳ lạ.,A strangely shaped treasure chest is discovered.  ,พบหีบสมบัติที่มีรูปร่างแปลกประหลาด  ,Menemukan peti harta karun berbentuk aneh.  ,May natagpuang kabaong na may kakaibang hugis.  ,Menemui peti berbentuk pelik.  ,,,Throw a stone over there  ,Ném một hòn đá tới đó,Throw a stone over there  ,ขว้างก้อนหินไปทางนั้น  ,Lempar batu ke sana  ,Maghagis ng bato roon  ,Lempar batu ke sana  ,"The chest monster opened its maw wide and swallowed the stone, apparently chipping a tooth, dropping a small pouch of gold  ","Quái vật rương há miệng lớn nuốt viên đá vào, dường như bị sứt răng, làm rơi một túi nhỏ chứa vàng","The chest monster opened its maw wide and swallowed the stone, apparently chipping a tooth, dropping a small pouch of gold  ",มอนสเตอร์หีบเปิดปากกว้างกลืนหิน ฟันแตก และทำถุงทองเล็กๆ ตก  ,"Monster peti membuka rahang dan menelan batu, tampaknya giginya pecah, menjatuhkan kantong kecil berisi emas  ","Ang halimaw ng chest ay bumuka ang bibig at nilamon ang bato, tila nabasag ang ngipin, naghulog ng maliit na supot ng ginto  ","Monster peti membuka rahang dan menelan batu, sepertinya giginya retak, menjatuhkan kantung kecil berisi emas  ",{items={gold=5000}},Go ahead and check  ,Tiến lên kiểm tra,Go ahead and check  ,ไปตรวจสอบ  ,Lanjut dan periksa  ,Lumapit para siyasatin  ,Langkah ke depan untuk periksa  ,It turned out to be a monster chest—deployed heroes lose HP,Thì ra là một con rương quái—HP của các anh hùng ra trận bị giảm,It turned out to be a monster chest—deployed heroes lose HP,ปรากฏว่าเป็นหีบมอนสเตอร์—ฮีโร่ที่ส่งเสีย HP,Ternyata itu peti monster—hero kehilangan HP,Lumabas na ito ay isang chest-monster—napo-HP ang mga bayani,Ternyata ia peti raksasa—wira kehilangan HP  ,{buff=<200>},Carefully approach,Cẩn thận tiến lại gần,Carefully approach,ค่อยๆ เข้าไปใกล้ด้วยความระมัดระวัง,Mendekat dengan hati-hati,Lumapit nang maingat,Mendekati dengan berhati-hati,Received a treasure chest  ,Nhận được một rương kho báu,Received a treasure chest  ,ได้รับหีบสมบัติ  ,Menerima peti harta karun  ,Nakakuha ng treasure chest  ,Menerima peti harta karun  ,{items={gold=15000}}
6,,,,Mysterious treasure chest  ,Rương kho báu bí ẩn,Mysterious treasure chest  ,หีบสมบัติลึกลับ  ,Peti harta karun misterius  ,Misteryosong kayamanang kahon  ,Peti harta karun misteri  ,2,,,A strangely shaped treasure chest is discovered.  ,Phát hiện một chiếc rương có hình dạng kỳ lạ.,A strangely shaped treasure chest is discovered.  ,พบหีบสมบัติที่มีรูปร่างแปลกประหลาด  ,Menemukan peti harta karun berbentuk aneh.  ,May natagpuang kabaong na may kakaibang hugis.  ,Menemui peti berbentuk pelik.  ,,,Throw a stone over there  ,Ném một hòn đá tới đó,Throw a stone over there  ,ขว้างก้อนหินไปทางนั้น  ,Lempar batu ke sana  ,Maghagis ng bato roon  ,Lempar batu ke sana  ,"The chest monster opened its maw wide and swallowed the stone, apparently chipping a tooth, dropping a small pouch of gold  ","Quái vật rương há miệng lớn nuốt viên đá vào, dường như bị sứt răng, làm rơi một túi nhỏ chứa vàng","The chest monster opened its maw wide and swallowed the stone, apparently chipping a tooth, dropping a small pouch of gold  ",มอนสเตอร์หีบเปิดปากกว้างกลืนหิน ฟันแตก และทำถุงทองเล็กๆ ตก  ,"Monster peti membuka rahang dan menelan batu, tampaknya giginya pecah, menjatuhkan kantong kecil berisi emas  ","Ang halimaw ng chest ay bumuka ang bibig at nilamon ang bato, tila nabasag ang ngipin, naghulog ng maliit na supot ng ginto  ","Monster peti membuka rahang dan menelan batu, sepertinya giginya retak, menjatuhkan kantung kecil berisi emas  ",{items={gold=5000}},Go ahead and check  ,Tiến lên kiểm tra,Go ahead and check  ,ไปตรวจสอบ  ,Lanjut dan periksa  ,Lumapit para siyasatin  ,Langkah ke depan untuk periksa  ,Received a treasure chest,Nhận được một rương báu,Received a treasure chest,ได้รับหีบสมบัติ,Menerima peti harta,Nakatanggap ng treasure chest,Menerima peti harta  ,{items={gold=9000}},Carefully approach,Cẩn thận tiến lại gần,Carefully approach,ค่อยๆ เข้าไปใกล้ด้วยความระมัดระวัง,Mendekat dengan hati-hati,Lumapit nang maingat,Mendekati dengan berhati-hati,"It turned out to be a treasure monster, the health of the deployed hero decreased  ","Hóa ra là quái vật kho báu, máu của anh hùng xuất chiến bị giảm","It turned out to be a treasure monster, the health of the deployed hero decreased  ",ปรากฏว่าเป็นมอนสเตอร์สมบัติ พลังชีวิตของฮีโร่ที่ลงสนามลดลง  ,"Ternyata itu adalah monster harta karun, kesehatan pahlawan yang dikerahkan berkurang  ","Nalaman na ito ay isang treasure monster, nabawasan ang HP ng bayani na ipinadala sa laban  ","Rupanya ia adalah monster harta karun, kesihatan wira yang dikerahkan berkurang  ",{buff=<200>}
7,,,,Encounter with the Villain Alliance  ,Chạm trán Liên minh Kẻ xấu,Encounter with the Villain Alliance  ,เผชิญหน้ากับพันธมิตรผู้ร้าย  ,Bertemu Aliansi Penjahat  ,Nakaharap ang Alyansa ng Kasamaan  ,Bertemu Pakatan Jahat  ,,,,Three members of the Villain Alliance are spotted sneaking around.  ,Phát hiện ba người của Liên minh Kẻ xấu đang lén lút.,Three members of the Villain Alliance are spotted sneaking around.  ,พบสมาชิกสามคนของพันธมิตรผู้ร้ายที่กำลังลอบเร้น  ,Tiga anggota Aliansi Penjahat ditemukan sedang menyelinap.  ,Tatlong kasapi ng Alyansa ng Kasamaan ay nakita na palihim.  ,Menemui tiga ahli Pakatan Jahat yang sedang menyelinap.  ,,,Step forward and greet  ,Tiến lên chào hỏi,Step forward and greet  ,เดินเข้าไปทัก  ,Maju dan menyapa  ,Lumapit at bumati  ,Maju dan beri salam  ,"The trio panicked and an immediate battle ensued— the deployed heroes’ HP decreased by 10%, but Rage increased  ","Bộ ba bị hoảng sợ và lập tức xảy ra trận chiến, HP của các anh hùng ra trận giảm 10%, nhưng nộ khí tăng lên","The trio panicked and an immediate battle ensued— the deployed heroes’ HP decreased by 10%, but Rage increased  ",ทั้งสามคนตื่นตระหนกและเกิดการต่อสู้ทันที—HP ของฮีโร่ลดลง 10% แต่โกรธเพิ่มขึ้น  ,"Trio panik dan pertempuran langsung terjadi—HP hero yang diturunkan turun 10%, tetapi Rage meningkat  ","Napa-panic ang tatlo at agad na nagkaroon ng labanan—ang HP ng mga ipinadalang bayani ay bumaba ng 10%, ngunit tumaas ang Rage  ","Trio panik dan pertarungan langsung terjadi—HP hero yang dikerahkan turun 10%, tapi Rage meningkat  ",{buff=<200;215>},Sneak and observe  ,Lén lút quan sát,Sneak and observe  ,แอบสังเกต  ,Mengintip diam-diam  ,Manmanan nang palihim  ,Pemerhatian secara diam-diam  ,"They seemed to find something valuable and left; you follow the trail and also pick up some remaining gold, +15000 gold","Bọn họ dường như tìm thấy vật gì quý giá rồi rời đi, bạn đi theo dấu vết và cũng nhặt được một ít vàng còn sót lại, vàng +15000","They seemed to find something valuable and left; you follow the trail and also pick up some remaining gold, +15000 gold",พวกเขาดูเหมือนพบของมีค่าแล้วจากไป คุณตามรอยและเก็บทองที่เหลือได้ +15000 ทอง,Mereka sepertinya menemukan sesuatu berharga lalu pergi; kamu mengikuti jejak dan mendapatkan +15000 emas,"Tila nakakita sila ng mahalagang bagay at umalis; sinundan mo sila at nakakuha rin ng natirang ginto, +15000 ginto",Mereka seperti jumpa sesuatu bernilai dan pergi; kamu ikut dan mendapat +15000 emas  ,{items={gold=15000}},,,,,,,,,,,,,,,
8,,,,Encounter with the Villain Alliance  ,Chạm trán Liên minh Kẻ xấu,Encounter with the Villain Alliance  ,เผชิญหน้ากับพันธมิตรผู้ร้าย  ,Bertemu Aliansi Penjahat  ,Nakaharap ang Alyansa ng Kasamaan  ,Bertemu Pakatan Jahat  ,,,,Three members of the Villain Alliance are spotted sneaking around.  ,Phát hiện ba người của Liên minh Kẻ xấu đang lén lút.,Three members of the Villain Alliance are spotted sneaking around.  ,พบสมาชิกสามคนของพันธมิตรผู้ร้ายที่กำลังลอบเร้น  ,Tiga anggota Aliansi Penjahat ditemukan sedang menyelinap.  ,Tatlong kasapi ng Alyansa ng Kasamaan ay nakita na palihim.  ,Menemui tiga ahli Pakatan Jahat yang sedang menyelinap.  ,,,Step forward and greet  ,Tiến lên chào hỏi,Step forward and greet  ,เดินเข้าไปทัก  ,Maju dan menyapa  ,Lumapit at bumati  ,Maju dan beri salam  ,"The trio panicked and fled, seemingly leaving behind some gold  ","Bộ ba hoảng loạn bỏ chạy, hình như để lại một ít vàng","The trio panicked and fled, seemingly leaving behind some gold  ",ทั้งสามคนตื่นตระหนกและหนี ดูเหมือนจะทิ้งทองไว้  ,"Trio panik dan melarikan diri, tampaknya meninggalkan sedikit emas  ","Napa-panic ang tatlo at tumakbong takas, tila nag-iwan ng ilang ginto  ","Trio panik dan melarikan diri, tampaknya meninggalkan sedikit emas  ",{items={gold=15000}},Sneak and observe  ,Lén lút quan sát,Sneak and observe  ,แอบสังเกต  ,Mengintip diam-diam  ,Manmanan nang palihim  ,Pemerhatian secara diam-diam  ,"They’ve spotted you, forced into combat—deployed heroes lose 10% HP, but Rage increases","Có vẻ như bị họ phát hiện, bị buộc phải giao chiến—HP của các anh hùng ra trận bị giảm 10%, nhưng nộ khí tăng","They’ve spotted you, forced into combat—deployed heroes lose 10% HP, but Rage increases",ดูเหมือนถูกจับได้ บังคับเข้าสู่การต่อสู้—ฮีโร่เสีย HP 10% แต่โทสะเพิ่ม,"Tampaknya mereka melihatmu, dipaksa bertarung—hero kehilangan 10% HP tapi Rage meningkat","Tila napansin ka nila, napilitang makipaglaban—napo-HP ang bayani ng 10% pero tumataas ang Rage","Nampaknya mereka nampak kamu, dipaksa bertempur—wira kehilangan 10% HP tetapi Rage meningkat  ",{buff=<200;215>},,,,,,,,,,,,,,,
