VariableName,needPoint,award,version
Defaults,,{},0
ID,需要积分,奖励,奖励版本
1,100,{4000=5;12=10;20493=2;gold=2000},
2,300,{4000=5;12=10;20493=2;gold=3000},
3,600,{4000=5;12=10;20493=2;gold=4000},
4,1000,{4000=5;12=10;20493=2;gold=5000},
5,2000,{4000=5;12=10;20493=2;gold=6000},
6,3000,{4000=5;12=10;20493=2;gold=7000},
7,4000,{4000=5;12=10;20493=2;gold=8000},
8,5000,{4000=5;12=10;20493=2;gold=9000},
9,7000,{4000=5;12=10;20493=2;gold=10000},
10,9000,{4000=5;12=10;20493=2;gold=11000},
11,11000,{4000=10;12=10;20493=2;gold=12000},
12,13000,{4000=10;12=10;20493=2;gold=13000},
13,15000,{4000=10;12=10;20493=2;gold=14000},
14,18000,{4000=10;12=10;20493=2;gold=15000},
15,21000,{4000=10;12=10;20493=2;gold=16000},
16,24000,{4000=10;gold=17000;23283=1;12=10},
17,27000,{4000=10;gold=18000;23283=1;12=10},
18,30000,{4000=10;gold=19000;23283=1;12=10},
19,33000,{4000=10;gold=20000;23283=1;12=10},
20,36000,{4000=10;gold=21000;23283=1;12=10},
21,39000,{4000=15;gold=22000;23283=1;12=10},
22,42000,{4000=15;gold=23000;23283=1;12=10},
23,45000,{4000=15;gold=24000;23283=1;12=10},
24,48000,{4000=15;gold=25000;23283=1;12=10},
25,51000,{4000=15;gold=26000;23283=1;12=10},
26,54000,{4000=15;gold=27000;23283=1;12=10},
27,57000,{4000=15;gold=28000;23283=1;12=10},
28,60000,{4000=15;gold=29000;23283=1;12=10},
29,63000,{4000=15;gold=30000;23283=1;12=10},
30,66000,{4000=15;gold=31000;23283=1;12=10},
31,69000,{4000=20;gold=32000;23283=1;12=10},
32,72000,{4000=20;gold=33000;23283=1;12=10},
33,75000,{4000=20;gold=34000;23283=1;12=10},
34,78000,{4000=20;gold=35000;23283=1;12=10},
35,81000,{4000=20;gold=36000;23283=1;12=10},
36,84000,{4000=20;gold=37000;23283=1;12=10},
37,87000,{4000=20;gold=38000;23283=1;12=10},
38,90000,{4000=20;gold=39000;23283=1;12=10},
39,93000,{4000=20;gold=40000;23283=1;12=10},
40,96000,{4000=20;gold=41000;23283=1;12=10},
41,99000,{4000=25;gold=42000;23283=1;12=10},
42,102000,{4000=25;gold=43000;23283=1;12=10},
43,105000,{4000=25;gold=44000;23283=1;12=10},
44,108000,{4000=25;gold=45000;23283=1;12=10},
45,111000,{4000=25;gold=46000;23283=1;12=10},
46,114000,{4000=25;gold=47000;23283=1;12=10},
47,117000,{4000=25;gold=48000;23283=1;12=10},
48,120000,{4000=25;gold=49000;23283=1;12=10},
49,123000,{4000=25;gold=50000;23283=1;12=10},
50,126000,{4000=25;gold=50000;23283=1;12=10},
51,129000,{4000=30;gold=50000;23283=1;12=10},
52,132000,{4000=30;gold=50000;23283=1;12=10},
53,135000,{4000=30;gold=50000;23283=1;12=10},
54,138000,{4000=30;gold=50000;23283=1;12=10},
55,141000,{4000=30;gold=50000;23283=1;12=10},
56,144000,{4000=30;gold=50000;23283=1;12=10},
57,147000,{4000=30;gold=50000;23283=1;12=10},
58,150000,{4000=30;gold=50000;23283=1;12=10},
59,160000,{4000=30;gold=50000;23283=1;12=10},
60,170000,{4000=30;gold=50000;23283=1;12=10},
61,180000,{4000=30;gold=50000;23283=1;12=10},
62,190000,{4000=30;gold=50000;23283=1;12=10},
63,200000,{4000=30;gold=50000;23283=1;12=10},
64,210000,{4000=30;gold=50000;23283=1;12=10},
65,220000,{4000=30;gold=50000;23283=1;12=10},
66,230000,{4000=30;gold=50000;23283=1;12=10},
67,240000,{4000=30;gold=50000;23283=1;12=10},
68,250000,{4000=30;gold=50000;23283=1;12=10},
69,260000,{4000=30;gold=50000;23283=1;12=10},
70,270000,{4000=30;gold=50000;23283=1;12=10},
71,280000,{4000=30;gold=50000;23283=1;12=10},
72,290000,{4000=30;gold=50000;23283=1;12=10},
73,300000,{4000=30;gold=50000;23283=1;12=10},
74,310000,{4000=30;gold=50000;23283=1;12=10},
75,320000,{4000=30;gold=50000;23283=1;12=10},
76,330000,{4000=30;gold=50000;23283=1;12=10},
77,340000,{4000=30;gold=50000;23283=1;12=10},
78,350000,{4000=30;gold=50000;23283=1;12=10},
79,360000,{4000=30;gold=50000;23283=1;12=10},
80,370000,{4000=30;gold=50000;23283=1;12=10},
81,380000,{4000=30;gold=50000;23283=1;12=10},
82,390000,{4000=30;gold=50000;23283=1;12=10},
83,400000,{4000=30;gold=50000;23283=1;12=10},
84,410000,{4000=30;gold=50000;23283=1;12=10},
