VariableName,range,periodAward,version
Defaults,,{},0
ID,区间,排位奖励,奖励版本
1,<1;2>,{coin2=600;4000=60;gold=80000},
2,<2;3>,{coin2=540;4000=55;gold=74000},
3,<3;4>,{coin2=520;4000=50;gold=71000},
4,<4;5>,{coin2=500;4000=50;gold=68000},
5,<5;6>,{coin2=480;4000=45;gold=65000},
6,<6;7>,{coin2=460;4000=45;gold=62000},
7,<7;8>,{coin2=440;4000=45;gold=59000},
8,<8;9>,{coin2=420;4000=40;gold=56000},
9,<9;10>,{coin2=400;4000=40;gold=53000},
10,<10;11>,{coin2=380;4000=40;gold=50000},
11,<11;21>,{coin2=360;4000=35;gold=47000},
12,<21;31>,{coin2=350;4000=35;gold=44000},
13,<31;41>,{coin2=340;4000=35;gold=41000},
14,<41;51>,{coin2=330;4000=35;gold=38000},
15,<51;61>,{coin2=320;4000=35;gold=35000},
16,<61;81>,{coin2=310;4000=30;gold=32000},
17,<81;101>,{coin2=300;4000=30;gold=30000},
18,<101;301>,{coin2=290;4000=30;gold=28000},
19,<301;9999999>,{coin2=280;4000=30;gold=26000},
101,<1;2>,{coin2=1500;4000=150;gold=120000},101
102,<2;3>,{coin2=1300;4000=130;gold=114000},101
103,<3;4>,{coin2=1100;4000=110;gold=111000},101
104,<4;5>,{coin2=1000;4000=100;gold=108000},101
105,<5;6>,{coin2=900;4000=90;gold=105000},101
106,<6;7>,{coin2=800;4000=80;gold=102000},101
107,<7;8>,{coin2=700;4000=70;gold=99000},101
108,<8;9>,{coin2=600;4000=60;gold=96000},101
109,<9;10>,{coin2=500;4000=50;gold=93000},101
110,<10;11>,{coin2=480;4000=50;gold=90000},101
111,<11;21>,{coin2=460;4000=45;gold=87000},101
112,<21;31>,{coin2=450;4000=45;gold=84000},101
113,<31;41>,{coin2=440;4000=45;gold=81000},101
114,<41;51>,{coin2=430;4000=45;gold=78000},101
115,<51;61>,{coin2=420;4000=45;gold=75000},101
116,<61;81>,{coin2=410;4000=40;gold=72000},101
117,<81;101>,{coin2=400;4000=40;gold=70000},101
118,<101;301>,{coin2=390;4000=40;gold=68000},101
119,<301;9999999>,{coin2=380;4000=40;gold=66000},101
201,<1;2>,{coin2=1500;4000=150;gold=120000},102
202,<2;4>,{coin2=1300;4000=130;gold=114000},102
203,<4;6>,{coin2=1100;4000=110;gold=111000},102
204,<6;8>,{coin2=1000;4000=100;gold=108000},102
205,<8;10>,{coin2=900;4000=90;gold=105000},102
206,<10;12>,{coin2=800;4000=80;gold=102000},102
207,<12;14>,{coin2=700;4000=70;gold=99000},102
208,<14;16>,{coin2=600;4000=60;gold=96000},102
209,<16;20>,{coin2=500;4000=50;gold=93000},102
210,<20;25>,{coin2=480;4000=50;gold=90000},102
211,<25;30>,{coin2=460;4000=45;gold=87000},102
212,<30;35>,{coin2=450;4000=45;gold=84000},102
213,<35;41>,{coin2=440;4000=45;gold=81000},102
214,<41;51>,{coin2=430;4000=45;gold=78000},102
215,<51;61>,{coin2=420;4000=45;gold=75000},102
216,<61;81>,{coin2=410;4000=40;gold=72000},102
217,<81;101>,{coin2=400;4000=40;gold=70000},102
218,<101;301>,{coin2=390;4000=40;gold=68000},102
219,<301;9999999>,{coin2=380;4000=40;gold=66000},102
