VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
Defaults,,{},0,{coin2=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
21,,{20741=10},5,{coin2=1500},,100,,,,<200;200>,,,
22,,{21241=10},5,{coin2=1500},,100,,,1,<200;200>,,,
23,,{20271=10},5,{coin2=900},,100,,,2,<200;200>,,,
24,,{20481=10},5,{coin2=900},,100,,,3,<200;200>,,,
25,,{451=10},5,{coin2=500},,100,,,12,<200;200>,,,
26,,{5000=10},20,{coin2=400},,100,,,13,<200;200>,,,
27,,{514=10},15,{coin2=500},,100,,,14,,,,
28,,{902=10},1,{coin2=200},,100,,,15,,,,
31,,{21393=10},5,{coin2=5000},,100,,,,,,,
32,,{21381=10},5,{coin2=1500},,100,,,1,,,,
33,,{21841=10},5,{coin2=1500},,100,,,1,,,,
34,,{22242=10},5,{coin2=1500},,100,,,2,,,,
35,,{22612=10},5,{coin2=900},,100,,,6,,,,
36,,{22963=10},5,{coin2=900},,100,,,7,,,,
37,,{23342=10},5,{coin2=900},,100,,,8,,,,
41,,{23511=10},5,{coin2=900},,100,,,9,,,,
42,,{21303=10},5,{coin2=1500},,100,,,3,,,,
43,,{21032=10},5,{coin2=1500},,100,,,4,,,,
51,,{21082=10},5,{coin2=1500},,100,,,5,,,,
52,,{22593=10},5,{coin2=900},,100,,,10,,,,
101,,{22013=10},5,{coin2=900},,100,,,11,,,,
102,,{5001=100;5003=100;5002=100},30,{coin2=300},,100,,,8,<200;200>,,,
103,,{5001=100;5003=100;5002=100},30,{coin2=300},,100,,,8,<200;200>,,,
104,,{5004=100;5006=100;5005=100},30,{coin2=360},,100,,,8,<200;200>,,,
105,,{5004=100;5006=100;5005=100},30,{coin2=360},,100,,,8,<200;200>,,,
106,,{5008=100;5009=100;5007=100},30,{coin2=360},,100,,,8,<200;200>,,,
107,,{5008=100;5009=100;5007=100},30,{coin2=360},,100,,,8,<200;200>,,,
108,,{5011=100;5012=100;5010=100},30,{coin2=430},,100,,,8,<200;200>,,,
109,,{5011=100;5012=100;5010=100},30,{coin2=430},,100,,,8,<200;200>,,,
110,,{5014=100;5015=100;5013=100},30,{coin2=500},,100,,,8,<200;200>,,,
111,,{5014=100;5015=100;5013=100},30,{coin2=500},,100,,,8,<200;200>,,,
112,,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,8,<200;200>,,,
113,,{5016=100;5017=100;5018=100},30,{coin2=570},,100,,,8,<200;200>,,,
114,,{5020=100;5019=100;5021=100},30,{coin2=650},,100,,,8,<200;200>,,,
115,,{5020=100;5019=100;5021=100},30,{coin2=650},,100,,,8,<200;200>,,,
116,,{5022=100;5024=100;5023=100},30,{coin2=720},,100,,,8,<200;200>,,,
117,,{5022=100;5024=100;5023=100},30,{coin2=720},,100,,,8,<200;200>,,,
118,,{5025=100;5027=100;5026=100},30,{coin2=790},,100,,,8,<200;200>,,,
119,,{5025=100;5027=100;5026=100},30,{coin2=790},,100,,,8,<200;200>,,,
120,,{5029=100;5028=100;5030=100},30,{coin2=860},,100,,,8,<200;200>,,,
121,,{5029=100;5028=100;5030=100},30,{coin2=860},,100,,,8,<200;200>,,,
122,,{5032=100;5033=100;5031=100},30,{coin2=930},,0,,,8,<200;200>,,,
201,,{5032=100;5033=100;5031=100},30,{coin2=930},,0,,,8,<200;200>,,,
202,,{5001=100;5003=100;5002=100},30,{coin2=300},,100,,,7,<200;200>,,,
203,,{5001=100;5003=100;5002=100},30,{coin2=300},,100,,,7,<200;200>,,,
204,,{5004=100;5006=100;5005=100},30,{coin2=360},,100,,,7,<200;200>,,,
