VariableName,name_cn,languages,name_tw,name_vn,name,name_ma,name_en,name_th,name_in,name_ph,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc_cn,desc,desc_vn,desc_ma,desc_en,desc_th,desc_in,desc_ph,unlock,unlockDesc_cn,unlockDesc,unlockDesc_vn,unlockDesc_ma,unlockDesc_en,unlockDesc_th,unlockDesc_in,unlockDesc_ph,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1_vn,chattext1,chattext1_ma,chattext1_en,chattext1_th,chattext1_in,chattext1_ph,chattext2_vn,chattext2,chattext2_ma,chattext2_en,chattext2_th,chattext2_in,chattext2_ph,chattext3_vn,chattext3,chattext3_ma,chattext3_en,chattext3_th,chattext3_in,chattext3_ph,crossArenaPos
Defaults,"""""",<cn;tw;en;vn;th;kr;in;ma;ph>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",12,"""""",1,0,{x=1750;y=436},{x=0;y=0},"""""","""""","""""","""""","""""","""""","""""","""""",{},"""""","""""","""""","""""","""""","""""","""""","""""","""""",,0,0,"""""",0,0,"""""",0,0,"""""",<>,<>,0,0,0,0,0,TRUE,{x=160;y=-50},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{x=0;y=0}
ID,名字,语言区域,名字,名字,名字,名字,名字,名字,名字,名字,在列表中的显示,资源路径,战斗姿态,spine资源路径,跨服商业街的spine资源路径,Q版人物形象资源,Q版人物特效,层级,背景路径,分类（1普通2稀有）,同类型中的排序优先级(越大越优先),主角位置,战斗姿态资源位置偏移（针对战斗前动画界面）,描述,描述,描述,描述,描述,描述,描述,描述,解锁条件格式 {条件=数值} 1=等级 2=关卡 5=VIP等级 6=战力 44=竞技场排名 79=训练家等级,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,解锁条件描述,无解锁条件和消耗且未获取时的描述,激活消耗,自然属性卡牌加成(0表示全部),属性类型1,属性数值1,自然属性卡牌加成(0表示全部),属性类型2,属性数值2,自然属性卡牌加成(0表示全部),属性类型3,属性数值3,解锁技能,技能激活对应role等级,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,隐藏显示（0为显示）,对话气泡是否需要翻转,对话框的位置偏移,对话内容1,对话内容1,对话内容1,对话内容1,对话内容1,对话内容1,对话内容1,对话内容2,对话内容2,对话内容2,对话内容2,对话内容2,对话内容2,对话内容2,对话内容3,对话内容3,对话内容3,对话内容3,对话内容3,对话内容3,对话内容3,跨服竞技场位置偏移值
,,,,,,,,,,,,,,,,,,,,,,,,,"An elite member of Takigakure village, one of the members of ""Akatsuki"". Partner of Hidan, possesses the secret jutsu ""Earth Grudge Fear"", allowing him to control black tendrils from within his body using chakra to steal others' hearts  ","Một thành viên ưu tú của làng Takigakure, một trong những thành viên của ""Akatsuki"". Đồng đội của Hidan, sở hữu bí thuật ""Địa Oán Ngu"", có thể điều khiển xúc tu đen giải phóng từ bên trong cơ thể bằng cách sử dụng chakra, từ đó cướp đoạt trái tim của người khác.","Seorang ahli elit dari kampung Takigakure, salah satu anggota ""Akatsuki"". Rakan kepada Hidan, memiliki jutsu rahsia ""Jiongu"" yang boleh mengawal sesungut hitam yang keluar dari tubuhnya menggunakan chakra untuk merampas jantung orang lain  ","An elite member of Takigakure village, one of the members of ""Akatsuki"". Partner of Hidan, possesses the secret jutsu ""Earth Grudge Fear"", allowing him to control black tendrils from within his body using chakra to steal others' hearts  ","สมาชิกคนสำคัญของหมู่บ้านทาคิงาคุเระ หนึ่งในสมาชิกของ ""แสงอุษา"" เป็นคู่หูของฮิดัน ผู้ใช้วิชาลับ ""จิโอะอังงู"" ที่สามารถควบคุมหนวดสีดำที่พุ่งออกมาจากร่างกายด้วยจักระ และขโมยหัวใจของผู้อื่น  ","Anggota elit dari desa Takigakure, salah satu anggota ""Akatsuki"". Rekan Hidan, pemilik jutsu rahasia ""Jiongu"", yang dapat mengendalikan tentakel hitam yang keluar dari tubuhnya menggunakan chakra, untuk mencuri jantung orang lain  ","Isang kilalang miyembro ng nayon ng Takigakure, isa sa mga kasapi ng ""Akatsuki"". Katuwang ni Hidan, taglay ang lihim na jutsu na ""Jiongu"", na kayang kontrolin ang mga itim na galamay mula sa kanyang katawan gamit ang chakra upang nakawin ang puso ng iba  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,Naruto Uzumaki (Thiếu niên),Naruto Uzumaki (Teen),Naruto Uzumaki (Remaja),Naruto Uzumaki (Teen),นารูโตะ อุซึมากิ (วัยเด็ก),Naruto Uzumaki (Remaja),Naruto Uzumaki (Kabataan),config/portrait/toptouxiang/img_hy_21.png,config/big_role/show/img_hy_21.png,config/big_role/show/img_hy_21.png,naruto_naruto00/naruto00_ui.skel,,,,,personal/img_bjt.png,,,,,,"A ninja from the Leaf Village in the Land of Fire, son of the Fourth Hokage Minato Namikaze and Kushina Uzumaki, reincarnation of Asura, the second son of the Sage of Six Paths","Ninja của Làng Lá thuộc Hỏa Quốc, con trai của Hokage Đệ Tứ Minato Namikaze và Kushina Uzumaki, người chuyển sinh chakra của Lục Đạo Tiên Nhân thứ tử Asura.","Seorang ninja dari Kampung Daun di Negara Api, anak kepada Hokage Keempat Minato Namikaze dan Kushina Uzumaki, penjelmaan semula chakra Asura, anak kedua kepada Sage Enam Jalan","A ninja from the Leaf Village in the Land of Fire, son of the Fourth Hokage Minato Namikaze and Kushina Uzumaki, reincarnation of Asura, the second son of the Sage of Six Paths",นินจาหมู่บ้านโคโนฮะ ประเทศไฟ ลูกชายของโฮคาเงะรุ่นที่ 4 มินาโตะ นามิคาเสะ และคุชินะ อุสึมากิ ผู้สืบทอดจักระของโอสึซึกิ อาชูระ บุตรคนที่สองของเซียนหกวิถี,"Ninja dari Desa Daun di Negara Api, putra Hokage Keempat Minato Namikaze dan Kushina Uzumaki, reinkarnasi chakra Asura, anak kedua dari Sage Enam Jalan","Isang ninja mula sa Nayon ng Dahon sa Bansa ng Apoy, anak nina Hokage Ika-4 Minato Namikaze at Kushina Uzumaki, reinkarnasyon ng chakra ni Asura, ikalawang anak ng Sage of Six Paths",{1=10},,Unlocks at level 10  ,Đạt cấp 10 sẽ mở khóa.,Buka kunci pada tahap 10  ,Unlocks at level 10  ,ปลดล็อกเมื่อถึงเลเวล 10  ,Terbuka saat mencapai level 10  ,Ma-a-unlock kapag umabot sa level 10  ,,{gold=30000},,1,220,,9,220,,,,,,,,,,,,,"Uzumaki Naruto, đi nào.","Uzumaki Naruto, let’s go.  ","Uzumaki Naruto, mari kita pergi.  ","Uzumaki Naruto, let’s go.  ",อุซึมากิ นารูโตะ ไปกันเถอะ  ,"Uzumaki Naruto, ayo pergi.  ","Uzumaki Naruto, tara na.  ","Chờ xem nhé, ta sẽ càng ngày mạnh hơn.","Just wait and see, I’ll grow stronger every day.  ","Tunggu dan lihat, aku akan semakin kuat.  ","Just wait and see, I’ll grow stronger every day.  ",รอดูได้เลย ฉันจะแข็งแกร่งขึ้นทุกวัน  ,"Tunggu saja, aku akan semakin kuat setiap hari  ","Hintayin mo lang, lalo pa akong lalakas araw-araw  ","Có lời gì cứ nói, đây chính là nhẫn đạo của ta.","If you have something to say, just say it. This is my ninja way.  ","Jika ada apa-apa yang ingin dikatakan, katakan sahaja. Ini adalah jalan ninja saya.  ","If you have something to say, just say it. This is my ninja way.  ",ถ้ามีอะไรจะพูด ก็พูดมาเลย นี่แหละคือวิถีนินจาของฉัน  ,"Jika kau ada yang ingin dikatakan, inilah jalan ninja-ku  ","Kung may gusto kang sabihin, ito ang aking landas ng ninja  ",
2,,,,Sakura Haruno (thiếu niên),Sakura Haruno (Teen),Sakura Haruno (Remaja),Sakura Haruno (Teen),ซากุระ ฮารุโนะ (วัยเด็ก),Sakura Haruno (Remaja),Sakura Haruno (kabataan),config/portrait/toptouxiang/img_hy_1.png,config/big_role/show/img_hy_1.png,config/big_role/show/img_hy_1.png,naruto_sakura00/sakura00_ui.skel,,,,,personal/img_bjt1.png,,,,,,"A new generation of medical ninja, disciple of Fifth Hokage Tsunade, alongside Uzumaki Naruto and Uchiha Sasuke in Team 7 under the leadership of Hatake Kakashi  ","Thế hệ ninja y thuật mới, đệ tử của Hokage đệ ngũ Tsunade, cùng với Uzumaki Naruto và Uchiha Sasuke thuộc Đội 7 dưới sự lãnh đạo của Hatake Kakashi.","Generasi baru ninja perubatan, murid kepada Hokage Kelima Tsunade, bersama Uzumaki Naruto dan Uchiha Sasuke dalam Pasukan 7 di bawah pimpinan Hatake Kakashi  ","A new generation of medical ninja, disciple of Fifth Hokage Tsunade, alongside Uzumaki Naruto and Uchiha Sasuke in Team 7 under the leadership of Hatake Kakashi  ",นินจารุ่นใหม่ที่เชี่ยวชาญด้านแพทย์ ศิษย์ของโฮคาเงะรุ่นที่ห้า ซึนาเดะ อยู่ทีม 7 ร่วมกับอุสึมากิ นารูโตะ และอุจิวะ ซาสึเกะ ภายใต้การนำของฮาตาเกะ คาคาชิ  ,"Generasi baru ninja medis, murid Hokage Kelima Tsunade, bersama Uzumaki Naruto dan Uchiha Sasuke dari Tim 7 di bawah kepemimpinan Hatake Kakashi  ","Bagong henerasyon ng mga medikal na ninja, alagad ni Hokage Ikalima Tsunade, kasama sina Uzumaki Naruto at Uchiha Sasuke sa Team 7 sa ilalim ng pamumuno ni Hatake Kakashi  ",{1=20},,Unlocks at level 20  ,Đạt cấp 20 sẽ mở khóa.,Buka kunci pada tahap 20  ,Unlocks at level 20  ,ปลดล็อกเมื่อถึงเลเวล 20  ,Terbuka saat mencapai level 20  ,Ma-a-unlock kapag umabot sa level 20  ,,{gold=30000},,1,220,,10,220,,,,,,,,,,,,,Các ngươi đều nhìn kỹ nhé!,"Everyone, watch closely!  ",Kamu semua lihat betul-betul!  ,"Everyone, watch closely!  ",พวกเจ้าทุกคนดูให้ดีล่ะ!  ,"Kalian semua, lihat baik-baik!  ",Tingnan ninyong mabuti!  ,Để các ngươi biết được sự kiên trì và trái tim của nữ nhân.,Let me show you the perseverance and heart of a woman.  ,Untuk menunjukkan kepada kalian ketabahan dan hati seorang wanita.  ,Let me show you the perseverance and heart of a woman.  ,จะให้พวกเธอเห็นถึงความพยายามและหัวใจของผู้หญิง  ,Akan kutunjukkan kepada kalian ketekunan dan hati seorang wanita  ,Ipapakita ko sa inyo ang tiyaga at puso ng isang babae  ,Ta sẽ dùng nắm đấm đánh bay ngươi!,I’ll knock you away with my fists!  ,Saya akan menumbuk kamu terbang!  ,I’ll knock you away with my fists!  ,ฉันจะใช้หมัดซัดแกให้กระเด็น!  ,Aku akan menghajarmu dengan tinjuku!  ,Gagamitin ko ang kamao ko para pabagsakin ka!  ,
3,,,,Uchiha Sasuke (Thiếu niên),Sasuke Uchiha (Teen),Sasuke Uchiha (Remaja),Sasuke Uchiha (Teen),ซาสึเกะ อุจิวะ (วัยเด็ก),Sasuke Uchiha (Remaja),Sasuke Uchiha (Kabataan),config/portrait/toptouxiang/img_hy_11.png,config/big_role/show/img_hy_11.png,config/big_role/show/img_hy_11.png,naruto_sasuke00/sasuke00_ui.skel,,,,,personal/img_bjt.png,,,,,,"A genius ninja of the Uchiha clan from the Leaf Village, Land of Fire, reincarnation of Indra, the eldest son of the Sage of Six Paths  ","Thiên tài ninja của gia tộc Uchiha thuộc làng Lá, Hỏa Quốc, người chuyển sinh chakra của Indra, con trai cả của Lục Đạo Tiên Nhân.","Ninja genius dari klan Uchiha di Kampung Daun, Negara Api, reinkarnasi chakra Indra, anak sulung kepada Sage Enam Jalan  ","A genius ninja of the Uchiha clan from the Leaf Village, Land of Fire, reincarnation of Indra, the eldest son of the Sage of Six Paths  ",อัจฉริยะของตระกูลอุจิวะแห่งหมู่บ้านโคโนฮะ ประเทศไฟ ผู้เป็นร่างจุติจักระของอินดรา บุตรคนโตของเซียนหกวิถี  ,"Ninja jenius dari klan Uchiha di Desa Daun, Negara Api, reinkarnasi chakra Indra, putra sulung dari Sage Enam Jalan  ","Henyo mula sa angkan ng Uchiha sa Nayon ng Dahon, Bansa ng Apoy, reinkarnasyon ng chakra ni Indra, panganay na anak ng Sage of Six Paths  ",{1=30},,Unlocks at level 30  ,Đạt cấp 30 sẽ mở khóa.,Buka kunci pada tahap 30  ,Unlocks at level 30  ,ปลดล็อกเมื่อถึงเลเวล 30  ,Terbuka saat mencapai level 30  ,Ma-a-unlock kapag umabot sa level 30  ,,{gold=30000},,1,220,,9,220,,,,,,,,,,,,,"Không đánh gục được ai, ta sẽ không từ bỏ.",I won’t give up unless I take someone down.  ,Aku tidak akan berputus asa selagi belum tumbangkan sesiapa.  ,I won’t give up unless I take someone down.  ,ถ้าไม่สามารถล้มใครได้ ฉันจะไม่ยอมแพ้เด็ดขาด  ,"Jika aku tidak bisa mengalahkan siapa pun, aku tidak akan menyerah.  ",Hindi ako susuko hangga’t hindi ko kayo natatalo.  ,Để ngươi thấy được sức mạnh của Tộc Uchiha!,Witness the power of the Uchiha Clan!  ,Akan kutunjukkan kekuatan Klan Uchiha!  ,Witness the power of the Uchiha Clan!  ,ให้เจ้าได้เห็นพลังของตระกูลอุจิวะ!  ,Akan kutunjukkan kekuatan klan Uchiha!  ,Ipapakita ko sa’yo ang lakas ng angkan ng Uchiha!  ,Không được gây cản trở ta.,Don’t get in my way.  ,Jangan ganggu saya.  ,Don’t get in my way.  ,อย่ามาขัดขวางฉัน  ,Jangan menghalangiku  ,Huwag mo akong harangan  ,
4,,,,Nara Shikamaru (thiếu niên),Shikamaru Nara (Teen),Shikamaru Nara (Remaja),Shikamaru Nara (Teen),ชิกามารุ นาระ (วัยเด็ก),Shikamaru Nara (Remaja),Shikamaru Nara (Kabataan),config/portrait/toptouxiang/img_hy_31.png,config/big_role/show/img_hy_31.png,config/big_role/show/img_hy_31.png,naruto_shikamaru00/shikamaru00_ui.skel,,,,,personal/img_bjt.png,,,,,,"A jonin from the Leaf Village, Land of Fire, with exceptional enemy strategy, calm mind, adaptable, IQ over 200  ","Thượng nhẫn của Làng Lá, Hỏa Quốc, người sở hữu chiến lược đối phó địch xuất chúng, đầu óc冷静, tùy cơ ứng biến, IQ trên 200.","Jonin dari Kampung Daun, Negara Api, memiliki strategi cemerlang menentang musuh, berfikiran tenang, cepat menyesuaikan diri, IQ melebihi 200  ","A jonin from the Leaf Village, Land of Fire, with exceptional enemy strategy, calm mind, adaptable, IQ over 200  ",โจนินแห่งหมู่บ้านโคโนฮะ ประเทศไฟ ผู้มีแผนกลยุทธ์อันยอดเยี่ยม มีสติปัญญาเยือกเย็น รับมือสถานการณ์ได้ดี IQ มากกว่า 200  ,"Jonin dari Desa Daun, Negara Api, memiliki strategi hebat untuk melawan musuh, pikiran tenang, mampu beradaptasi, IQ di atas 200  ","Isang jonin mula sa Nayon ng Dahon, Bansa ng Apoy, may pambihirang diskarte laban sa kalaban, kalmado ang isipan, mabilis umangkop, may IQ na higit sa 200  ",{1=40},,Unlocks at level 40  ,Đạt cấp 40 sẽ mở khóa.,Buka kunci pada tahap 40  ,Unlocks at level 40  ,ปลดล็อกเมื่อถึงเลเวล 40  ,Terbuka saat mencapai level 40  ,Ma-a-unlock kapag umabot sa level 40  ,,{gold=30000},,1,220,,10,220,,,,,,,,,,,,,A... Shirakumo tốt quá.,Ah... Shirakumo is so nice.  ,Ah... Shirakumo memang baik.  ,Ah... Shirakumo is so nice.  ,อะ... ชิราคุโมะใจดีมากเลย  ,A... Shirakumo sangat baik.  ,A... Ang bait ni Shirakumo.  ,"Dù rất phiền toái, nhưng cứ làm đi!","Though it’s a hassle, let’s just do it!  ","Walaupun menyusahkan, tetap harus dilakukan!  ","Though it’s a hassle, let’s just do it!  ",ถึงจะน่ารำคาญ แต่ก็ต้องทำ!  ,"Meskipun merepotkan, tetap harus dilakukan!  ","Kahit nakakainis, kailangan pa ring gawin!  ","Ài, thật phiền phức...",Sigh… so troublesome…  ,"Aduh, sangat menyusahkan…  ",Sigh… so troublesome…  ,เฮ้อ น่ารำคาญจริงๆ...  ,"Aduh, merepotkan sekali...  ","Hay naku, nakakainis talaga...  ",
5,,,,Neji Hyuga (Thiếu niên),Neji Hyuga (Teen),Neji Hyuga (Remaja),Neji Hyuga (Teen),เนจิ ฮิวงะ (วัยเด็ก),Neji Hyuga (Remaja),Neji Hyuga (Kabataan),config/portrait/toptouxiang/img_hy_41.png,config/big_role/show/img_hy_41.png,config/big_role/show/img_hy_41.png,naruto_neji00/neji00_ui.skel,,,,,personal/img_bjt.png,,,,,,"Known as the genius of the Hyuga clan, though his Byakugan abilities were restricted by the Main Family, he inherited techniques like “Heavenly Rotation” thanks to his natural talent","Được mệnh danh là thiên tài của gia tộc Hyuga, mặc dù năng lực huyết kế giới hạn Byakugan bị Tông gia hạn chế, nhưng cậu ấy đã thừa hưởng được các thể thuật như ""Hồi Thiên"" mà chỉ có Tông gia mới có thể sử dụng, nhờ vào thiên phú của mình.","Digelar sebagai genius klan Hyuga, walaupun keupayaan Byakugan dibatasi oleh keluarga utama, dia mewarisi teknik seperti “Pemutaran Syurga” hasil daripada bakat semulajadinya","Known as the genius of the Hyuga clan, though his Byakugan abilities were restricted by the Main Family, he inherited techniques like “Heavenly Rotation” thanks to his natural talent",ได้รับฉายาอัจฉริยะของตระกูลฮิวงะ แม้ความสามารถเนตรบยาคุแกนจะถูกจำกัดโดยสายหลัก แต่เขาสามารถใช้ทักษะเฉพาะเช่น “หมุนป้องกัน” ได้จากพรสวรรค์ของตน,"Dikenal sebagai jenius dari klan Hyuga, meskipun kemampuan Byakugan dibatasi oleh keluarga utama, ia mewarisi teknik seperti ""Pemutaran Langit"" yang hanya bisa digunakan oleh keluarga utama, berkat bakat alaminya","Tinaguriang henyo ng angkan Hyuga, kahit na limitado ang kakayahan ng Byakugan niya ng Pamilyang Pangunahing Sangay, namana niya ang mga teknik gaya ng ""Heavenly Spin"" gamit ang likas na talento",{1=50},,Unlocks at level 50  ,Đạt cấp độ 50 sẽ mở khóa.,Buka kunci pada tahap 50  ,Unlocks at level 50  ,ปลดล็อกเมื่อถึงเลเวล 50  ,Terbuka saat mencapai level 50  ,Ma-a-unlock kapag umabot sa level 50  ,,{rmb=300},,1,330,,9,330,,,,,,,,,,,,,Byakuran có thể nhìn thấu mọi thứ.,Byakuran can see through everything.  ,Byakuran boleh melihat segala-galanya.  ,Byakuran can see through everything.  ,เบียคุรันสามารถมองทะลุทุกสิ่งทุกอย่าง  ,Byakuran bisa melihat segala hal.  ,Kayang makita ni Byakuran ang lahat.  ,Làm đối thủ của ta nhé? Vận may thật tốt.,Wanna be my opponent? Lucky you.  ,Nak jadi lawanku? Kau memang bernasib baik.  ,Wanna be my opponent? Lucky you.  ,จะเป็นคู่ต่อสู้ของฉันเหรอ? ดวงดีจริง ๆ  ,Jadi lawanku? Kau beruntung sekali  ,Gusto mong maging kalaban ko? Napakasuwerte mo!  ,Byakuran có thể nhìn thấu mọi thứ.,Byakugan can see through everything.  ,Byakugan boleh melihat segala-galanya.  ,Byakugan can see through everything.  ,พลังเนตร Byakugan มองทะลุได้ทุกสิ่ง  ,Byakugan bisa melihat segalanya  ,Kayang makita ni Byakugan ang lahat  ,
6,,,,Inuzuka Kiba (thiếu niên),Kiba Inuzuka (Teen),Kiba Inuzuka (Remaja),Kiba Inuzuka (Teen),คิบะ อินุซึกะ (วัยเด็ก),Kiba Inuzuka (Remaja),Kiba Inuzuka (Kabataan),config/portrait/toptouxiang/img_hy_51.png,config/big_role/show/img_hy_51.png,config/big_role/show/img_hy_51.png,naruto_kiba00/kiba00_ui.skel,,,,,personal/img_bjt.png,,,,,,"A chunin from the Leaf Village, Land of Fire, son of Tsume Inuzuka, head of the Inuzuka clan. He is skilled in working with his ninja dog Akamaru, most commonly uses the jutsu “Fang Over Fang”, has a competitive, impulsive, and confident personality, likes to be a leader  ","Trung nhẫn của Làng Lá thuộc Hỏa Quốc, con trai của Tsume Inuzuka, tộc trưởng gia tộc Inuzuka. Anh ta giỏi hợp tác với nhẫn khuyển Akamaru, nhẫn thuật thường dùng nhất là ""Nha Thông Nha"", tính cách hiếu thắng, bốc đồng và tự tin, thích làm thủ lĩnh của người khác.","Chunin dari Kampung Daun, Negara Api, anak kepada Tsume Inuzuka, ketua klan Inuzuka. Dia mahir bekerjasama dengan anjing ninja Akamaru, jurus paling kerap digunakan ialah “Taring Berpusing”, berperwatakan suka bersaing, gopoh, yakin diri dan suka jadi ketua  ","A chunin from the Leaf Village, Land of Fire, son of Tsume Inuzuka, head of the Inuzuka clan. He is skilled in working with his ninja dog Akamaru, most commonly uses the jutsu “Fang Over Fang”, has a competitive, impulsive, and confident personality, likes to be a leader  ",จูนินจากหมู่บ้านโคโนฮะ ประเทศไฟ ลูกชายของสึเมะ อินุซึกะ หัวหน้าตระกูลอินุซึกะ เขาเก่งในการร่วมมือกับหมานินจาอาคามารุ วิชานินจาที่ใช้บ่อยคือ “เขี้ยวหมุนคู่” นิสัยชอบแข่งขัน ใจร้อน มั่นใจ ชอบเป็นผู้นำ  ,"Chunin dari Desa Daun, Negara Api, putra Tsume Inuzuka, kepala klan Inuzuka. Dia ahli bekerja sama dengan anjing ninja Akamaru, jutsu yang paling sering digunakan adalah ""Fang Over Fang"", berkepribadian kompetitif, impulsif, percaya diri, dan suka memimpin  ","Chunin mula sa Nayon ng Dahon, Bansa ng Apoy, anak ni Tsume Inuzuka, pinuno ng angkan Inuzuka. Mahusay siyang makipagtulungan kay Akamaru, ang kanyang anino, at madalas gumamit ng jutsu na ""Fang Over Fang"", may kompetitibong ugali, padalus-dalos, may tiwala sa sarili, at gustong maging lider  ",{1=60},,Unlocks at level 60  ,Đạt cấp 60 sẽ mở khóa.,Buka kunci pada tahap 60  ,Unlocks at level 60  ,ปลดล็อกเมื่อถึงเลเวล 60  ,Terbuka saat mencapai level 60  ,Ma-a-unlock kapag umabot sa level 60  ,,{rmb=300},,1,330,,10,330,,,,,,,,,,,,,"Lên nào, Akamaru!","Let’s go, Akamaru!  ","Mari kita pergi, Akamaru!  ","Let’s go, Akamaru!  ",ไปกันเถอะ อาคามารุ!  ,"Ayo, Akamaru!  ","Halika na, Akamaru!  ",Để ngươi thấy được tổ hợp hoàn mỹ của ta và Akamaru!,See the perfect combo of me and Akamaru!  ,Biar kau lihat gabungan sempurna antara aku dan Akamaru!  ,See the perfect combo of me and Akamaru!  ,ให้เจ้าได้เห็นการประสานงานที่สมบูรณ์แบบของฉันกับอาคามารุ!  ,Akan kutunjukkan kombinasi sempurna antara aku dan Akamaru!  ,Ipapakita ko sa’yo ang perpektong kombinasyon namin ni Akamaru!  ,Vẫn chưa đến lượt ta ra trận sao?,Still not my turn to fight yet?  ,Masih belum giliran saya bertarung?  ,Still not my turn to fight yet?  ,ยังไม่ถึงตาฉันออกรบอีกเหรอ?  ,Belum giliranku bertarung ya?  ,Hindi pa rin ba ako ang susunod na lalaban?  ,
7,,,,Aburame Shino (Thiếu niên),Shino Aburame (Teen),Shino Aburame (Remaja),Shino Aburame (Teen),ชิโนะ อาบุราเมะ (วัยเด็ก),Shino Aburame (Remaja),Shino Aburame (Kabataan),config/portrait/toptouxiang/img_hy_61.png,config/big_role/show/img_hy_61.png,config/big_role/show/img_hy_61.png,naruto_shino00/shino00_ui.skel,,,,,personal/img_bjt.png,,,,,,"A jonin from the Leaf Village, Land of Fire, calm and often complains, but extremely powerful. He uses his body as a nest for insects and controls them to fight  ","Thượng nhẫn của Làng Lá, Hỏa Quốc, tính cách điềm tĩnh, hay cằn nhằn, nhưng thực lực cực mạnh. Anh ta dùng cơ thể làm tổ cho côn trùng, điều khiển chúng để chiến đấu.","Jonin dari Kampung Daun, Negara Api, berperwatakan tenang, suka merungut, tetapi sangat kuat. Dia gunakan badannya sebagai sarang serangga dan mengawalnya untuk bertempur  ","A jonin from the Leaf Village, Land of Fire, calm and often complains, but extremely powerful. He uses his body as a nest for insects and controls them to fight  ",โจนินแห่งหมู่บ้านโคโนฮะ ประเทศไฟ นิสัยสุขุม ขี้บ่น แต่มีพลังต่อสู้มหาศาล เขาใช้ร่างกายเป็นรังแมลง ควบคุมแมลงต่อสู้  ,"Jonin dari Desa Daun, Negara Api, berkepribadian tenang dan suka mengeluh, tapi sangat kuat. Ia menggunakan tubuhnya sebagai sarang serangga dan mengendalikannya untuk bertarung  ","Isang jonin mula sa Nayon ng Dahon, Bansa ng Apoy, may kalmadong ugali, medyo reklamador, ngunit napakalakas. Ginagamit niya ang kanyang katawan bilang pugad ng mga insekto upang lumaban  ",{1=70},,Can be unlocked at level 70  ,Có thể mở khóa sau khi đạt cấp 70.,Boleh dibuka selepas mencapai tahap 70  ,Can be unlocked at level 70  ,สามารถปลดล็อกได้เมื่อถึงเลเวล 70  ,Dapat dibuka setelah mencapai level 70  ,Maaaring ma-unlock kapag umabot sa level 70  ,,{rmb=300},,1,330,,9,330,,,,,,,,,,,,,"Trước mặt hàng vạn côn trùng, ngươi không thể thoát được.","In front of tens of thousands of insects, you can’t escape.  ","Di hadapan puluhan ribu serangga, kau takkan dapat melarikan diri.  ","In front of tens of thousands of insects, you can’t escape.  ",ต่อหน้าหมื่นแมลง เจ้าหนีไม่รอดหรอก  ,"Di hadapan puluhan ribu serangga, kau tidak bisa melarikan diri.  ","Sa harap ng libu-libong insekto, wala kang kawala.  ",Hình như lại sai nữa...,Seems like I messed up again…  ,Nampaknya tersalah lagi...  ,Seems like I messed up again…  ,ดูเหมือนจะพลาดอีกแล้ว...  ,Sepertinya salah lagi...  ,Parang mali na naman...  ,Hình như lại sai nữa...,Seems like I messed up again…  ,Nampaknya saya silap lagi…  ,Seems like I messed up again…  ,เหมือนจะผิดอีกแล้ว...  ,Sepertinya salah lagi...  ,Parang mali na naman...  ,
