VariableName,name,name_ma,name_en,name_in,name_th,name_ph,name_vn,icon,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_vn,unlockDesc_th,unlockDesc_in,unlockDesc_ph
Defaults,"""""","""""","""""","""""","""""","""""","""""",,<cn;tw;en;vn;th;kr;ma;ph;in>,Unlockable via special method,Buka melalui kaedah khas,Unlockable via special method,Mở bằng cách đặc biệt,ปลดล็อกผ่านวิธีพิเศษ,Dibuka melalui cara khusus,Nabubuksan sa pamamagitan ng espesyal na paraan
ID,名字,名字,名字,名字,名字,名字,名字,头像框（支持spine）,语言区域,解锁条件,解锁条件,解锁条件,解锁条件_越南,unlockDesc_th,unlockDesc_in,unlockDesc_ph
1,Default avatar frame,Bingkai avatar lalai,Default avatar frame,Bingkai avatar default,กรอบรูปโปรไฟล์เริ่มต้น,Default na frame ng larawan ng profile,Khung ảnh đại diện mặc định,config/portrait/frame/icon_moren.png,,,,,,,,
2,Golden Commander,Komander Emas,Golden Commander,Komandan Emas,ผู้บัญชาการทองคำ,Ginintuang Kumandante,Chỉ huy trưởng Hoàng kim,config/portrait/frame/icon_huangjin.png,,,,,,,,
100,Kagura Avatar Frame,Bingkai Avatar Kagura,Kagura Avatar Frame,Bingkai Avatar Kagura,กรอบอวาตาร์คางุระ,Frame ng Avatar ni Kagura,Khung avatar Kagura,config/portrait/frame/icon_shenle.png,,,,,,,,
101,Kaneki Ken Avatar Frame,Bingkai Avatar Kaneki Ken,Kaneki Ken Avatar Frame,Bingkai Avatar Kaneki Ken,กรอบอวาตาร์คาเนกิ เคน,Frame ng Avatar ni Kaneki Ken,Khung avatar Kaneki Ken,config/portrait/frame/icon_jinmuyan.png,,,,,,,,
102,Kakashi Avatar Frame,Bingkai Avatar Kakashi,Kakashi Avatar Frame,Bingkai Avatar Kakashi,กรอบอวาตาร์คาคาชิ,Frame ng Avatar ni Kakashi,Khung avatar Kakashi,config/portrait/frame/icon_kakaxi.png,,,,,,,,
103,Shana Avatar Frame,Bingkai Avatar Shana,Shana Avatar Frame,Bingkai Avatar Shana,กรอบอวาตาร์ชานะ,Frame ng Avatar ni Shana,Khung avatar Shana,config/portrait/frame/icon_xn.png,,,,,,,,
104,Hinata Hyuga Avatar Frame,Bingkai Avatar Hinata Hyuga,Hinata Hyuga Avatar Frame,Bingkai Avatar Hinata Hyuga,กรอบอวาตาร์ฮินาตะ ฮิวงะ,Frame ng Avatar ni Hinata Hyuga,Khung avatar Hinata Hyuga,config/portrait/frame/icon_xiangrichutian.png,,,,,,,,
200,Gilgamesh Avatar Frame,Bingkai Avatar Gilgamesh,Gilgamesh Avatar Frame,Bingkai Avatar Gilgamesh,กรอบอวาตาร์กิลกาเมซ,Frame ng Avatar ni Gilgamesh,Khung avatar Gilgamesh,config/portrait/frame/icon_jejms.png,,,,,,,,
201,Kirisame Marisa Avatar Frame,Bingkai Avatar Kirisame Marisa,Kirisame Marisa Avatar Frame,Bingkai Avatar Kirisame Marisa,กรอบอวาตาร์คิริซาเมะ มาริสะ,Frame ng Avatar ni Kirisame Marisa,Khung avatar Kirisame Marisa,txk/icon_tx_11.json,,,,,,,,
202,Sailor Moon Avatar Frame,Bingkai Avatar Sailor Moon,Sailor Moon Avatar Frame,Bingkai Avatar Sailor Moon,กรอบอวาตาร์เซเลอร์มูน,Frame ng Avatar ni Sailor Moon,Khung ảnh avatar Thủy thủ Mặt Trăng,txk/icon_tx_2.json,,,,,,,,
203,Vegeta Avatar Frame,Bingkai Avatar Vegeta,Vegeta Avatar Frame,Bingkai Avatar Vegeta,กรอบอวาตาร์เบจิต้า,Frame ng Avatar ni Vegeta,Khung ảnh Vegeta,config/portrait/frame/icon_beijita.png,,,,,,,,
204,Maple Avatar Frame,Bingkai Avatar Maple,Maple Avatar Frame,Bingkai Avatar Maple,กรอบอวาตาร์เมเปิ้ล,Frame ng Avatar ni Maple,Khung avatar Maple,config/portrait/frame/icon_meipulu.png,,,,,,,,
205,Great Serpent Avatar Frame,Bingkai Avatar Ular Gergasi,Great Serpent Avatar Frame,Bingkai Avatar Ular Raksasa,กรอบอวาตาร์อสรพิษยักษ์,Frame ng Avatar ng Higanteng Ahas,Khung ảnh đại xà,txk/icon_tx_6.json,,,,,,,,
206,Hades Avatar Frame,Bingkai Avatar Hades,Hades Avatar Frame,Bingkai Avatar Hades,กรอบอวาตาร์ฮาเดส,Frame ng Avatar ni Hades,Khung ảnh Hades,config/portrait/frame/icon_hadisi.png,,,,,,,,
207,Red Eye Avatar Frame,Bingkai Avatar Mata Merah,Red Eye Avatar Frame,Bingkai Avatar Mata Merah,กรอบอวาตาร์ดวงตาแดง,Frame ng Avatar ng Pulang Mata,Khung avatar Mắt Đỏ,txk/icon_tx_10.json,,,,,,,,
208,Levi Avatar Frame,Bingkai Avatar Levi,Levi Avatar Frame,Bingkai Avatar Levi,กรอบอวาตาร์เลวี,Frame ng Avatar ni Levi,Khung ảnh Levi,config/portrait/frame/icon_liwei.png,,,,,,,,
209,Tohsaka Rin Avatar Frame,Bingkai Avatar Tohsaka Rin,Tohsaka Rin Avatar Frame,Bingkai Avatar Tohsaka Rin,กรอบอวาตาร์โทซากะ ริน,Frame ng Avatar ni Tohsaka Rin,Khung avatar Tohsaka Rin,config/portrait/frame/icon_yuanbanlin.png,,,,,,,,
210,Small Round Frame,Bingkai Bulat Kecil,Small Round Frame,Bingkai Bulat Kecil,กรอบวงกลมเล็ก,Maliit na Bilog na Frame,Khung tròn nhỏ,config/portrait/frame/icon_xiaoyuan.png,,,,,,,,
211,Kurosaki Ichigo Avatar Frame,Bingkai Avatar Kurosaki Ichigo,Kurosaki Ichigo Avatar Frame,Bingkai Avatar Kurosaki Ichigo,กรอบอวาตาร์คุโรซากิ อิจิโกะ,Frame ng Avatar ni Kurosaki Ichigo,Khung avatar Kurosaki Ichigo,config/portrait/frame/icon_heiqiyihu.png,,,,,,,,
212,Hatsune Miku Avatar Frame,Bingkai Avatar Hatsune Miku,Hatsune Miku Avatar Frame,Bingkai Avatar Hatsune Miku,กรอบอวาตาร์ฮัตสึเนะ มิกุ,Frame ng Avatar ni Hatsune Miku,Khung avatar Hatsune Miku,txk/icon_tx_9.json,,,,,,,,
213,Artoria Avatar Frame,Bingkai Avatar Artoria,Artoria Avatar Frame,Bingkai Avatar Artoria,กรอบอวาตาร์อาร์โทรเรีย,Frame ng Avatar ni Artoria,Khung avatar Artoria,txk/icon_tx_8.json,,,,,,,,
214,Xiaomei Yan Avatar Frame,Bingkai Avatar Xiaomei Yan,Xiaomei Yan Avatar Frame,Bingkai Avatar Xiaomei Yan,กรอบอวาตาร์เซียวเหมยเหยียน,Frame ng Avatar ni Xiaomei Yan,Khung ảnh Xiaomei Yan,config/portrait/frame/icon_xiaomeiyan.png,,,,,,,,
215,Saitama Avatar Frame,Bingkai Avatar Saitama,Saitama Avatar Frame,Bingkai Avatar Saitama,กรอบอวาตาร์ไซตามะ,Frame ng Avatar ni Saitama,Khung ảnh Saitama,txk/icon_tx_5.json,,,,,,,,
