VariableName,name,name_my,name_en,name_th,name_in,name_ph,name_vn,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_ma,unlockDesc_en,unlockDesc_th,unlockDesc_in,unlockDesc_ph,unlockDesc_vn
Defaults,"""""","""""","""""","""""","""""","""""","""""",config/portrait/speedranktouxiang/img_25_pkq@.png,,,,,<ma;ph;en;vn;th;in>,Special path unlocking,Special path unlocking,Special path unlocking,Special path unlocking,Special path unlocking,Special path unlocking,Special path unlocking
ID,名字_越南,名字_越南,名字_越南,名字_越南,名字_越南,名字_越南,名字_越南,icon（支持spine）,卡牌id,物品id,形象id,皮肤id,语言区域,解锁条件_越南,解锁条件_越南,解锁条件_越南,解锁条件_越南,解锁条件_越南,解锁条件_越南,解锁条件_越南
,,,,,,,,,,,,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
1,Naruto Uzumaki (Teen),Naruto Uzumaki (Remaja),Naruto Uzumaki (Teen),Naruto Uzumaki (วัยรุ่น),Naruto Uzumaki (Remaja),Naruto Uzumaki (Kabataan),Naruto Uzumaki (Thiếu niên),config/portrait/toptouxiang/img_hy_21.png,,,1,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
2,Sakura Haruno (Teen),Sakura Haruno (Remaja),Sakura Haruno (Teen),Sakura Haruno (วัยรุ่น),Sakura Haruno (Remaja),Sakura Haruno (Kabataan),Sakura Haruno (thiếu niên),config/portrait/toptouxiang/img_hy_1.png,,,2,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
3,Uchiha Sasuke (Teen),Uchiha Sasuke (Remaja),Uchiha Sasuke (Teen),Uchiha Sasuke (วัยรุ่น),Uchiha Sasuke (Remaja),Uchiha Sasuke (Kabataan),Uchiha Sasuke (Thiếu niên),config/portrait/toptouxiang/img_hy_11.png,,,3,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
4,Nara Shikamaru (Teen),Nara Shikamaru (Remaja),Nara Shikamaru (Teen),Nara Shikamaru (วัยรุ่น),Nara Shikamaru (Remaja),Nara Shikamaru (Kabataan),Nara Shikamaru (thiếu niên),config/portrait/toptouxiang/img_hy_31.png,,,4,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
5,Neji Hyūga (Teen),Neji Hyūga (Remaja),Neji Hyūga (Teen),Neji Hyūga (วัยรุ่น),Neji Hyūga (Remaja),Neji Hyūga (Kabataan),Neji Hyūga (Thiếu niên),config/portrait/toptouxiang/img_hy_41.png,,,5,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
6,Inuzuka Kiba (Teen),Inuzuka Kiba (Remaja),Inuzuka Kiba (Teen),Inuzuka Kiba (วัยรุ่น),Inuzuka Kiba (Remaja),Inuzuka Kiba (Kabataan),Inuzuka Kiba (thiếu niên),config/portrait/toptouxiang/img_hy_51.png,,,6,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
7,Aburame Shino (Teen),Aburame Shino (Remaja),Aburame Shino (Teen),Aburame Shino (วัยรุ่น),Aburame Shino (Remaja),Aburame Shino (Kabataan),Aburame Shino (Thiếu niên),config/portrait/toptouxiang/img_hy_61.png,,,7,,,"After unlocking the corresponding image, you can use it","Selepas membuka kunci imej yang berkaitan, anda boleh menggunakannya","After unlocking the corresponding image, you can use it",หลังจากปลดล็อกภาพที่เกี่ยวข้อง คุณสามารถใช้งานได้,"Setelah membuka kunci gambar yang sesuai, Anda dapat menggunakannya","Pagkatapos i-unlock ang kaukulang larawan, maaari mo na itong gamitin","Sau khi mở khóa hình ảnh tương ứng, bạn có thể sử dụng"
