VariableName,roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint
Defaults,,90,,{},{},,5,0,0,1,600,1,1,1,1,1,1,1,1,1,1,1,1,15000,1,1,1,1,0,10000,1,1,0,0,1,1,0,0,1,0
ID,角色id,等级,备注信息,技能(技能id=等级;技能id=等级...),斗魂,势力,星级,主动技能激活,标识,HP,MP1,MP2,HP回复,MP1回复,MP2回复,物理攻击,特殊攻击,物理防御力,特殊防御力,物理防御忽视,特殊防御忽视,先手值,会心一击,会心一击伤害,会心一击抗性,格挡等级10000,破格挡等级10000,格挡强度10000,闪避,命中,伤害加成10000,伤害减免10000,必杀加成,必杀抗性,伤害加深,伤害降低,吸血,反弹,治疗效果,属性克制
2,30001,,,,,1,,,3,1800000,1000,1000,1000,1000,1000,500000,500000,0,0,0,0,1500,0,,,,,,,,,,,,,,,,,
4,30002,,,,,1,,,3,1000000,,,,,,100000,100000,0,0,0,0,1400,0,,,,,,,,,,,,,,,,,
6,30003,,,,,1,,,3,1000000,,,,,,100000,100000,0,0,0,0,900,0,,,,,,,,,,,,,,,,,
7,30004,,,,,2,,,3,800000,,,,,,50000,50000,0,0,0,0,1200,0,,,,,,,,,,,,,,,,,
8,30005,,,,,2,,,3,800000,,,,,,50000,50000,0,0,0,0,800,0,,,,,,,,,,,,,,,,,
9,30006,,,,,2,,,3,800000,,,,,,50000,50000,0,0,0,0,1300,0,,,,,,,,,,,,,,,,,
10,30007,,,,,2,,,3,800000,,,,,,50000,50000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
11,30008,,,,,2,,,3,800000,,,,,,50000,50000,0,0,0,0,700,0,,,,,,,,,,,,,,,,,
12,30009,,,,,2,,,3,800000,,,,,,50000,50000,0,0,0,0,1100,0,,,,,,,,,,,,,,,,,
