VariableName,sceneName_cn,sceneName,sceneName_vn,sceneName_en,sceneName_th,sceneName_in,sceneName_ph,sceneName_ma,sceneName_kr,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,desc_tw,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn,desc_kr,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,unitID
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""",,<>,<>,,1,1,3,20,1,6,1,<>,battle_bgm.mp3,battle/scene/bg_city.jpg,,{y=70;x=0},,,1,,<>,99,1,1,,,,9999,1,0,0,{510=0;gold=iconNumLittle=0;511=0},0,"""""",,"""""","""""","""""","""""","""""","""""","""""",{},{},,{},{},0,{},{x=0;y=0},,,{},,FALSE,0,{},
ID,场景名称,sceneName,sceneName_vn,sceneName_en,sceneName_th,sceneName_in,sceneName_ph,sceneName_ma,场景名称_韩,备注,界面显示的普通怪物id<等级;advance=品阶>,界面显示的bossid,icon主线章节最后一关必填,关卡类型-客户端战斗用  999-新手关卡； 0-手动测试本;1-普通副本（主线、困难）；2-竞技场；3-日常活动本-金币本；4-日常活动本-经验本；5-无尽之塔；6-公会副本；7-礼物本；8-碎片本；9-好友切磋；10-石英大会；11-随机塔；12-元素挑战；13-公会战；14-跨服石英；15世界boss；16-51劳动节副本；17-跨服竞技场；18-道馆副本；19-道馆馆主；20-跨服道馆；21-跨服实时对战；22-万圣节BOSS；23-资源战pvp；24-资源战BOSS,服务器专用字段# 0-全局 # 1-世界# 2-章节# 3-精英章节# 4-关卡# 5-精英关卡# 6-噩梦关卡# 7-噩梦章节 # 11:金币活动; # 12:经验活动; # 13:礼物副本;# 14:碎片副本;# 1551劳动节副本21: 公会副本# 22: 无尽之塔#; 23: 道馆副本,总波数,回合限制数,上阵类型 1=常规 2=单挑 3=车轮,上阵限制数量,上阵队伍数量（只对车轮）,上阵属性限制,背景音乐,背景地图,背景boss图,背景boss位置偏移,所属章节,上阵攻防技(0-防;1-攻;2-技),开放等级,开启条件(需要通过前置关卡),星级条件(1-关卡胜利;2-阵亡数少于;3-boss战回合数少于;4-上阵精灵数少于;5-上阵精灵数不少于),场景怪物显示用的等级，如空则显示sceneLevel,场景等级修正,技能等级修正,是否自适应角色等级:不填就没有；需要的话读scene_level_correct表的列名；比如填boss,前6修正,己方前6修正,每日最多挑战次数,体力消耗,卡牌经验,主角经验,掉落装备ID,通关金币,关卡描述,关卡描述,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn,关卡描述_韩,扫荡奖励,世界等级下扫荡奖励,不能上阵宠物的markID,通关奖励,三星奖励,快速扫荡标记：1表示有，0表示无,宝箱奖励,位置,奖励宝箱位置,前置路点,怪物刷新库,结束节点,是否车轮战,快速扫荡关卡,pvp加成是否生效,unitID
0,,Battle Scene,Bối cảnh chiến đấu,Battle Scene,ฉากต่อสู้,Adegan Pertempuran,Eksena ng Labanan,Adegan Pertempuran,,,,,,999,,1,,,,,,,battle/scene/battle_map_2.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Beginner Starting Level,Cấp độ tân thủ mở đầu,Beginner Starting Level,ระดับเริ่มต้นมือใหม่,Level Pemula Awal,Antas ng Baguhan,Tahap Pemula Awal,,,,,,999,,1,10,,,,,,battle/scene/battle_map_2.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Arena,Đấu trường,Arena,สนามประลอง,Arena,Arena,Arena,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
9,,Friendly Match,Giao hữu,Friendly Match,แมตช์กระชับมิตร,Pertandingan Persahabatan,Labanang Kaibigan,Perlawanan Persahabatan,,,,,,9,,1,,,,,,,battle/scene/battle_map_33.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
10,,Martial Arts Tournament,Đại hội võ thuật,Martial Arts Tournament,การแข่งขันศิลปะการต่อสู้,Turnamen Seni Bela Diri,Paligsahan ng Martial Arts,Kejohanan Seni Bela Diri,,,,,,10,,5,10,,,,,,battle/scene/battle_map_18.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
11,,Random Trial Tower,Tháp Thử Luyện Ngẫu Nhiên,Random Trial Tower,หอคอยทดสอบแบบสุ่ม,Menara Ujian Acak,Random Trial Tower,Menara Ujian Rawak,,,,,,11,,1,,,,,,,battle/scene/battle_map_39.png,,,,,,,<{key=1;value=1};{key=2;value=1};{key=2;value=0}>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Illusion Challenge,Thử thách ảo ảnh,Illusion Challenge,ความท้าทายภาพลวงตา,Tantangan Ilusi,Hamon ng Ilusyon,Cabaran Ilusi,,,,,,12,,1,,,,,,,battle/scene/battle_map_19.png,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Guild Campaign,Chiến dịch bang hội,Guild Campaign,แคมเปญกิลด์,Kampanye Guild,Kampanya ng Guild,Kempen Guild,,,,,,13,9,1,,,,,,,battle/scene/battle_map_35.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=True;pvpAttrTakeEffect=True},
