VariableName,day,reward
Defaults,999,
签到ID,签到天数,奖励
1,3,{14=10;rmb=100;gold=100000}
2,6,{14=15;rmb=150;gold=150000}
3,9,{14=20;rmb=200;gold=200000}
4,12,{14=30;rmb=250;gold=300000}
5,15,{14=40;rmb=300;gold=400000}
6,18,{14=50;rmb=300;gold=500000}
7,21,{14=50;rmb=300;gold=500000}
8,24,{14=50;rmb=300;gold=500000}
9,27,{14=50;rmb=300;gold=500000}
10,30,{14=50;rmb=300;gold=500000}
11,35,{14=50;rmb=300;gold=500000}
12,40,{14=50;rmb=300;gold=500000}
13,45,{14=50;rmb=300;gold=500000}
14,50,{14=50;rmb=300;gold=500000}
15,55,{14=50;rmb=300;gold=500000}
16,60,{14=50;rmb=300;gold=500000}
17,65,{14=50;rmb=300;gold=500000}
18,70,{14=50;rmb=300;gold=500000}
19,75,{14=50;rmb=300;gold=500000}
20,80,{14=50;rmb=300;gold=500000}
21,85,{14=50;rmb=300;gold=500000}
22,90,{14=50;rmb=300;gold=500000}
23,95,{14=50;rmb=300;gold=500000}
24,100,{14=50;rmb=300;gold=500000}
25,105,{14=50;rmb=300;gold=500000}
26,110,{14=50;rmb=300;gold=500000}
27,115,{14=50;rmb=300;gold=500000}
28,120,{14=50;rmb=300;gold=500000}
29,125,{14=50;rmb=300;gold=500000}
30,130,{14=50;rmb=300;gold=500000}
31,135,{14=50;rmb=300;gold=500000}
32,140,{14=50;rmb=300;gold=500000}
33,145,{14=50;rmb=300;gold=500000}
34,150,{14=50;rmb=300;gold=500000}
35,155,{14=50;rmb=300;gold=500000}
36,160,{14=50;rmb=300;gold=500000}
37,165,{14=50;rmb=300;gold=500000}
38,170,{14=50;rmb=300;gold=500000}
39,175,{14=50;rmb=300;gold=500000}
40,180,{14=50;rmb=300;gold=500000}
41,185,{14=50;rmb=300;gold=500000}
42,190,{14=50;rmb=300;gold=500000}
43,195,{14=50;rmb=300;gold=500000}
44,200,{14=50;rmb=300;gold=500000}
45,205,{14=50;rmb=300;gold=500000}
46,210,{14=50;rmb=300;gold=500000}
47,215,{14=50;rmb=300;gold=500000}
48,220,{14=50;rmb=300;gold=500000}
49,225,{14=50;rmb=300;gold=500000}
50,230,{14=50;rmb=300;gold=500000}
51,235,{14=50;rmb=300;gold=500000}
52,240,{14=50;rmb=300;gold=500000}
53,245,{14=50;rmb=300;gold=500000}
54,250,{14=50;rmb=300;gold=500000}
55,255,{14=50;rmb=300;gold=500000}
56,260,{14=50;rmb=300;gold=500000}
57,265,{14=50;rmb=300;gold=500000}
58,270,{14=50;rmb=300;gold=500000}
59,275,{14=50;rmb=300;gold=500000}
60,280,{14=50;rmb=300;gold=500000}
61,285,{14=50;rmb=300;gold=500000}
62,290,{14=50;rmb=300;gold=500000}
63,295,{14=50;rmb=300;gold=500000}
64,300,{14=50;rmb=300;gold=500000}
65,305,{14=50;rmb=300;gold=500000}
66,310,{14=50;rmb=300;gold=500000}
67,315,{14=50;rmb=300;gold=500000}
68,320,{14=50;rmb=300;gold=500000}
69,325,{14=50;rmb=300;gold=500000}
70,330,{14=50;rmb=300;gold=500000}
71,335,{14=50;rmb=300;gold=500000}
72,340,{14=50;rmb=300;gold=500000}
73,345,{14=50;rmb=300;gold=500000}
74,350,{14=50;rmb=300;gold=500000}
75,355,{14=50;rmb=300;gold=500000}
76,360,{14=50;rmb=300;gold=500000}
77,365,{14=50;rmb=300;gold=500000}
78,370,{14=50;rmb=300;gold=500000}
79,375,{14=50;rmb=300;gold=500000}
80,380,{14=50;rmb=300;gold=500000}
81,385,{14=50;rmb=300;gold=500000}
82,390,{14=50;rmb=300;gold=500000}
83,395,{14=50;rmb=300;gold=500000}
84,400,{14=50;rmb=300;gold=500000}
85,405,{14=50;rmb=300;gold=500000}
86,410,{14=50;rmb=300;gold=500000}
87,415,{14=50;rmb=300;gold=500000}
88,420,{14=50;rmb=300;gold=500000}
89,425,{14=50;rmb=300;gold=500000}
90,430,{14=50;rmb=300;gold=500000}
91,435,{14=50;rmb=300;gold=500000}
92,440,{14=50;rmb=300;gold=500000}
93,445,{14=50;rmb=300;gold=500000}
94,450,{14=50;rmb=300;gold=500000}
95,455,{14=50;rmb=300;gold=500000}
96,460,{14=50;rmb=300;gold=500000}
97,465,{14=50;rmb=300;gold=500000}
98,470,{14=50;rmb=300;gold=500000}
99,475,{14=50;rmb=300;gold=500000}
100,480,{14=50;rmb=300;gold=500000}
101,485,{14=50;rmb=300;gold=500000}
102,490,{14=50;rmb=300;gold=500000}
103,495,{14=50;rmb=300;gold=500000}
104,500,{14=50;rmb=300;gold=500000}
105,505,{14=50;rmb=300;gold=500000}
106,510,{14=50;rmb=300;gold=500000}
107,515,{14=50;rmb=300;gold=500000}
108,520,{14=50;rmb=300;gold=500000}
109,525,{14=50;rmb=300;gold=500000}
110,530,{14=50;rmb=300;gold=500000}
111,535,{14=50;rmb=300;gold=500000}
112,540,{14=50;rmb=300;gold=500000}
113,545,{14=50;rmb=300;gold=500000}
114,550,{14=50;rmb=300;gold=500000}
115,555,{14=50;rmb=300;gold=500000}
116,560,{14=50;rmb=300;gold=500000}
117,565,{14=50;rmb=300;gold=500000}
118,570,{14=50;rmb=300;gold=500000}
119,575,{14=50;rmb=300;gold=500000}
120,580,{14=50;rmb=300;gold=500000}
121,585,{14=50;rmb=300;gold=500000}
122,590,{14=50;rmb=300;gold=500000}
123,595,{14=50;rmb=300;gold=500000}
124,600,{14=50;rmb=300;gold=500000}
125,605,{14=50;rmb=300;gold=500000}
126,610,{14=50;rmb=300;gold=500000}
127,615,{14=50;rmb=300;gold=500000}
128,620,{14=50;rmb=300;gold=500000}
129,625,{14=50;rmb=300;gold=500000}
130,630,{14=50;rmb=300;gold=500000}
131,635,{14=50;rmb=300;gold=500000}
132,640,{14=50;rmb=300;gold=500000}
133,645,{14=50;rmb=300;gold=500000}
134,650,{14=50;rmb=300;gold=500000}
135,655,{14=50;rmb=300;gold=500000}
136,660,{14=50;rmb=300;gold=500000}
137,665,{14=50;rmb=300;gold=500000}
138,670,{14=50;rmb=300;gold=500000}
139,675,{14=50;rmb=300;gold=500000}
140,680,{14=50;rmb=300;gold=500000}
141,685,{14=50;rmb=300;gold=500000}
142,690,{14=50;rmb=300;gold=500000}
143,695,{14=50;rmb=300;gold=500000}
144,700,{14=50;rmb=300;gold=500000}
145,705,{14=50;rmb=300;gold=500000}
146,710,{14=50;rmb=300;gold=500000}
147,715,{14=50;rmb=300;gold=500000}
148,720,{14=50;rmb=300;gold=500000}
149,725,{14=50;rmb=300;gold=500000}
150,730,{14=50;rmb=300;gold=500000}
151,735,{14=50;rmb=300;gold=500000}
152,740,{14=50;rmb=300;gold=500000}
153,745,{14=50;rmb=300;gold=500000}
154,750,{14=50;rmb=300;gold=500000}
155,755,{14=50;rmb=300;gold=500000}
156,760,{14=50;rmb=300;gold=500000}
157,765,{14=50;rmb=300;gold=500000}
158,770,{14=50;rmb=300;gold=500000}
159,775,{14=50;rmb=300;gold=500000}
160,780,{14=50;rmb=300;gold=500000}
161,785,{14=50;rmb=300;gold=500000}
162,790,{14=50;rmb=300;gold=500000}
163,795,{14=50;rmb=300;gold=500000}
164,800,{14=50;rmb=300;gold=500000}
165,805,{14=50;rmb=300;gold=500000}
166,810,{14=50;rmb=300;gold=500000}
167,815,{14=50;rmb=300;gold=500000}
168,820,{14=50;rmb=300;gold=500000}
169,825,{14=50;rmb=300;gold=500000}
170,830,{14=50;rmb=300;gold=500000}
171,835,{14=50;rmb=300;gold=500000}
172,840,{14=50;rmb=300;gold=500000}
173,845,{14=50;rmb=300;gold=500000}
174,850,{14=50;rmb=300;gold=500000}
175,855,{14=50;rmb=300;gold=500000}
176,860,{14=50;rmb=300;gold=500000}
177,865,{14=50;rmb=300;gold=500000}
178,870,{14=50;rmb=300;gold=500000}
179,875,{14=50;rmb=300;gold=500000}
180,880,{14=50;rmb=300;gold=500000}
181,885,{14=50;rmb=300;gold=500000}
182,890,{14=50;rmb=300;gold=500000}
183,895,{14=50;rmb=300;gold=500000}
184,900,{14=50;rmb=300;gold=500000}
185,905,{14=50;rmb=300;gold=500000}
186,910,{14=50;rmb=300;gold=500000}
187,915,{14=50;rmb=300;gold=500000}
188,920,{14=50;rmb=300;gold=500000}
189,925,{14=50;rmb=300;gold=500000}
190,930,{14=50;rmb=300;gold=500000}
191,935,{14=50;rmb=300;gold=500000}
192,940,{14=50;rmb=300;gold=500000}
193,945,{14=50;rmb=300;gold=500000}
194,950,{14=50;rmb=300;gold=500000}
195,955,{14=50;rmb=300;gold=500000}
196,960,{14=50;rmb=300;gold=500000}
