VariableName,vipDouble,months,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
Defaults,9999,<>,{},{},{},{},{},{},{},{},{},{},{},{}
签到ID,vip双倍,这一天在哪个月份显示特效,1月奖励,2月奖励,3月奖励,4月奖励,5月奖励,6月奖励,7月奖励,8月奖励,9月奖励,10月奖励,11月奖励,12月奖励
1,1,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
2,,,{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200}
3,2,,{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10}
4,,,{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5}
5,3,<1;2;3;4;5;6;7;8;9;10;11;12>,{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5}
6,3,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
7,,,{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200}
8,4,,{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10}
9,,,{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5}
10,4,<1;2;3;4;5;6;7;8;9;10;11;12>,{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5}
11,5,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
12,,,{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200},{rmb=200}
13,6,,{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10},{519=10}
14,,,{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5},{521=5}
15,7,<1;2;3;4;5;6;7;8;9;10;11;12>,{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5},{6109=5}
16,8,,{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000},{gold=200000}
