VariableName,gateID,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight
Defaults,,,5000,1,0,0,-1
ID,关卡ID,掉落物品名称,掉落道具,掉落道具数量,权值上限,权值下限,首次权值
1,10101,,,,0.7,0.9,0.5
2,10101,,5001,,0.7,0.9,0.5
6,10102,,,,0.7,0.9,0.5
7,10102,,5002,,0.7,0.9,0.5
11,10103,,,,0.7,0.9,0.5
12,10103,,5003,,0.7,0.9,0.5
16,10104,,,,0.7,0.9,0.5
17,10104,,5001,,0.7,0.9,0.5
21,10105,,,,0.7,0.9,0.5
22,10105,,5002,,0.7,0.9,0.5
26,10201,,,,0.7,0.9,0.5
27,10201,,5001,,0.7,0.9,0.5
31,10202,,,,0.7,0.9,0.5
32,10202,,5001,,0.7,0.9,0.5
36,10203,,,,0.7,0.9,0.5
37,10203,,5002,,0.7,0.9,0.5
41,10204,,,,0.7,0.9,0.5
42,10204,,5002,,0.7,0.9,0.5
46,10205,,,,0.7,0.9,0.5
47,10205,,5003,,0.7,0.9,0.5
51,10206,,,,0.7,0.9,0.5
52,10206,,5003,,0.7,0.9,0.5
56,10301,,,,0.7,0.9,0.5
57,10301,,5001,,0.7,0.9,0.5
61,10302,,,,0.7,0.9,0.5
62,10302,,5001,,0.7,0.9,0.5
66,10303,,,,0.7,0.9,0.5
67,10303,,5001,,0.7,0.9,0.5
71,10304,,,,0.7,0.9,0.5
72,10304,,5002,,0.7,0.9,0.5
76,10305,,,,0.7,0.9,0.5
77,10305,,5002,,0.7,0.9,0.5
81,10306,,,,0.7,0.9,0.5
82,10306,,5002,,0.7,0.9,0.5
86,10307,,,,0.7,0.9,0.5
87,10307,,5003,,0.7,0.9,0.5
91,10308,,,,0.7,0.9,0.5
92,10308,,5003,,0.7,0.9,0.5
96,10401,,,,0.7,0.9,0.5
97,10401,,5004,,0.7,0.9,0.5
98,10401,,5002,,0.1,0.3,0.5
99,10401,,5003,,0.1,0.3,0.5
101,10402,,,,0.7,0.9,0.5
102,10402,,5004,,0.7,0.9,0.5
103,10402,,5002,,0.1,0.3,0.5
104,10402,,5003,,0.1,0.3,0.5
106,10403,,,,0.7,0.9,0.5
107,10403,,5004,,0.7,0.9,0.5
108,10403,,5002,,0.1,0.3,0.5
109,10403,,5003,,0.1,0.3,0.5
111,10404,,,,0.7,0.9,0.5
112,10404,,5005,,0.7,0.9,0.5
113,10404,,5003,,0.1,0.3,0.5
114,10404,,5001,,0.1,0.3,0.5
116,10405,,,,0.7,0.9,0.5
117,10405,,5005,,0.7,0.9,0.5
118,10405,,5003,,0.1,0.3,0.5
119,10405,,5001,,0.1,0.3,0.5
121,10406,,,,0.7,0.9,0.5
122,10406,,5005,,0.7,0.9,0.5
123,10406,,5003,,0.1,0.3,0.5
124,10406,,5001,,0.1,0.3,0.5
126,10407,,,,0.7,0.9,0.5
127,10407,,5006,,0.7,0.9,0.5
128,10407,,5001,,0.1,0.3,0.5
129,10407,,5002,,0.1,0.3,0.5
131,10408,,,,0.7,0.9,0.5
132,10408,,5006,,0.7,0.9,0.5
133,10408,,5001,,0.1,0.3,0.5
134,10408,,5002,,0.1,0.3,0.5
136,10501,,,,0.7,0.9,0.5
137,10501,,5004,,0.7,0.9,0.5
141,10502,,,,0.7,0.9,0.5
142,10502,,5004,,0.7,0.9,0.5
146,10503,,,,0.7,0.9,0.5
147,10503,,5004,,0.7,0.9,0.5
151,10504,,,,0.7,0.9,0.5
152,10504,,5004,,0.7,0.9,0.5
156,10505,,,,0.7,0.9,0.5
157,10505,,5005,,0.7,0.9,0.5
161,10506,,,,0.7,0.9,0.5
162,10506,,5005,,0.7,0.9,0.5
166,10507,,,,0.7,0.9,0.5
167,10507,,5005,,0.7,0.9,0.5
171,10508,,,,0.7,0.9,0.5
172,10508,,5006,,0.7,0.9,0.5
176,10509,,,,0.7,0.9,0.5
177,10509,,5006,,0.7,0.9,0.5
181,10510,,,,0.7,0.9,0.5
182,10510,,5006,,0.7,0.9,0.5
186,10601,,,,0.7,0.9,0.5
187,10601,,5007,,0.7,0.9,0.5
188,10601,,5005,,0.1,0.3,0.5
189,10601,,5006,,0.1,0.3,0.5
191,10602,,,,0.7,0.9,0.5
192,10602,,5007,,0.7,0.9,0.5
193,10602,,5005,,0.1,0.3,0.5
194,10602,,5006,,0.1,0.3,0.5
196,10603,,,,0.7,0.9,0.5
197,10603,,5007,,0.7,0.9,0.5
198,10603,,5005,,0.1,0.3,0.5
199,10603,,5006,,0.1,0.3,0.5
201,10604,,,,0.7,0.9,0.5
202,10604,,5007,,0.7,0.9,0.5
203,10604,,5005,,0.1,0.3,0.5
204,10604,,5006,,0.1,0.3,0.5
206,10605,,,,0.7,0.9,0.5
207,10605,,5008,,0.7,0.9,0.5
208,10605,,5006,,0.1,0.3,0.5
209,10605,,5004,,0.1,0.3,0.5
211,10606,,,,0.7,0.9,0.5
212,10606,,5008,,0.7,0.9,0.5
213,10606,,5006,,0.1,0.3,0.5
214,10606,,5004,,0.1,0.3,0.5
216,10607,,,,0.7,0.9,0.5
217,10607,,5008,,0.7,0.9,0.5
218,10607,,5006,,0.1,0.3,0.5
219,10607,,5004,,0.1,0.3,0.5
221,10608,,,,0.7,0.9,0.5
222,10608,,5009,,0.7,0.9,0.5
223,10608,,5004,,0.1,0.3,0.5
224,10608,,5005,,0.1,0.3,0.5
226,10609,,,,0.7,0.9,0.5
227,10609,,5009,,0.7,0.9,0.5
228,10609,,5004,,0.1,0.3,0.5
229,10609,,5005,,0.1,0.3,0.5
231,10610,,,,0.7,0.9,0.5
232,10610,,5009,,0.7,0.9,0.5
233,10610,,5004,,0.1,0.3,0.5
234,10610,,5005,,0.1,0.3,0.5
236,10701,,,,0.7,0.9,0.5
237,10701,,5007,,0.7,0.9,0.5
238,10701,,5005,,0.1,0.3,0.5
241,10702,,,,0.7,0.9,0.5
242,10702,,5007,,0.7,0.9,0.5
243,10702,,5005,,0.1,0.3,0.5
246,10703,,,,0.7,0.9,0.5
247,10703,,5007,,0.7,0.9,0.5
248,10703,,5005,,0.1,0.3,0.5
251,10704,,,,0.7,0.9,0.5
252,10704,,5007,,0.7,0.9,0.5
253,10704,,5005,,0.1,0.3,0.5
256,10705,,,,0.7,0.9,0.5
257,10705,,5008,,0.7,0.9,0.5
258,10705,,5006,,0.1,0.3,0.5
261,10706,,,,0.7,0.9,0.5
262,10706,,5008,,0.7,0.9,0.5
263,10706,,5006,,0.1,0.3,0.5
266,10707,,,,0.7,0.9,0.5
267,10707,,5008,,0.7,0.9,0.5
268,10707,,5006,,0.1,0.3,0.5
271,10708,,,,0.7,0.9,0.5
272,10708,,5009,,0.7,0.9,0.5
273,10708,,5004,,0.1,0.3,0.5
276,10709,,,,0.7,0.9,0.5
277,10709,,5009,,0.7,0.9,0.5
278,10709,,5004,,0.1,0.3,0.5
281,10710,,,,0.7,0.9,0.5
282,10710,,5009,,0.7,0.9,0.5
283,10710,,5004,,0.1,0.3,0.5
286,10801,,,,0.7,0.9,0.5
287,10801,,5010,,0.7,0.9,0.5
288,10801,,5008,,0.1,0.3,0.5
289,10801,,5003,,0.1,0.3,0.5
291,10802,,,,0.7,0.9,0.5
292,10802,,5010,,0.7,0.9,0.5
293,10802,,5008,,0.1,0.3,0.5
294,10802,,5003,,0.1,0.3,0.5
296,10803,,,,0.7,0.9,0.5
297,10803,,5010,,0.7,0.9,0.5
298,10803,,5008,,0.1,0.3,0.5
299,10803,,5003,,0.1,0.3,0.5
301,10804,,,,0.7,0.9,0.5
302,10804,,5010,,0.7,0.9,0.5
303,10804,,5008,,0.1,0.3,0.5
304,10804,,5003,,0.1,0.3,0.5
306,10805,,,,0.7,0.9,0.5
307,10805,,5011,,0.7,0.9,0.5
308,10805,,5009,,0.1,0.3,0.5
309,10805,,5001,,0.1,0.3,0.5
311,10806,,,,0.7,0.9,0.5
312,10806,,5011,,0.7,0.9,0.5
313,10806,,5009,,0.1,0.3,0.5
314,10806,,5001,,0.1,0.3,0.5
316,10807,,,,0.7,0.9,0.5
317,10807,,5011,,0.7,0.9,0.5
318,10807,,5009,,0.1,0.3,0.5
319,10807,,5001,,0.1,0.3,0.5
321,10808,,,,0.7,0.9,0.5
322,10808,,5012,,0.7,0.9,0.5
323,10808,,5007,,0.1,0.3,0.5
324,10808,,5002,,0.1,0.3,0.5
326,10809,,,,0.7,0.9,0.5
327,10809,,5012,,0.7,0.9,0.5
328,10809,,5007,,0.1,0.3,0.5
329,10809,,5002,,0.1,0.3,0.5
331,10810,,,,0.7,0.9,0.5
332,10810,,5012,,0.7,0.9,0.5
333,10810,,5007,,0.1,0.3,0.5
334,10810,,5002,,0.1,0.3,0.5
336,10901,,,,0.7,0.9,0.5
337,10901,,5010,,0.7,0.9,0.5
338,10901,,5008,,0.1,0.3,0.5
341,10902,,,,0.7,0.9,0.5
342,10902,,5010,,0.7,0.9,0.5
343,10902,,5008,,0.1,0.3,0.5
346,10903,,,,0.7,0.9,0.5
347,10903,,5010,,0.7,0.9,0.5
348,10903,,5008,,0.1,0.3,0.5
351,10904,,,,0.7,0.9,0.5
352,10904,,5010,,0.7,0.9,0.5
353,10904,,5008,,0.1,0.3,0.5
356,10905,,,,0.7,0.9,0.5
357,10905,,5011,,0.7,0.9,0.5
358,10905,,5009,,0.1,0.3,0.5
361,10906,,,,0.7,0.9,0.5
362,10906,,5011,,0.7,0.9,0.5
363,10906,,5009,,0.1,0.3,0.5
366,10907,,,,0.7,0.9,0.5
367,10907,,5011,,0.7,0.9,0.5
368,10907,,5009,,0.1,0.3,0.5
371,10908,,,,0.7,0.9,0.5
372,10908,,5012,,0.7,0.9,0.5
373,10908,,5007,,0.1,0.3,0.5
376,10909,,,,0.7,0.9,0.5
377,10909,,5012,,0.7,0.9,0.5
378,10909,,5007,,0.1,0.3,0.5
381,10910,,,,0.7,0.9,0.5
382,10910,,5012,,0.7,0.9,0.5
383,10910,,5007,,0.1,0.3,0.5
386,11001,,,,0.7,0.9,0.5
387,11001,,5013,,0.7,0.9,0.5
388,11001,,5011,,0.1,0.3,0.5
389,11001,,5006,,0.1,0.3,0.5
391,11002,,,,0.7,0.9,0.5
392,11002,,5013,,0.7,0.9,0.5
393,11002,,5011,,0.1,0.3,0.5
394,11002,,5006,,0.1,0.3,0.5
396,11003,,,,0.7,0.9,0.5
397,11003,,5013,,0.7,0.9,0.5
398,11003,,5011,,0.1,0.3,0.5
399,11003,,5006,,0.1,0.3,0.5
401,11004,,,,0.7,0.9,0.5
402,11004,,5013,,0.7,0.9,0.5
403,11004,,5011,,0.1,0.3,0.5
404,11004,,5006,,0.1,0.3,0.5
406,11005,,,,0.7,0.9,0.5
407,11005,,5014,,0.7,0.9,0.5
408,11005,,5012,,0.1,0.3,0.5
409,11005,,5004,,0.1,0.3,0.5
411,11006,,,,0.7,0.9,0.5
412,11006,,5014,,0.7,0.9,0.5
413,11006,,5012,,0.1,0.3,0.5
414,11006,,5004,,0.1,0.3,0.5
416,11007,,,,0.7,0.9,0.5
417,11007,,5014,,0.7,0.9,0.5
418,11007,,5012,,0.1,0.3,0.5
419,11007,,5004,,0.1,0.3,0.5
421,11008,,,,0.7,0.9,0.5
422,11008,,5015,,0.7,0.9,0.5
423,11008,,5010,,0.1,0.3,0.5
424,11008,,5005,,0.1,0.3,0.5
426,11009,,,,0.7,0.9,0.5
427,11009,,5015,,0.7,0.9,0.5
428,11009,,5010,,0.1,0.3,0.5
429,11009,,5005,,0.1,0.3,0.5
431,11010,,,,0.7,0.9,0.5
432,11010,,5015,,0.7,0.9,0.5
433,11010,,5010,,0.1,0.3,0.5
434,11010,,5005,,0.1,0.3,0.5
436,11101,,,,0.7,0.9,0.5
437,11101,,5013,,0.7,0.9,0.5
438,11101,,5011,,0.1,0.3,0.5
441,11102,,,,0.7,0.9,0.5
442,11102,,5013,,0.7,0.9,0.5
443,11102,,5011,,0.1,0.3,0.5
446,11103,,,,0.7,0.9,0.5
447,11103,,5013,,0.7,0.9,0.5
448,11103,,5011,,0.1,0.3,0.5
451,11104,,,,0.7,0.9,0.5
452,11104,,5013,,0.7,0.9,0.5
453,11104,,5011,,0.1,0.3,0.5
456,11105,,,,0.7,0.9,0.5
457,11105,,5014,,0.7,0.9,0.5
458,11105,,5012,,0.1,0.3,0.5
461,11106,,,,0.7,0.9,0.5
462,11106,,5014,,0.7,0.9,0.5
463,11106,,5012,,0.1,0.3,0.5
466,11107,,,,0.7,0.9,0.5
467,11107,,5014,,0.7,0.9,0.5
468,11107,,5012,,0.1,0.3,0.5
