VariableName,_beizhu,cardID,unitID,desc,rarity,level,star,advance,skillLevels,skills,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
Defaults,,0,0,"""""",1,90,12,17,<80;80;80;80;80;80>,{},{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn;in;tw;en;vn;kr;th;ma;ph>
ID,备注,卡牌ID,形象ID,描述,稀有度,等级,星级,突破阶数,技能等级,技能({skillID=skillLevel;...}),潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,血量,物攻,特攻,物防,特防,速度,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,控制率,免控率,吸血率,反弹率,语言
1,,1,1,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,2,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,3,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,4,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,11,11,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,12,12,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,13,13,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,14,14,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,15,15,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,21,21,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,22,22,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,23,23,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,24,24,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,31,31,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,33,33,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,41,43,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,44,44,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,51,51,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,52,52,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,53,53,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,61,61,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,62,62,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,71,71,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,72,72,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,81,81,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,82,82,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,91,91,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,92,92,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,93,93,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,101,101,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,102,102,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,111,111,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,112,112,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,113,113,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,121,121,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,122,122,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,123,123,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,131,131,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,132,132,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,133,133,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,151,151,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,152,152,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,153,153,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,161,161,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,162,162,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,163,163,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,171,171,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,172,172,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,173,173,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,191,191,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,192,192,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,221,221,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,222,222,Thẻ dự phòng,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,231,231,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,232,232,Thẻ dự phòng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,241,241,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,242,242,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,261,261,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,262,262,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,263,263,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,264,264,Thẻ dự phòng,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
