VariableName,gateID,sceneCount,cards,cards_tw,cards_en,cards_vn,cards_kr,hpFix,hpFix_tw,hpFix_en,hpFix_vn,hpFix_kr,damageFix,damageFix_tw,damageFix_en,damageFix_vn,damageFix_kr,defenceFix,defenceFix_tw,defenceFix_en,defenceFix_vn,defenceFix_kr,speedFix,speedFix_tw,speedFix_en,speedFix_vn,speedFix_kr,storys
Defaults,0,1,<>,<>,<>,<>,<>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<1;1;1;1;1;1>,<>
ID,关卡ID,波次,怪物,怪物,怪物,怪物,怪物,血量修正,血量修正,血量修正,血量修正,血量修正,双攻修正,双攻修正,双攻修正,双攻修正,双攻修正,双防修正,双防修正,双防修正,双防修正,双防修正,速度修正,速度修正,速度修正,速度修正,速度修正,剧情ID配置<round; storyId; heroId>
101,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,
103,101,3,,,,,,,,,,,,,,,,,,,,,,,,,,
111,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,102,2,,,,,,,,,,,,,,,,,,,,,,,,,,
113,102,3,,,,,,,,,,,,,,,,,,,,,,,,,,
121,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,
123,103,3,,,,,,,,,,,,,,,,,,,,,,,,,,
131,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,
133,104,3,,,,,,,,,,,,,,,,,,,,,,,,,,
141,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,
143,105,3,,,,,,,,,,,,,,,,,,,,,,,,,,
151,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,106,2,,,,,,,,,,,,,,,,,,,,,,,,,,
153,106,3,,,,,,,,,,,,,,,,,,,,,,,,,,
161,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,
163,107,3,,,,,,,,,,,,,,,,,,,,,,,,,,
171,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,108,2,,,,,,,,,,,,,,,,,,,,,,,,,,
173,108,3,,,,,,,,,,,,,,,,,,,,,,,,,,
181,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,109,2,,,,,,,,,,,,,,,,,,,,,,,,,,
183,109,3,,,,,,,,,,,,,,,,,,,,,,,,,,
191,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,
193,110,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100001>;<98;100011>>
1011,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100101>;<98;100109>>
1021,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100201>;<98;100206>>
1031,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100301>;<98;100303>>
1041,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100401>;<98;100403>>
1051,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100501>;<98;100503>;<1;100511>;<1;100512>;<1;100513>;<1;100514>;<1;100515>;<1;100516>>
1061,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100601>;<98;100616>>
1071,1071,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100701>;<98;100703>>
1081,1081,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100801>;<98;100819>>
1091,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,<<1001;100901>;<98;100912>>
