VariableName,_beizhu,name,name_ma,name_en,name_th,name_ph,name_in,name_vn,feature,goto,unionlevel,openseq,roundKey,roundState,icon,bg,txt,txt_ma,txt_en,txt_th,txt_ph,txt_in,txt_vn,sighid,startTime,startTimes,endTime,priority,serverday,reminder
Defaults,"""""",,,,,,,,"""""","""""",,<1;2;3;4;5;6;7>,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,<>,2400,0,1,0
序号,系统名字,功能名,功能名,功能名,功能名,功能名,功能名,功能名,功能key,跳转,公会等级,开放周期序列,服务器round字段,根据服务器round状态判是否开启,系统图标,背景资源,文本说明,文本说明,文本说明,文本说明,文本说明,文本说明,文本说明,类型标识,开始时间,开始时间点，刷新判定,结束时间,显示优先级(大的优先显示),开服天数,提醒类型(0 :长显，1:一次提醒，2:多次提醒)
,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
1,,Illusion Challenge,Cabaran Ilusi,Illusion Challenge,ท้าทายภาพลวงตา,Hamon ng Ilusyong Eksena,Tantangan Ilusi,Thử thách ảo cảnh,cloneBattle,cloneBattle,,,,,,,In Progress,Sedang Berjalan,In Progress,กำลังดำเนินการ,Isinasagawa,Sedang Berlangsung,Đang tiến hành,1,1200,,,1002,,1
2,,Guild Red Envelope,Angpau Guild,Guild Red Envelope,อั่งเปากิลด์,Red Envelope ng Guild,Angpao Guild,Bao lì xì bang hội,unionRedpacket,redpacket,2,,,,,,Start Distribution,Mula Pengagihan,Start Distribution,เริ่มแจกจ่าย,Simulan ang Pamamahagi,Mulai Distribusi,Bắt đầu phát hành,2,1,,2399,2000,,1
3,,Martial Arts Tournament,Kejohanan Seni Bela Diri,Martial Arts Tournament,การแข่งขันศิลปะการต่อสู้,Torneong Martial Arts,Turnamen Bela Diri,Đại hội võ đạo,craft,craft,,,,,,,Start Registration,Mula Pendaftaran,Start Registration,เริ่มลงทะเบียน,Simulan ang Rehistrasyon,Mulai Pendaftaran,Bắt đầu đăng ký,3,1000,,1950,1001,3,1
4,,Martial Arts Tournament,Kejohanan Seni Bela Diri,Martial Arts Tournament,การแข่งขันศิลปะการต่อสู้,Torneong Martial Arts,Turnamen Bela Diri,Đại hội võ đạo,craft,craft,,,,,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,4,2000,,2050,2,3,
5,,Guild Battle,Pertempuran Guild,Guild Battle,สงครามกิลด์,Labanan ng Guild,Pertempuran Guild,Chiến bang hội,unionFight,unionFight,4,<2;3;4;5;6>,,,,,Start Registration,Mula Pendaftaran,Start Registration,เริ่มลงทะเบียน,Simulan ang Rehistrasyon,Mulai Pendaftaran,Bắt đầu đăng ký,5,930,,2050,1004,7,1
6,,Guild Battle,Pertempuran Guild,Guild Battle,สงครามกิลด์,Labanan ng Guild,Pertempuran Guild,Chiến bang hội,unionFight,unionFight,4,<2;3;4;5;6>,,,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,6,2050,,2130,3,7,
7,,Cross-server Martial Arts,Seni Bela Diri Rentas Server,Cross-server Martial Arts,ศิลปะการต่อสู้ข้ามเซิร์ฟเวอร์,Martial Arts sa Iba’t Ibang Server,Bela Diri Lintas Server,Võ đạo liên server,crossCraft,crossCraft,,<1;5>,,,,,Start Registration,Mula Pendaftaran,Start Registration,เริ่มลงทะเบียน,Simulan ang Rehistrasyon,Mulai Pendaftaran,Bắt đầu đăng ký,7,1000,,1850,5,7,1
8,,Cross-server Martial Arts,Seni Bela Diri Rentas Server,Cross-server Martial Arts,ศิลปะการต่อสู้ข้ามเซิร์ฟเวอร์,Martial Arts sa Iba’t Ibang Server,Bela Diri Lintas Server,Võ đạo liên server,crossCraft,crossCraft,,<1;5>,,,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,8,1900,,1946,6,7,
9,,PvP Competition,Pertandingan PvP,PvP Competition,การแข่งขัน PvP,PvP na Paligsahan,Kompetisi PvP,Thi đấu đối kháng,onlineFight,onlineFight,,,cross_online_fight_round,start,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,9,,<1200>,,2001,14,1
10,,Cross-server Training,Latihan Rentas Server,Cross-server Training,การฝึกข้ามเซิร์ฟเวอร์,Pagsasanay sa Iba’t Ibang Server,Latihan Lintas Server,Luyện tập liên server,crossMine,crossMine,,,cross_mine_round,start,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,10,,<1000>,,2002,10,1
11,,Cross-server Training,Latihan Rentas Server,Cross-server Training,การฝึกข้ามเซิร์ฟเวอร์,Pagsasanay sa Iba’t Ibang Server,Latihan Lintas Server,Luyện tập liên server,crossMine,crossMineBoss,,,cross_mine_boss_time,0,,,Executing Elimination,Sedang Melaksanakan Penghapusan,Executing Elimination,กำลังกำจัด,Isinasagawang Eliminasyon,Sedang Melakukan Eliminasi,Tiến hành tiêu diệt,11,,<1230;1830>,,2003,10,2
12,,Fishing Contest,Pertandingan Memancing,Fishing Contest,การแข่งขันตกปลา,Paligsahan sa Pangingisda,Lomba Memancing,Giải câu cá,fishing,fishing,,<7>,cross_fishing_round,start,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,12,500,,2300,2006,40,1
13,,Guild Quiz,Kuiz Guild,Guild Quiz,ตอบคำถามกิลด์,Guild na Pagtatanong,Kuis Guild,Đố vui bang hội,unionQA,unionQA,5,<6;7>,unionqa_round,start,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,13,500,,,2004,30,1
14,,Cross-server Competition,Pertandingan Rentas Server,Cross-server Competition,การแข่งขันข้ามเซิร์ฟเวอร์,Paligsahan sa Iba’t Ibang Server,Kompetisi Lintas Server,Thi đấu liên server,crossArena,crossArena,,<1>,cross_arena_round,start,,,Ongoing Excitingly,Sedang Berlangsung Meriah,Ongoing Excitingly,กำลังดำเนินอย่างคึกคัก,Masiglang Isinasagawa,Sedang Berlangsung dengan Meriah,Đang diễn ra sôi nổi,14,1200,,2200,2005,5,1
