VariableName,name,name_ma,name_en,name_th,name_ph,name_in,name_vn,icon,headIcon,treeID,attrDesc,attrDesc_ma,attrDesc_en,attrDesc_th,attrDesc_ph,attrDesc_in,attrDesc_vn,attrAddDesc1,attrAddDesc1_ma,attrAddDesc1_en,attrAddDesc1_th,attrAddDesc1_ph,attrAddDesc1_in,attrAddDesc1_vn,attrAddDesc2_cn,attrAddDesc2_en,attrAddDesc2,attrAddDesc2_vn,attrAddDesc2_th,attrAddDesc2_in,attrAddDesc2_ph,attrAddDesc2_ma,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
Defaults,,,,,,,,,,,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,提升所有精灵的生命值、攻击力,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵生命值增加,所有精灵家攻击力增加,All allies' Attack Power Up,All allies' Attack Power Up,Tăng Công cho toàn bộ đồng đội,พลังโจมตีของเพื่อนร่วมทีมทั้งหมดเพิ่มขึ้น,Meningkatkan Serangan semua anggota tim,Tumaas ang Attack Power ng lahat ng kakampi,Serangan semua sekutu meningkat,10,,0,1,1,,,<>,,"""""",,,<>,,""""""
ID,名称,名称,名称,名称,名称_韩,名称_韩,名称,icon,headIcon,所属天赋树,属性说明,属性说明,属性说明,属性说明,属性说明,属性说明,属性说明,属性加成说明1,属性加成说明1,属性加成说明1,属性加成说明1,属性加成说明1,属性加成说明1_韩,属性加成说明1,属性加成说明2,屬性加成說明2,属性加成说明2,属性加成说明2,属性加成说明2_韩,属性加成说明2_韩,属性加成说明2_韩,属性加成说明2_韩,上限等级,前置序列,前置天赋等级,战队等级要求,消耗序列id,加成类型1,针对4和5加成类型元素属性类型1-18针对6场景类型,针对5技能伤害加成<0;20>减免<1;4%>,属性类型1,属性数值1,加成类型2,针对4和5加成类型元素属性类型1-18针对6场景类型,针对5技能伤害加成<0;20>减免<1;4%>,属性类型2,属性数值2
100,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_smz.png,,1,Increase HP and Speed for all heroes,Tambah HP dan Kelajuan untuk semua hero,Increase HP and Speed for all heroes,เพิ่มพลังชีวิตและความเร็วให้กับฮีโร่ทั้งหมด,Dagdag HP at Bilis para sa lahat ng bayani,Meningkatkan HP dan Kecepatan untuk semua hero,Tăng Máu và Tốc Độ cho Tất Cả Tướng,Increase HP,Tambah HP,Increase HP,เพิ่มพลังชีวิต,Dagdag HP,Tambah HP,Gia tăng sinh mệnh,,Speed ​​Up,Speed ​​Up,Tăng tốc độ,เพิ่มความเร็ว,Kecepatan Naik,Dagdag Bilis,Kelajuan Meningkat,,,,25,,3,,,1,200,3,,,13,10
101,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_sg.png,,1,Increase physical and magic attack for all heroes,Tambah serangan fizikal dan sihir untuk semua hero,Increase physical and magic attack for all heroes,เพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ให้กับฮีโร่ทั้งหมด,Dagdag pisikal at magic na atake para sa lahat ng bayani,Meningkatkan serangan fisik dan sihir untuk semua hero,Tăng vật công và pháp công của tất cả tướng.,Increase physical attack,Tambah serangan fizikal,Increase physical attack,เพิ่มพลังโจมตีกายภาพ,Dagdag physical attack,Tambah serangan fisik,Tăng vật công,,Magic Attack Up,Magic Attack Up,Tăng tấn công phép,เพิ่มพลังเวทโจมตี,Serangan Sihir Naik,Dagdag Magic Attack,Serangan Ajaib Meningkat,,100,7,25,,3,,,7,50,3,,,8,50
102,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_sf.png,,1,Increase physical and magic defense for all heroes,Tambah pertahanan fizikal dan sihir untuk semua hero,Increase physical and magic defense for all heroes,เพิ่มพลังป้องกันทางกายภาพและเวทมนตร์ให้กับฮีโร่ทั้งหมด,Dagdag pisikal at magic na depensa para sa lahat ng bayani,Meningkatkan pertahanan fisik dan sihir untuk semua hero,Tăng phòng thủ vật lý và phòng thủ phép thuật cho tất cả các tướng.,Increase physical defense,Tambah pertahanan fizikal,Increase physical defense,เพิ่มพลังป้องกันกายภาพ,Dagdag physical defense,Tambah pertahanan fisik,Tăng phòng vật lý,,Magic Defense Up,Magic Defense Up,Tăng phòng thủ phép,เพิ่มพลังเวทป้องกัน,Pertahanan Sihir Naik,Dagdag Magic Defense,Pertahanan Ajaib Meningkat,,100,7,25,,3,,,9,28,3,,,10,28
103,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_smz.png,,1,Increase HP for front row heroes in battle,Tambah HP untuk hero barisan hadapan dalam pertempuran,Increase HP for front row heroes in battle,เพิ่มพลังชีวิตให้ฮีโร่แถวหน้าในศึก,Dagdag HP para sa mga bayani sa unahang hanay sa laban,Meningkatkan HP untuk hero barisan depan dalam pertempuran,Tăng máu cho tướng hàng trước trong chiến đấu,Increase vitality,Tambah vitaliti,Increase vitality,เพิ่มพลังชีวิต,Dagdag vitality,Tambah vitalitas,Tăng sinh lực,,,,,,,,,,102,7,25,,1,,,1,1.00%,,,,,
104,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_sg.png,,1,Increase physical and magic attack for back row heroes in battle,Tambah serangan fizikal dan sihir untuk hero barisan belakang dalam pertempuran,Increase physical and magic attack for back row heroes in battle,เพิ่มพลังโจมตีทางกายภาพและเวทมนตร์ให้ฮีโร่แถวหลังในศึก,Dagdag pisikal at magic na atake para sa mga bayani sa likurang hanay sa laban,Meningkatkan serangan fisik dan sihir untuk hero barisan belakang dalam pertempuran,Tăng vật công và pháp công cho các tướng hàng sau trong chiến đấu,Increase physical attack,Tambah serangan fizikal,Increase physical attack,เพิ่มพลังโจมตีกายภาพ,Dagdag physical attack,Tambah serangan fisik,Tăng vật công,,Magic Attack Up,Magic Attack Up,Tăng tấn công phép,เพิ่มพลังเวทโจมตี,Serangan Sihir Naik,Dagdag Magic Attack,Serangan Ajaib Meningkat,,101,7,25,,2,,,7,1.00%,3,,,8,1.00%
105,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_shjc.png,,1,Increase damage buff for back row heroes in battle,Tambah buff kerosakan untuk hero barisan belakang dalam pertempuran,Increase damage buff for back row heroes in battle,เพิ่มบัฟความเสียหายให้ฮีโร่แถวหลังในศึก,Dagdag buff ng pinsala para sa mga bayani sa likurang hanay sa laban,Meningkatkan buff damage untuk hero barisan belakang dalam pertempuran,Tăng thêm buff sát thương cho tướng hàng sau trong trận chiến,Increase additional damage,Tambah kerosakan tambahan,Increase additional damage,เพิ่มความเสียหายเพิ่มเติม,Dagdag karagdagang damage,Tambah damage tambahan,Tăng thêm cộng thêm sát thương,,,,,,,,,,104,7,25,,2,,,22,100,,,,,
106,Basic Cultivation,Latihan Asas,Basic Cultivation,ฝึกพื้นฐาน,Pangunahing Pagsasanay,Pelatihan Dasar,Tu luyện cơ bản,city/develop/talent/icon_shjm.png,,1,Increase damage reduction for front row heroes in battle,Tambah pengurangan kerosakan untuk hero barisan hadapan dalam pertempuran,Increase damage reduction for front row heroes in battle,เพิ่มลดความเสียหายให้ฮีโร่แถวหน้าในศึก,Dagdag bawas pinsala para sa mga bayani sa unahang hanay sa laban,Meningkatkan pengurangan damage untuk hero barisan depan dalam pertempuran,Tăng giảm sát thương cho tướng hàng trước trong chiến đấu,Increase damage reduction,Tambah pengurangan kerosakan,Increase damage reduction,เพิ่มลดความเสียหาย,Dagdag bawas damage,Tambah pengurangan damage,Tăng giảm sát thương,,,,,,,,,,103,7,25,,1,,,23,100,,,,,
200,Advanced Cultivation,Latihan Lanjutan,Advanced Cultivation,ฝึกขั้นสูง,Advanced na Pagsasanay,Pelatihan Lanjutan,Tu luyện nâng cao,city/develop/talent/icon_smz.png,,2,Increase base HP percentage for all heroes,Tambah peratusan HP asas untuk semua hero,Increase base HP percentage for all heroes,เพิ่มเปอร์เซ็นต์พลังชีวิตพื้นฐานให้กับฮีโร่ทั้งหมด,Dagdag porsyento ng batayang HP para sa lahat ng bayani,Meningkatkan persentase HP dasar untuk semua hero,Tăng phần trăm máu cơ bản của tất cả tướng.,Enhance vitality,Tingkatkan vitaliti,Enhance vitality,เสริมพลังชีวิต,Pinalakas ang vitality,Tingkatkan vitalitas,Tăng cường sinh lực,,,,,,,,,,,,45,2,3,,,1,0.50%,,,,,
