VariableName,type,desc,desc_cn,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,icon,title_cn,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,targetType,targetArg,targetArg2,targetDisplay,levelReq,vipReq,vipReq_tw,vipReq_en,vipReq_kr,languages,sortWeight,group,rankInGroup,point,awardArgs,goToPanel
Defaults,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,"""""",1,0,0,0,0,<cn;tw;en;vn;th;kr;in;ma;ph>,0,0,0,0,{},
任务ID,任务类型,任务描述,任务描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,任务图标,任务标题,任务标题,title_vn,title_en,title_th,title_in,title_ph,title_ma,任务目标类型,任务目标参数,任务目标参数2,任务目标显示参数,等级限制,vip限制,vip限制,vip限制,vip限制,语言区域,顺序,任务组,任务组排序,活跃度点数,奖励物品表,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动界面roleLogo头像界面figure个人形象界面gainGold点金界面recharge充值界面gainStamina购买体力friend好友界面cardBag背包界面strengthen还有培养界面handbook图鉴界面任意英文-数字表示其页签
1000,,Commander has reached level 1,,Chỉ huy đã đạt cấp độ 1,Commander has reached level 1,ผู้บัญชาการถึงเลเวล 1 แล้ว,Komandan telah mencapai level 1,Umabot na sa antas 1 ang Commander,Komander telah mencapai tahap 1,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,1,,1,,,,,,,2,1000,1,,{rmb=10;gold=2500},10000
1001,,Commander has reached level 2,,Chỉ huy đã đạt cấp độ 2,Commander has reached level 2,ผู้บัญชาการถึงเลเวล 2 แล้ว,Komandan telah mencapai level 2,Umabot na sa antas 2 ang Commander,Komander telah mencapai tahap 2,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,2,,2,,,,,,,4,1000,2,,{rmb=10;gold=2500},10000
1002,,Commander has reached level 3,,Chỉ huy đã đạt cấp độ 3,Commander has reached level 3,ผู้บัญชาการถึงเลเวล 3 แล้ว,Komandan telah mencapai level 3,Umabot na sa antas 3 ang Commander,Komander telah mencapai tahap 3,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,3,,3,,,,,,,1,1000,3,,{rmb=10;gold=2500},10000
1003,,Commander has reached level 4,,Chỉ huy đã đạt cấp độ 4,Commander has reached level 4,ผู้บัญชาการถึงเลเวล 4 แล้ว,Komandan telah mencapai level 4,Umabot na sa antas 4 ang Commander,Komander telah mencapai tahap 4,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,4,,4,,,,,,,2,1000,4,,{rmb=10;gold=2500},10000
1004,,Commander has reached level 5,,Chỉ huy đã đạt cấp độ 5,Commander has reached level 5,ผู้บัญชาการถึงเลเวล 5 แล้ว,Komandan telah mencapai level 5,Umabot na sa antas 5 ang Commander,Komander telah mencapai tahap 5,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,5,,5,,,,,,,3,1000,5,,{rmb=10;gold=2500},10000
1005,,Commander has reached level 6,,Chỉ huy đã đạt cấp độ 6,Commander has reached level 6,ผู้บัญชาการถึงเลเวล 6 แล้ว,Komandan telah mencapai level 6,Umabot na sa antas 6 ang Commander,Komander telah mencapai tahap 6,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,6,,6,,,,,,,4,1000,6,,{rmb=10;gold=2500},10000
1006,,Commander has reached level 7,,Chỉ huy đã đạt cấp độ 7,Commander has reached level 7,ผู้บัญชาการถึงเลเวล 7 แล้ว,Komandan telah mencapai level 7,Umabot na sa antas 7 ang Commander,Komander telah mencapai tahap 7,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,7,,7,,,,,,,5,1000,7,,{rmb=10;gold=2500},10000
1007,,Commander has reached level 8,,Chỉ huy đã đạt cấp độ 8,Commander has reached level 8,ผู้บัญชาการถึงเลเวล 8 แล้ว,Komandan telah mencapai level 8,Umabot na sa antas 8 ang Commander,Komander telah mencapai tahap 8,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,8,,8,,,,,,,6,1000,8,,{rmb=10;gold=2500},10000
1008,,Commander has reached level 9,,Chỉ huy đã đạt cấp độ 9,Commander has reached level 9,ผู้บัญชาการถึงเลเวล 9 แล้ว,Komandan telah mencapai level 9,Umabot na sa antas 9 ang Commander,Komander telah mencapai tahap 9,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,9,,9,,,,,,,3,1000,9,,{rmb=10;gold=2500},10000
1009,,Commander has reached level 10,,Chỉ huy đã đạt cấp độ 10,Commander has reached level 10,ผู้บัญชาการถึงเลเวล 10 แล้ว,Komandan telah mencapai level 10,Umabot na sa antas 10 ang Commander,Komander telah mencapai tahap 10,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,10,,10,,,,,,,4,1000,10,,{rmb=15;gold=4000},10000
1010,,Commander has reached level 11,,Chỉ huy đã đạt cấp độ 11,Commander has reached level 11,ผู้บัญชาการถึงเลเวล 11 แล้ว,Komandan telah mencapai level 11,Umabot na sa antas 11 ang Commander,Komander telah mencapai tahap 11,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,11,,11,,,,,,,1,1000,11,,{rmb=15;gold=4000},10000
1011,,Commander has reached level 12,,Chỉ huy đã đạt cấp độ 12,Commander has reached level 12,ผู้บัญชาการถึงเลเวล 12 แล้ว,Komandan telah mencapai level 12,Umabot na sa antas 12 ang Commander,Komander telah mencapai tahap 12,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,12,,12,,,,,,,3,1000,12,,{rmb=15;gold=4000},10000
1012,,Commander has reached level 13,,Chỉ huy đã đạt cấp độ 13,Commander has reached level 13,ผู้บัญชาการถึงเลเวล 13 แล้ว,Komandan telah mencapai level 13,Umabot na sa antas 13 ang Commander,Komander telah mencapai tahap 13,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,13,,13,,,,,,,,1000,13,,{rmb=15;gold=4000},10000
1013,,Commander has reached level 14,,Chỉ huy đã đạt cấp độ 14,Commander has reached level 14,ผู้บัญชาการถึงเลเวล 14 แล้ว,Komandan telah mencapai level 14,Umabot na sa antas 14 ang Commander,Komander telah mencapai tahap 14,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,14,,14,,,,,,,2,1000,14,,{rmb=15;gold=4000},10000
1014,,Commander has reached level 15,,Chỉ huy đã đạt cấp độ 15,Commander has reached level 15,ผู้บัญชาการถึงเลเวล 15 แล้ว,Komandan telah mencapai level 15,Umabot na sa antas 15 ang Commander,Komander telah mencapai tahap 15,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,15,,15,,,,,,,2,1000,15,,{rmb=15;gold=4000},10000
1015,,Commander has reached level 16,,Chỉ huy đã đạt cấp độ 16,Commander has reached level 16,ผู้บัญชาการถึงเลเวล 16 แล้ว,Komandan telah mencapai level 16,Umabot na sa antas 16 ang Commander,Komander telah mencapai tahap 16,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,16,,16,,,,,,,3,1000,16,,{rmb=15;gold=4000},10000
1016,,Commander has reached level 17,,Chỉ huy đã đạt cấp độ 17,Commander has reached level 17,ผู้บัญชาการถึงเลเวล 17 แล้ว,Komandan telah mencapai level 17,Umabot na sa antas 17 ang Commander,Komander telah mencapai tahap 17,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,17,,17,,,,,,,5,1000,17,,{rmb=15;gold=4000},10000
1017,,Commander has reached level 18,,Chỉ huy đã đạt cấp độ 18,Commander has reached level 18,ผู้บัญชาการถึงเลเวล 18 แล้ว,Komandan telah mencapai level 18,Umabot na sa antas 18 ang Commander,Komander telah mencapai tahap 18,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,18,,18,,,,,,,5,1000,18,,{rmb=15;gold=4000},10000
1018,,Commander has reached level 19,,Chỉ huy đã đạt cấp độ 19,Commander has reached level 19,ผู้บัญชาการถึงเลเวล 19 แล้ว,Komandan telah mencapai level 19,Umabot na sa antas 19 ang Commander,Komander telah mencapai tahap 19,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,19,,19,,,,,,,2,1000,19,,{rmb=15;gold=4000},10000
1019,,Commander has reached level 20,,Chỉ huy đã đạt cấp độ 20,Commander has reached level 20,ผู้บัญชาการถึงเลเวล 20 แล้ว,Komandan telah mencapai level 20,Umabot na sa antas 20 ang Commander,Komander telah mencapai tahap 20,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,20,,20,,,,,,,2,1000,20,,{rmb=20;gold=5000},10000
1020,,Commander has reached level 21,,Chỉ huy đã đạt cấp độ 21,Commander has reached level 21,ผู้บัญชาการถึงเลเวล 21 แล้ว,Komandan telah mencapai level 21,Umabot na sa antas 21 ang Commander,Komander telah mencapai tahap 21,city/task/icon_actionup.png,,Growth Rewards,Thưởng Tăng Trưởng,Growth Rewards,รางวัลการเติบโต,Hadiah Pertumbuhan,Gantimpala sa Paglago,Ganjaran Pertumbuhan,,21,,21,,,,,,,1,1000,21,,{rmb=20;gold=5000},10000
