VariableName,title_cn,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,message_vn,message_en,message_th,message_in,needNotice_ph,needNotice_ma,message_kr,conditionDesc_cn,conditionDesc,conditionDesc_vn,conditionDesc_en,conditionDesc_th,conditionDesc_in,conditionDesc_ph,conditionDesc_ma,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
Defaults,,,,,,,,,<cn;tw;en;vn;th;kr;in;ma;ph>,txt,<92;153;112>,,,,1,,1,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,0,
ID,头衔名称,头衔名称,title_vn,title_en,title_th,title_in,头衔名称_韩,title_ma,语言区域,显示类型,称号颜色,头衔底资源路径,头衔资源路径,特效称号大小,称号所属类型,相同头衔的Id,称号类别 (1=role; 2=union),称号来源,物品ID,所属系统参数,名次,获得提醒,一直显示,有效期,上线广播台词,message_vn,message_en,message_th,message_in,needNotice_ph,needNotice_ma,上线广播台词_韩,获取条件说明,获取条件说明,conditionDesc_vn,conditionDesc_en,conditionDesc_th,conditionDesc_in,conditionDesc_ph,conditionDesc_ma,获取条件计数器,获取条件的计数,获取条件的参数2,获取条件2说明,获取条件2计数器,获取条件2的计数,获取条件2的参数2,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值
1,,Graduated Ninja Student,Học sinh tốt nghiệp Ninja,Graduated Ninja Student,นักเรียนนินจาผู้สำเร็จการศึกษา,Siswa Ninja Lulusan Terbaik,Nagtapos na Estudyanteng Ninja,Pelajar Ninja Tamat Pengajian,,pic,,,config/title/title_55.png,,2,,,,,,,,,,,,,,,,,,,Earned upon reaching level 10,Nhận được khi đạt cấp 10,Earned upon reaching level 10,ได้รับเมื่อถึงเลเวล 10,Didapat saat mencapai level 10,Makukuha kapag naabot ang Level 10,Diperoleh apabila mencapai tahap 10,1,10,,,,,,,9,30,,10,30,,,
2,,Famous Ninja of the World,Danh nhân trong thế giới Ninja,Famous Ninja of the World,ยอดฝีมือนินจาแห่งโลก,Tokoh Terkenal di Dunia Ninja,Sikat na Tao sa Mundo ng Ninja,Tokoh Terkenal Dunia Ninja,,pic,,,config/title/title_20.png,,2,,,,,,,,,,,,,,,,,,,Earned upon reaching level 99,Đạt được khi đạt cấp 99,Earned upon reaching level 99,ได้รับเมื่อถึงเลเวล 99,Didapat saat mencapai level 99,Makukuha kapag naabot ang Level 99,Diperoleh apabila mencapai tahap 99,1,99,,,,,,,7,500,,8,500,,,
3,,Child of the Prophecy,Con trai của lời tiên tri,Child of the Prophecy,บุตรแห่งคำพยากรณ์,Anak Ramalan,Anak ng Propesiya,Anak Ramalan,,pic,,,config/title/title_48.png,,2,,,,,,,,,,,,,,,,,,,Earned upon reaching level 1,Nhận được khi đạt cấp 1,Earned upon reaching level 1,ได้รับเมื่อถึงเลเวล 1,Didapat saat mencapai level 1,Makukuha kapag naabot ang Level 1,Diperoleh apabila mencapai tahap 1,1,1,,,,,,,1,100,,,,,,
4,,Renowned Ninja of War,Danh nhân Chiến Châu,Renowned Ninja of War,นินจาชื่อดังแห่งสงคราม,Ninja Terkenal dari Medan Perang,Sikat na Ninja sa Digmaan,Ninja Terkenal Perang,,pic,,,config/title/title_16.png,,2,,,,,,,,,,,,,,,,,,,Earned upon reaching level 50,Nhận được khi đạt cấp 50,Earned upon reaching level 50,ได้รับเมื่อถึงเลเวล 50,Didapat saat mencapai level 50,Makukuha kapag naabot ang Level 50,Diperoleh apabila mencapai tahap 50,1,50,,,,,,,13,30,,,,,,
5,,Light of Konoha,Ánh sáng Konoha,Light of Konoha,แสงสว่างแห่งโคโนฮะ,Cahaya Konoha,Liwanag ng Konoha,Cahaya Konoha,,pic,,,config/title/title_40.png,,2,,,,,,,,,,,,,,,,,,,Clear Stage 5-10,Vượt qua màn 5-10,Clear Stage 5-10,ผ่านด่าน 5-10,Selesaikan Tahap 5-10,Malagpasan ang Stage 5-10,Selesaikan Peringkat 5-10,2,10510,,,,,,,1,300,,,,,,
6,,Protector of Konoha,Người bảo vệ Konoha,Protector of Konoha,ผู้พิทักษ์โคโนฮะ,Pelindung Konoha,Tagapagtanggol ng Konoha,Pelindung Konoha,,pic,,,config/title/title_41.png,,2,,,,,,,,,,,,,,,,,,,Clear Stage 12-10,Vượt ải 12-10,Clear Stage 12-10,ผ่านด่าน 12-10,Selesaikan Tahap 12-10,Malagpasan ang Stage 12-10,Selesaikan Peringkat 12-10,2,11210,,,,,,,7,100,,8,100,,,
7,,Golden Light,Ánh sáng vàng,Golden Light,แสงทอง,Cahaya Emas,Gintong Liwanag,Cahaya Emas,,pic,,,config/title/title_19.png,,2,,,,,,,,,,,,,,,,,,,Unlock 50 photo album pages,Mở khóa 50 quyển sách ảnh.,Unlock 50 photo album pages,ปลดล็อกอัลบั้มภาพ 50 หน้า,Buka 50 halaman album foto,I-unlock ang 50 larawan sa album,Buka 50 halaman album foto,76,50,,,,,,,1,500,,,,,,
8,,Master of the Three Tails,Chủ nhân Tam Vị,Master of the Three Tails,เจ้าแห่งสัตว์หางสามหาง,Pemilik Tiga Ekor,Amo ng Tatlong Buntot,Tuan Ekor Tiga,,pic,,,config/title/title_37.png,,2,,,,,,,,,,,,,,,,,,,Unlock 100 illustrations,Mở khóa 100 hình minh họa,Unlock 100 illustrations,ปลดล็อกภาพประกอบ 100 รูป,Buka 100 ilustrasi,I-unlock ang 100 ilustrasyon,Buka 100 ilustrasi,76,100,,,,,,,1,1000,,,,,,
9,,Witness to Rebirth,Người chứng kiến tái sinh,Witness to Rebirth,ผู้เห็นการเกิดใหม่,Saksi Kelahiran Kembali,Saksi ng Muling Pagkabuhay,Saksi Kelahiran Semula,,pic,,,config/title/title_47.png,,2,,,,,,,,,,,,,,,,,,,Unlock 200 items in the collection,Mở khóa 200 mục trong bộ sưu tập,Unlock 200 items in the collection,ปลดล็อก 200 รายการในคลังสะสม,Buka 200 item dalam koleksi,I-unlock ang 200 item sa koleksyon,Buka 200 item dalam koleksi,76,200,,,,,,,1,2000,,,,,,
10,,Radiant Cherry Blossom,Hoa anh đào rực rỡ,Radiant Cherry Blossom,ซากุระเจิดจ้า,Sakura yang Bersinar,Namumulaklak na Sakura,Bunga Sakura Bersinar,,pic,,,config/title/title_22.png,,2,,,,,,,,,,,,,,,,,,,Clear Growth Journey Stage 50,"Vượt ải chặng đường trưởng thành, màn 50",Clear Growth Journey Stage 50,ผ่านด่านเส้นทางเติบโต ด่านที่ 50,Selesaikan Tahap 50 dalam Perjalanan Tumbuh,Malagpasan ang Growth Stage 50,Selesaikan Peringkat 50 Laluan Pertumbuhan,77,100050,,,,,,,9,100,,10,100,,,
11,,Battlefield Dragon,Rồng chiến trường,Battlefield Dragon,มังกรแห่งสมรภูมิ,Naga Medan Perang,Dragon ng Labanan,Naga Medan Perang,,pic,,,config/title/title_5.png,,2,,,,,,,,,,,,,,,,,,,Accumulate 100 Arena battles,Tích lũy 100 trận chiến trong đấu trường,Accumulate 100 Arena battles,สะสมการต่อสู้อารีนา 100 ครั้ง,Akumulasi 100 pertempuran Arena,Kabuuang 100 laban sa Arena,Kumpulkan 100 pertarungan Arena,41,100,,,,,,,7,60,,8,60,,,
12,,Fate's Strongest,Người mạnh mẽ của định mệnh,Fate's Strongest,ผู้แข็งแกร่งของโชคชะตา,Yang Terkuat dalam Takdir,Pinakamalakas ng Kapalaran,Yang Terkuat dari Takdir,,pic,,,config/title/title_28.png,,2,,,,,,,,,,,,,,,,,,,Accumulate 200 Gold Draws,Tích lũy chiêu tài 200 lần,Accumulate 200 Gold Draws,สะสมการสุ่มทอง 200 ครั้ง,Akumulasi 200 Undian Emas,Kabuuang 200 beses ng Gold Draw,Kumpulkan 200 Cabutan Emas,18,200,,,,,,,9,100,,10,100,,,
13,,Disaster Cleaner,Người dọn dẹp thảm họa,Disaster Cleaner,ผู้ขจัดภัยพิบัติ,Pembersih Bencana,Tagalinis ng Kalamidad,Pembersih Bencana,,pic,,,config/title/title_26.png,,2,,,,,,,,,,,,,,,,,,,Purchase stamina 100 times,Mua thể lực tích lũy 100 lần,Purchase stamina 100 times,ซื้อพลังงาน 100 ครั้ง,Beli stamina sebanyak 100 kali,Bumili ng stamina ng 100 beses,Beli stamina 100 kali,26,100,,,,,,,1,500,,,,,,
14,,Stronger Through Trials,Người mạnh mẽ qua thử thách,Stronger Through Trials,แข็งแกร่งจากบททดสอบ,Semakin Kuat Lewat Ujian,Mas Lalong Lakas Dahil sa Pagsubok,Semakin Kuat Selepas Ujian,,pic,,,config/title/title_27.png,,2,,,,,,,,,,,,,,,,,,,Complete a total of 1000 Story and Hard Stages,Hoàn thành tổng cộng 1000 lần các màn cốt truyện và màn khó.,Complete a total of 1000 Story and Hard Stages,ผ่านด่านเนื้อเรื่องและยากครบ 1000 ครั้ง,Selesaikan total 1000 Tahap Cerita dan Sulit,Tapusin ang 1000 Story at Hard Stages,Selesaikan 1000 Peringkat Cerita & Sukar,33,1000,,,,,,,7,150,,8,150,,,
15,,Special Agent Returns,Tái xuất Đặc vụ,Special Agent Returns,สายลับพิเศษกลับมาแล้ว,Agen Khusus Kembali,Nagbalik na Espesyal na Ahente,Ejen Khas Kembali,,pic,,,config/title/title_45.png,,2,,,,,,,,,,,,,,,,,,,Complete 200 Daily Missions,Hoàn thành 200 nhiệm vụ hàng ngày,Complete 200 Daily Missions,ทำภารกิจรายวันครบ 200 ครั้ง,Selesaikan 200 Misi Harian,Tapusin ang 200 Daily Missions,Selesaikan 200 Misi Harian,70,200,,,,,,,9,80,,10,80,,,
16,,The First Organization,Tổ chức đầu tiên,The First Organization,องค์กรแรกเริ่ม,Organisasi Pertama,Unang Organisasyon,Organisasi Pertama,,pic,,,config/title/title_18.png,,2,,,,,,,,,,,,,,,,,,,Contribute to the guild 150 times,Đóng góp cho bang hội tích lũy 150 lần,Contribute to the guild 150 times,บริจาคให้กิลด์สะสม 150 ครั้ง,Donasi ke guild sebanyak 150 kali,Mag-donate sa guild ng 150 beses,Derma kepada guild 150 kali,55,150,,,,,,,1,300,,,,,,
17,,Welcomed from All Sides,Chào đón từ mọi phía,Welcomed from All Sides,การต้อนรับจากทุกทิศทาง,Disambut dari Segala Arah,Tinanggap mula sa Lahat ng Panig,Disambut dari Semua Arah,,pic,,,config/title/title_35.png,,2,,,,,,,,,,,,,,,,,,,Reach 50 friends,Đạt 50 bạn bè.,Reach 50 friends,มีเพื่อนครบ 50 คน,Capai 50 teman,Magkaroon ng 50 kaibigan,Capai 50 rakan,78,50,,,,,,,7,80,,8,80,,,
