VariableName,taskType,taskParam,taskSpecialParam,desc,_beizhu
Defaults,0,9999,{},"""""",”“
ID,任务类型,任务参数,任务特殊参数,描述,备注
1,1,,{1=1},Hội trường đạt đến cấp 1,
2,1,,{1=2},Hội trường đạt đến cấp 2,
3,1,,{1=3},Hội trường đạt đến cấp 3,
4,1,,{1=4},Hội trường đạt đến cấp 4,
5,1,,{1=5},Hội trường đạt đến cấp 5,
6,1,,{1=6},Hội trường đạt đến cấp 6,
7,1,,{1=7},Hội trường đạt đến cấp 7,
8,1,,{1=8},Hội trường đạt đến cấp 8,
9,1,,{1=9},Hội trường đạt đến cấp 9,
201,2,15,,Số lượng túp lều đã đạt được 15 mảnh,
202,2,20,,Số lượng túp lều đã đạt được 20 mảnh,
203,2,30,,Số lượng túp lều đã đạt được 30 mảnh,
