VariableName,frontType,showType,name,name_tw,name_en,name_vn,name_kr,_beizhu
Defaults,0,0,"""""","""""","""""","""""","""""",""""""
ID(按照id顺序从上往下显示),前置分类（布置模式下功能分类）,显示分类（图鉴商店里展示分类）,品类名称,品类名称,品类名称,品类名称,品类名称,备注
1,,,地面,地面,,Đất,,
2,,,墙面,牆面,,Tường,,
3,,,家私,家私,,Gia đình và riêng tư,,
101,21,1,地板,地板,,Sàn nhà,,
102,23,1,地毯,地毯,,Thảm,,
201,22,2,墙纸,牆紙,,Hình nền,,
202,25,2,功能设施,功能設施,,Cơ sở chức năng,,
203,25,2,门窗,門窗,,Cửa và cửa sổ,,
204,25,2,艺术,藝術,,Mỹ thuật,,
301,24,3,桌子,桌子,,Bàn,,
302,24,3,椅子,椅子,,Cái ghế,,
303,24,3,居家,居家,,Nhà,,
304,24,3,收纳,收納,,Kho,,
305,24,3,厨卫,廚衛,,Phòng tắm nhà bếp,,
306,24,3,摆设,擺設,,Trang trí,,
307,24,3,其他,其他,,Khác,,
