VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;in;vn;en;th;tw;ma;ph>
商店ID,备注,商品,购买消耗,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,,{70001=1},{rmb=10},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
2,,{70501=1},{gold=1000},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
3,,{70502=1},{rmb=100},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
4,,{70503=1},{rmb=11},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
5,,{75004=1},{gold=1001},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
6,,{71001=1},{rmb=101},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
7,,{71501=1},{rmb=12},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
8,,{71502=1},{gold=1002},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
9,,{72001=1},{rmb=102},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
10,,{72002=1},{rmb=13},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
11,,{72501=1},{gold=1003},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
12,,{74001=1},{rmb=103},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
13,,{74002=1},{rmb=14},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
14,,{74501=1},{gold=1004},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
15,,{74502=1},{rmb=104},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
16,,{74503=1},{rmb=15},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
17,,{75001=1},{gold=1005},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
18,,{75002=1},{gold=1002},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
19,,{75501=1},{rmb=102},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
20,,{75502=1},{rmb=13},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
21,,{75503=1},{gold=1003},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
22,,{75504=1},{gold=1002},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
23,,{76001=1},{rmb=102},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
24,,{76002=1},{rmb=13},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
25,,{76501=1},{gold=1003},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
26,,{76502=1},{rmb=103},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
27,,{72003=1},{rmb=13},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
28,,{74003=1},{gold=1003},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
29,,{75003=1},{rmb=103},,,,,,,,,,<cn;in;vn;en;th;tw;ma;ph>
