VariableName,name_cn,name,name_en,name_th,name_in,name_ph,name_ma,name_vn,icon,needExp,attrs,privilege,skills,dailyAward,isShowNext
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""",100,{},{},<>,{gold=100},0
等级,称谓名字,称谓名字,name_en,name_th,name_in,name_ph,name_ma,name_vn,段位资源,所需经验,属性加成（{属性ID=数值}）,固定特权({权限id: 数值}),可升级特权,每日奖励,特选升级属性按钮是否显示，1显示0不显示，默认0
1,,Command Trainee,Command Trainee,นักเรียนผู้บัญชาการ,Magang Komandan,Trainee ng Kumander,Peserta Latihan Komandan,Học viên chỉ huy,city/develop/train/img_xstxz.png,0,{1=260;7=95;8=95;9=25;10=25;13=20},{20=10},<1;2>,{11=10;gold=20000},
2,,Command Intern,Command Intern,ผู้ฝึกงานผู้บัญชาการ,Magang Komandan,Intern ng Kumander,Pelatih Magang Komandan,Thực tập chỉ huy,city/develop/train/img_jxtxz.png,150,{1=550;7=165;8=165;9=55;10=55;13=30},{1=1},<3;4>,{11=20;gold=24750},
3,,Junior Commander,Junior Commander,ผู้บัญชาการระดับต้น,Komandan Pemula,Maliliit na Kumander,Pemimpin Junior,Chỉ huy sơ cấp,city/develop/train/img_sgztxz.png,300,{1=1200;7=360;8=360;9=120;10=120;13=35},{5=2},<5;6;7>,{11=30;gold=30000},
4,,Intermediate Commander,Intermediate Commander,ผู้บัญชาการระดับกลาง,Komandan Menengah,Katamtamang Kumander,Pemimpin Pertengahan,Chỉ huy trung cấp,city/develop/train/img_bxtxz.png,410,{1=1950;7=585;8=585;9=195;10=195;13=40},{5=4},<8;9;10>,{gold=35750;12=13},
5,,Senior Commander,Senior Commander,ผู้บัญชาการระดับสูง,Komandan Senior,Senior Kumander,Pemimpin Kanan,Chỉ huy cao cấp,city/develop/train/img_zstxz.png,625,{1=2800;7=840;8=840;9=280;10=280;13=45},{20=50},<11;12;13>,{gold=42000;12=16},
6,,Elite Commander,Elite Commander,ผู้บัญชาการระดับยอดเยี่ยม,Komandan Elit,Elite Kumander,Pemimpin Elit,Chỉ huy tinh anh,city/develop/train/img_yztxz.png,700,{1=3750;7=1125;8=1125;9=375;10=375;13=50},{5=8},<14;15;16;17>,{gold=48750;12=20},
7,,Veteran Commander,Veteran Commander,ผู้บัญชาการผู้มีประสบการณ์,Komandan Veteran,Beteran Kumander,Pemimpin Veteran,Chỉ huy dày dặn kinh nghiệm,city/develop/train/img_xstxz.png,850,{1=4800;7=1440;8=1440;9=480;10=480;13=55},{4=5},<18;19;20;21>,{13=7;gold=56000},
8,,Expert Commander,Expert Commander,ผู้บัญชาการผู้เชี่ยวชาญ,Komandan Pakar,Ekspertong Kumander,Pemimpin Pakar,Chỉ huy chuyên gia,city/develop/train/img_xstxz.png,1150,{1=5950;7=1785;8=1785;9=595;10=595;13=60},{27=1},<22;23;24;25>,{13=8;gold=63750},
9,,Master Commander,Master Commander,ผู้บัญชาการจอมฝีมือ,Komandan Master,Master Kumander,Pemimpin Master,Chỉ huy đại sư,kapai/kapai7_12.skel,1050,{1=7200;7=2160;8=2160;9=720;10=720;13=65},{15=0.05},<26;27;28;29>,{13=9;gold=72000},
10,,Grandmaster Commander,Grandmaster Commander,ผู้บัญชาการจอมยุทธ์,Komandan Agung,Grandmaster Kumander,Pemimpin Agung,Chỉ huy tôn sư,kapai/kapai7_12.skel,1500,{1=8550;7=2565;8=2565;9=855;10=855;13=70},{24=0.05},<30;31;32;33>,{14=3;gold=80750},1
11,,Legendary Commander,Legendary Commander,ผู้บัญชาการในตำนาน,Komandan Legendaris,Alamat na Kumander,Pemimpin Lagenda,Chỉ huy huyền thoại,kapai/kapai7_12.skel,1500,{1=10000;7=3000;8=3000;9=1000;10=1000;13=75},{2=10},<34;35;36;37>,{14=3;gold=90000},1
12,,Divine Commander,Divine Commander,ผู้บัญชาการระดับเทพ,Komandan Ilahi,Diyos na Kumander,Pemimpin Ilahi,Chỉ huy thần cấp,kapai/kapai7_12.skel,1700,{1=11550;7=3465;8=3465;9=1155;10=1155;13=80},{10=1},<38;39;40;41>,{14=4;gold=99750},1
