VariableName,fmt_cn,fmt,fmt_vn,fmt_en,fmt_th,fmt_in,fmt_ph,fmt_ma
Defaults,"""""","""""","""""","""""","""""","""""","""""",""""""
ID,描述字符串,描述字符串,描述字符串,描述字符串,描述字符串_韩,描述字符串_韩,描述字符串_韩,描述字符串_韩
1,,#C0x5C9970#%s#C0xfffff# joined the guild  ,#C0x5C9970#%s#C0xfffff# tham gia công hội,#C0x5C9970#%s#C0xfffff# joined the guild  ,#C0x5C9970#%s#C0xfffff# เข้าร่วมกิลด์  ,#C0x5C9970#%s#C0xfffff# bergabung dengan guild  ,#C0x5C9970#%s#C0xfffff# sumali sa guild  ,#C0x5C9970#%s#C0xfffff# menyertai guild  
2,,#C0x5C9970#%s#C0xfffff# left the guild  ,#C0x5C9970#%s#C0xfffff# rời khỏi công hội,#C0x5C9970#%s#C0xfffff# left the guild  ,#C0x5C9970#%s#C0xfffff# ออกจากกิลด์  ,#C0x5C9970#%s#C0xfffff# keluar dari guild  ,#C0x5C9970#%s#C0xfffff# umalis sa guild  ,#C0x5C9970#%s#C0xfffff# meninggalkan guild  
3,,#C0x5C9970#%s#C0xfffff# was kicked out of the guild by #C0x5C9970#%s#C0xfffff#  ,#C0x5C9970#%s#C0xfffff# bị #C0x5C9970#%s#C0xfffff# đá ra khỏi công hội,#C0x5C9970#%s#C0xfffff# was kicked out of the guild by #C0x5C9970#%s#C0xfffff#  ,#C0x5C9970#%s#C0xfffff# ถูก #C0x5C9970#%s#C0xfffff# ไล่ออกจากกิลด์  ,#C0x5C9970#%s#C0xfffff# dikeluarkan dari guild oleh #C0x5C9970#%s#C0xfffff#  ,#C0x5C9970#%s#C0xfffff# pinalayas mula sa guild ni #C0x5C9970#%s#C0xfffff#  ,#C0x5C9970#%s#C0xfffff# telah dihalau keluar dari guild oleh #C0x5C9970#%s#C0xfffff#  
4,,#C0x5C9970#%s#C0xfffff# was promoted to vice guild leader  ,#C0x5C9970#%s#C0xfffff# thăng cấp thành phó hội trưởng,#C0x5C9970#%s#C0xfffff# was promoted to vice guild leader  ,#C0x5C9970#%s#C0xfffff# ได้รับการเลื่อนตำแหน่งเป็นรองหัวหน้ากิลด์  ,#C0x5C9970#%s#C0xfffff# dipromosikan menjadi wakil pemimpin guild  ,#C0x5C9970#%s#C0xfffff# na-promote bilang vice guild leader  ,#C0x5C9970#%s#C0xfffff# dinaikkan pangkat sebagai timbalan ketua guild  
5,,#C0x5C9970#%s#C0xfffff# was demoted to member  ,#C0x5C9970#%s#C0xfffff# bị hạ cấp thành hội viên,#C0x5C9970#%s#C0xfffff# was demoted to member  ,#C0x5C9970#%s#C0xfffff# ถูกลดตำแหน่งเป็นสมาชิก  ,#C0x5C9970#%s#C0xfffff# diturunkan menjadi anggota  ,#C0x5C9970#%s#C0xfffff# na-demote bilang miyembro  ,#C0x5C9970#%s#C0xfffff# diturunkan pangkat menjadi ahli  
6,,#C0x5C9970#%s#C0xfffff# transferred the guild leader position to #C0x5C9970#%s  ,#C0x5C9970#%s#C0xfffff# chuyển nhượng chức hội trưởng cho #C0x5C9970#%s,#C0x5C9970#%s#C0xfffff# transferred the guild leader position to #C0x5C9970#%s  ,#C0x5C9970#%s#C0xfffff# โอนตำแหน่งหัวหน้ากิลด์ให้กับ #C0x5C9970#%s  ,#C0x5C9970#%s#C0xfffff# mentransfer posisi pemimpin guild ke #C0x5C9970#%s  ,#C0x5C9970#%s#C0xfffff# inilipat ang posisyon ng guild leader kay #C0x5C9970#%s  ,#C0x5C9970#%s#C0xfffff# memindahkan jawatan ketua guild kepada #C0x5C9970#%s  
7,,#C0x5C9970#%s#C0xfffff# was elected as the new guild leader  ,#C0x5C9970#%s#C0xfffff# được chọn làm hội trưởng mới,#C0x5C9970#%s#C0xfffff# was elected as the new guild leader  ,#C0x5C9970#%s#C0xfffff# ได้รับเลือกเป็นหัวหน้ากิลด์คนใหม่  ,#C0x5C9970#%s#C0xfffff# terpilih menjadi pemimpin guild baru  ,#C0x5C9970#%s#C0xfffff# nahalal bilang bagong guild leader  ,#C0x5C9970#%s#C0xfffff# dipilih sebagai ketua guild baru  
8,,#C0x5C9970#%s#C0xfffff# approved #C0x5C9970#%s#C0xfffff# to join the guild,#C0x5C9970#%s#C0xfffff# phê duyệt #C0x5C9970#%s#C0xfffff# tham gia công hội,#C0x5C9970#%s#C0xfffff# approved #C0x5C9970#%s#C0xfffff# to join the guild,#C0x5C9970#%s#C0xfffff# อนุมัติให้ #C0x5C9970#%s#C0xfffff# เข้าร่วมกิลด์,#C0x5C9970#%s#C0xfffff# menyetujui #C0x5C9970#%s#C0xfffff# untuk bergabung dengan guild,#C0x5C9970#%s#C0xfffff# inaprubahan si #C0x5C9970#%s#C0xfffff# na sumali sa guild,#C0x5C9970#%s#C0xfffff# meluluskan #C0x5C9970#%s#C0xfffff# untuk menyertai guild
