VariableName,_beizhu,point,award
Defaults,0,0,{}
ID,所需累计天数,所需热心人点数,赠送奖励
1,,50,{12=10;coin3=120}
2,,150,{12=15;coin3=240}
3,,250,{12=15;coin3=240}
4,,400,{12=20;coin3=360}
5,,550,{12=20;coin3=360}
6,,700,{12=20;coin3=360}
7,,850,{12=20;coin3=360}
8,,1050,{12=25;coin3=450}
9,,1250,{12=25;coin3=450}
10,,1450,{12=25;coin3=450}
11,,1650,{12=25;coin3=450}
12,,1850,{12=25;coin3=450}
13,,2050,{12=25;coin3=450}
14,,2250,{12=25;coin3=450}
15,,2450,{12=25;coin3=450}
16,,2650,{12=25;coin3=450}
17,,2950,{13=10;coin3=600}
18,,3250,{13=10;coin3=600}
19,,3550,{13=10;coin3=600}
20,,3850,{13=10;coin3=600}
21,,4150,{13=10;coin3=600}
22,,4450,{13=10;coin3=600}
23,,4750,{13=10;coin3=600}
24,,5050,{13=10;coin3=600}
25,,5350,{13=10;coin3=600}
26,,5650,{13=10;coin3=600}
27,,5950,{13=10;coin3=600}
28,,6250,{13=10;coin3=600}
29,,6550,{13=10;coin3=600}
30,,6850,{13=10;coin3=600}
31,,7150,{13=10;coin3=600}
32,,7450,{13=10;coin3=600}
33,,7750,{13=10;coin3=600}
34,,8050,{13=10;coin3=600}
35,,8350,{13=10;coin3=600}
36,,8650,{13=10;coin3=600}
37,,8950,{13=10;coin3=600}
38,,9250,{13=10;coin3=600}
39,,9550,{13=10;coin3=600}
40,,9850,{13=10;coin3=600}
41,,10150,{13=10;coin3=600}
42,,10450,{13=10;coin3=600}
43,,10750,{13=10;coin3=600}
44,,11050,{13=10;coin3=600}
45,,11550,{13=20;coin3=720}
46,,12050,{13=20;coin3=720}
47,,12550,{13=20;coin3=720}
48,,13050,{13=20;coin3=720}
49,,13550,{13=20;coin3=720}
50,,14050,{13=20;coin3=720}
51,,14550,{13=20;coin3=720}
52,,15050,{13=20;coin3=720}
53,,15550,{13=20;coin3=720}
54,,16050,{13=20;coin3=720}
55,,16550,{13=20;coin3=720}
56,,17050,{13=20;coin3=720}
57,,17550,{13=20;coin3=720}
58,,18050,{13=20;coin3=720}
59,,18550,{13=20;coin3=720}
60,,19050,{13=20;coin3=720}
61,,19550,{13=20;coin3=720}
62,,20050,{13=20;coin3=720}
63,,20550,{13=20;coin3=720}
64,,21050,{13=20;coin3=720}
65,,21550,{13=20;coin3=720}
66,,22050,{13=20;coin3=720}
67,,22550,{13=20;coin3=720}
68,,23050,{13=20;coin3=720}
69,,23550,{13=20;coin3=720}
70,,24050,{13=20;coin3=720}
71,,24550,{13=20;coin3=720}
72,,25050,{13=20;coin3=720}
73,,25550,{13=20;coin3=720}
74,,26050,{13=20;coin3=720}
75,,26550,{13=20;coin3=720}
76,,27050,{13=20;coin3=720}
77,,27550,{13=20;coin3=720}
78,,28050,{13=20;coin3=720}
79,,28550,{13=20;coin3=720}
80,,29050,{13=20;coin3=720}
81,,29550,{13=20;coin3=720}
82,,30050,{13=20;coin3=720}
83,,30550,{13=20;coin3=720}
84,,31050,{13=20;coin3=720}
85,,31550,{13=20;coin3=720}
86,,32050,{13=20;coin3=720}
87,,32550,{13=20;coin3=720}
88,,33050,{13=20;coin3=720}
89,,33550,{13=20;coin3=720}
90,,34050,{13=20;coin3=720}
91,,34550,{13=20;coin3=720}
92,,35050,{13=20;coin3=720}
93,,35550,{13=20;coin3=720}
94,,36050,{13=20;coin3=720}
95,,36550,{13=20;coin3=720}
96,,37050,{13=20;coin3=720}
97,,37550,{13=20;coin3=720}
98,,38050,{13=20;coin3=720}
99,,38550,{13=20;coin3=720}
100,,39050,{13=20;coin3=720}
101,,39550,{13=20;coin3=720}
102,,40050,{13=20;coin3=720}
103,,40550,{13=20;coin3=720}
104,,41050,{13=20;coin3=720}
105,,41550,{13=20;coin3=720}
106,,42050,{13=20;coin3=720}
107,,42550,{13=20;coin3=720}
108,,43050,{13=20;coin3=720}
109,,43550,{13=20;coin3=720}
110,,44050,{13=20;coin3=720}
111,,44550,{13=20;coin3=720}
112,,45050,{13=20;coin3=720}
113,,45550,{13=20;coin3=720}
114,,46050,{13=20;coin3=720}
115,,46550,{13=20;coin3=720}
116,,47050,{13=20;coin3=720}
117,,47550,{13=20;coin3=720}
118,,48050,{13=20;coin3=720}
119,,48550,{13=20;coin3=720}
120,,49050,{13=20;coin3=720}
121,,49550,{13=20;coin3=720}
122,,50050,{13=20;coin3=720}
123,,50550,{13=20;coin3=720}
124,,51050,{13=20;coin3=720}
125,,51550,{13=20;coin3=720}
126,,52050,{13=20;coin3=720}
127,,52550,{13=20;coin3=720}
128,,53050,{13=20;coin3=720}
129,,53550,{13=20;coin3=720}
130,,54050,{13=20;coin3=720}
131,,54550,{13=20;coin3=720}
132,,55050,{13=20;coin3=720}
133,,55550,{13=20;coin3=720}
134,,56050,{13=20;coin3=720}
135,,56550,{13=20;coin3=720}
136,,57050,{13=20;coin3=720}
137,,57550,{13=20;coin3=720}
138,,58050,{13=20;coin3=720}
139,,58550,{13=20;coin3=720}
140,,59050,{13=20;coin3=720}
141,,59550,{13=20;coin3=720}
142,,60050,{13=20;coin3=720}
143,,60550,{13=20;coin3=720}
144,,61050,{13=20;coin3=720}
145,,61550,{13=20;coin3=720}
146,,62050,{13=20;coin3=720}
147,,62550,{13=20;coin3=720}
148,,63050,{13=20;coin3=720}
149,,63550,{13=20;coin3=720}
150,,64050,{13=20;coin3=720}
151,,64550,{13=20;coin3=720}
152,,65050,{13=20;coin3=720}
153,,65550,{13=20;coin3=720}
154,,66050,{13=20;coin3=720}
155,,66550,{13=20;coin3=720}
156,,67050,{13=20;coin3=720}
157,,67550,{13=20;coin3=720}
158,,68050,{13=20;coin3=720}
159,,68550,{13=20;coin3=720}
160,,69050,{13=20;coin3=720}
161,,69550,{13=20;coin3=720}
162,,70050,{13=20;coin3=720}
163,,70550,{13=20;coin3=720}
164,,71050,{13=20;coin3=720}
165,,71550,{13=20;coin3=720}
166,,72050,{13=20;coin3=720}
167,,72550,{13=20;coin3=720}
168,,73050,{13=20;coin3=720}
169,,73550,{13=20;coin3=720}
170,,74050,{13=20;coin3=720}
171,,74550,{13=20;coin3=720}
172,,75050,{13=20;coin3=720}
173,,75550,{13=20;coin3=720}
174,,76050,{13=20;coin3=720}
175,,76550,{13=20;coin3=720}
176,,77050,{13=20;coin3=720}
177,,77550,{13=20;coin3=720}
178,,78050,{13=20;coin3=720}
179,,78550,{13=20;coin3=720}
180,,79050,{13=20;coin3=720}
181,,79550,{13=20;coin3=720}
182,,80050,{13=20;coin3=720}
183,,80550,{13=20;coin3=720}
184,,81050,{13=20;coin3=720}
185,,81550,{13=20;coin3=720}
186,,82050,{13=20;coin3=720}
187,,82550,{13=20;coin3=720}
188,,83050,{13=20;coin3=720}
189,,83550,{13=20;coin3=720}
190,,84050,{13=20;coin3=720}
191,,84550,{13=20;coin3=720}
192,,85050,{13=20;coin3=720}
193,,85550,{13=20;coin3=720}
194,,86050,{13=20;coin3=720}
195,,86550,{13=20;coin3=720}
196,,87050,{13=20;coin3=720}
197,,87550,{13=20;coin3=720}
198,,88050,{13=20;coin3=720}
199,,88550,{13=20;coin3=720}
200,,89050,{13=20;coin3=720}
201,,89550,{13=20;coin3=720}
202,,90050,{13=20;coin3=720}
203,,90550,{13=20;coin3=720}
204,,91050,{13=20;coin3=720}
205,,91550,{13=20;coin3=720}
206,,92050,{13=20;coin3=720}
207,,92550,{13=20;coin3=720}
208,,93050,{13=20;coin3=720}
209,,93550,{13=20;coin3=720}
210,,94050,{13=20;coin3=720}
211,,94550,{13=20;coin3=720}
212,,95050,{13=20;coin3=720}
213,,95550,{13=20;coin3=720}
214,,96050,{13=20;coin3=720}
215,,96550,{13=20;coin3=720}
216,,97050,{13=20;coin3=720}
217,,97550,{13=20;coin3=720}
218,,98050,{13=20;coin3=720}
219,,98550,{13=20;coin3=720}
220,,99050,{13=20;coin3=720}
221,,99550,{13=20;coin3=720}
222,,100050,{13=20;coin3=720}
223,,100550,{13=20;coin3=720}
224,,101050,{13=20;coin3=720}
225,,101550,{13=20;coin3=720}
226,,102050,{13=20;coin3=720}
227,,102550,{13=20;coin3=720}
228,,103050,{13=20;coin3=720}
229,,103550,{13=20;coin3=720}
230,,104050,{13=20;coin3=720}
231,,104550,{13=20;coin3=720}
232,,105050,{13=20;coin3=720}
233,,105550,{13=20;coin3=720}
234,,106050,{13=20;coin3=720}
235,,106550,{13=20;coin3=720}
236,,107050,{13=20;coin3=720}
237,,107550,{13=20;coin3=720}
238,,108050,{13=20;coin3=720}
239,,108550,{13=20;coin3=720}
240,,109050,{13=20;coin3=720}
241,,109550,{13=20;coin3=720}
242,,110050,{13=20;coin3=720}
243,,110550,{13=20;coin3=720}
244,,111050,{13=20;coin3=720}
245,,111550,{13=20;coin3=720}
246,,112050,{13=20;coin3=720}
247,,112550,{13=20;coin3=720}
248,,113050,{13=20;coin3=720}
249,,113550,{13=20;coin3=720}
250,,114050,{13=20;coin3=720}
251,,114550,{13=20;coin3=720}
252,,115050,{13=20;coin3=720}
253,,115550,{13=20;coin3=720}
254,,116050,{13=20;coin3=720}
255,,116550,{13=20;coin3=720}
256,,117050,{13=20;coin3=720}
257,,117550,{13=20;coin3=720}
258,,118050,{13=20;coin3=720}
259,,118550,{13=20;coin3=720}
260,,119050,{13=20;coin3=720}
261,,119550,{13=20;coin3=720}
262,,120050,{13=20;coin3=720}
263,,120550,{13=20;coin3=720}
264,,121050,{13=20;coin3=720}
265,,121550,{13=20;coin3=720}
266,,122050,{13=20;coin3=720}
267,,122550,{13=20;coin3=720}
268,,123050,{13=20;coin3=720}
269,,123550,{13=20;coin3=720}
270,,124050,{13=20;coin3=720}
271,,124550,{13=20;coin3=720}
272,,125050,{13=20;coin3=720}
273,,125550,{13=20;coin3=720}
274,,126050,{13=20;coin3=720}
275,,126550,{13=20;coin3=720}
276,,127050,{13=20;coin3=720}
277,,127550,{13=20;coin3=720}
278,,128050,{13=20;coin3=720}
279,,128550,{13=20;coin3=720}
280,,129050,{13=20;coin3=720}
281,,129550,{13=20;coin3=720}
282,,130050,{13=20;coin3=720}
283,,130550,{13=20;coin3=720}
284,,131050,{13=20;coin3=720}
285,,131550,{13=20;coin3=720}
286,,132050,{13=20;coin3=720}
287,,132550,{13=20;coin3=720}
288,,133050,{13=20;coin3=720}
289,,133550,{13=20;coin3=720}
290,,134050,{13=20;coin3=720}
291,,134550,{13=20;coin3=720}
292,,135050,{13=20;coin3=720}
293,,135550,{13=20;coin3=720}
294,,136050,{13=20;coin3=720}
295,,136550,{13=20;coin3=720}
296,,137050,{13=20;coin3=720}
297,,137550,{13=20;coin3=720}
298,,138050,{13=20;coin3=720}
299,,138550,{13=20;coin3=720}
300,,139050,{13=20;coin3=720}
301,,139550,{13=20;coin3=720}
302,,140050,{13=20;coin3=720}
303,,140550,{13=20;coin3=720}
304,,141050,{13=20;coin3=720}
305,,141550,{13=20;coin3=720}
306,,142050,{13=20;coin3=720}
307,,142550,{13=20;coin3=720}
308,,143050,{13=20;coin3=720}
309,,143550,{13=20;coin3=720}
310,,144050,{13=20;coin3=720}
311,,144550,{13=20;coin3=720}
312,,145050,{13=20;coin3=720}
313,,145550,{13=20;coin3=720}
314,,146050,{13=20;coin3=720}
315,,146550,{13=20;coin3=720}
316,,147050,{13=20;coin3=720}
317,,147550,{13=20;coin3=720}
318,,148050,{13=20;coin3=720}
319,,148550,{13=20;coin3=720}
320,,149050,{13=20;coin3=720}
321,,149550,{13=20;coin3=720}
322,,150050,{13=20;coin3=720}
323,,150550,{13=20;coin3=720}
324,,151050,{13=20;coin3=720}
325,,151550,{13=20;coin3=720}
326,,152050,{13=20;coin3=720}
327,,152550,{13=20;coin3=720}
328,,153050,{13=20;coin3=720}
329,,153550,{13=20;coin3=720}
330,,154050,{13=20;coin3=720}
331,,154550,{13=20;coin3=720}
332,,155050,{13=20;coin3=720}
333,,155550,{13=20;coin3=720}
334,,156050,{13=20;coin3=720}
335,,156550,{13=20;coin3=720}
336,,157050,{13=20;coin3=720}
337,,157550,{13=20;coin3=720}
338,,158050,{13=20;coin3=720}
339,,158550,{13=20;coin3=720}
340,,159050,{13=20;coin3=720}
341,,159550,{13=20;coin3=720}
342,,160050,{13=20;coin3=720}
343,,160550,{13=20;coin3=720}
344,,161050,{13=20;coin3=720}
345,,161550,{13=20;coin3=720}
346,,162050,{13=20;coin3=720}
347,,162550,{13=20;coin3=720}
348,,163050,{13=20;coin3=720}
349,,163550,{13=20;coin3=720}
350,,164050,{13=20;coin3=720}
351,,164550,{13=20;coin3=720}
352,,165050,{13=20;coin3=720}
353,,165550,{13=20;coin3=720}
354,,166050,{13=20;coin3=720}
355,,166550,{13=20;coin3=720}
356,,167050,{13=20;coin3=720}
357,,167550,{13=20;coin3=720}
358,,168050,{13=20;coin3=720}
359,,168550,{13=20;coin3=720}
360,,169050,{13=20;coin3=720}
361,,169550,{13=20;coin3=720}
362,,170050,{13=20;coin3=720}
363,,170550,{13=20;coin3=720}
364,,171050,{13=20;coin3=720}
365,,171550,{13=20;coin3=720}
366,,172050,{13=20;coin3=720}
367,,172550,{13=20;coin3=720}
368,,173050,{13=20;coin3=720}
369,,173550,{13=20;coin3=720}
370,,174050,{13=20;coin3=720}
371,,174550,{13=20;coin3=720}
372,,175050,{13=20;coin3=720}
373,,175550,{13=20;coin3=720}
374,,176050,{13=20;coin3=720}
375,,176550,{13=20;coin3=720}
376,,177050,{13=20;coin3=720}
377,,177550,{13=20;coin3=720}
378,,178050,{13=20;coin3=720}
379,,178550,{13=20;coin3=720}
380,,179050,{13=20;coin3=720}
381,,179550,{13=20;coin3=720}
382,,180050,{13=20;coin3=720}
383,,180550,{13=20;coin3=720}
384,,181050,{13=20;coin3=720}
385,,181550,{13=20;coin3=720}
386,,182050,{13=20;coin3=720}
387,,182550,{13=20;coin3=720}
388,,183050,{13=20;coin3=720}
389,,183550,{13=20;coin3=720}
390,,184050,{13=20;coin3=720}
391,,184550,{13=20;coin3=720}
392,,185050,{13=20;coin3=720}
393,,185550,{13=20;coin3=720}
394,,186050,{13=20;coin3=720}
395,,186550,{13=20;coin3=720}
396,,187050,{13=20;coin3=720}
397,,187550,{13=20;coin3=720}
398,,188050,{13=20;coin3=720}
399,,188550,{13=20;coin3=720}
400,,189050,{13=20;coin3=720}
401,,189550,{13=20;coin3=720}
402,,190050,{13=20;coin3=720}
403,,190550,{13=20;coin3=720}
404,,191050,{13=20;coin3=720}
405,,191550,{13=20;coin3=720}
406,,192050,{13=20;coin3=720}
407,,192550,{13=20;coin3=720}
408,,193050,{13=20;coin3=720}
409,,193550,{13=20;coin3=720}
410,,194050,{13=20;coin3=720}
411,,194550,{13=20;coin3=720}
412,,195050,{13=20;coin3=720}
413,,195550,{13=20;coin3=720}
414,,196050,{13=20;coin3=720}
415,,196550,{13=20;coin3=720}
416,,197050,{13=20;coin3=720}
417,,197550,{13=20;coin3=720}
418,,198050,{13=20;coin3=720}
419,,198550,{13=20;coin3=720}
420,,199050,{13=20;coin3=720}
421,,199550,{13=20;coin3=720}
422,,200050,{13=20;coin3=720}
423,,200550,{13=20;coin3=720}
424,,201050,{13=20;coin3=720}
425,,201550,{13=20;coin3=720}
426,,202050,{13=20;coin3=720}
427,,202550,{13=20;coin3=720}
428,,203050,{13=20;coin3=720}
429,,203550,{13=20;coin3=720}
430,,204050,{13=20;coin3=720}
431,,204550,{13=20;coin3=720}
432,,205050,{13=20;coin3=720}
433,,205550,{13=20;coin3=720}
434,,206050,{13=20;coin3=720}
435,,206550,{13=20;coin3=720}
436,,207050,{13=20;coin3=720}
437,,207550,{13=20;coin3=720}
438,,208050,{13=20;coin3=720}
439,,208550,{13=20;coin3=720}
440,,209050,{13=20;coin3=720}
441,,209550,{13=20;coin3=720}
442,,210050,{13=20;coin3=720}
443,,210550,{13=20;coin3=720}
444,,211050,{13=20;coin3=720}
445,,211550,{13=20;coin3=720}
446,,212050,{13=20;coin3=720}
447,,212550,{13=20;coin3=720}
448,,213050,{13=20;coin3=720}
449,,213550,{13=20;coin3=720}
450,,214050,{13=20;coin3=720}
451,,214550,{13=20;coin3=720}
452,,215050,{13=20;coin3=720}
453,,215550,{13=20;coin3=720}
454,,216050,{13=20;coin3=720}
455,,216550,{13=20;coin3=720}
456,,217050,{13=20;coin3=720}
457,,217550,{13=20;coin3=720}
458,,218050,{13=20;coin3=720}
459,,218550,{13=20;coin3=720}
460,,219050,{13=20;coin3=720}
461,,219550,{13=20;coin3=720}
462,,220050,{13=20;coin3=720}
463,,220550,{13=20;coin3=720}
464,,221050,{13=20;coin3=720}
465,,221550,{13=20;coin3=720}
466,,222050,{13=20;coin3=720}
467,,222550,{13=20;coin3=720}
468,,223050,{13=20;coin3=720}
469,,223550,{13=20;coin3=720}
470,,224050,{13=20;coin3=720}
471,,224550,{13=20;coin3=720}
472,,225050,{13=20;coin3=720}
473,,225550,{13=20;coin3=720}
474,,226050,{13=20;coin3=720}
475,,226550,{13=20;coin3=720}
476,,227050,{13=20;coin3=720}
477,,227550,{13=20;coin3=720}
478,,228050,{13=20;coin3=720}
479,,228550,{13=20;coin3=720}
