VariableName,range,award
Defaults,<>,{}
ID,排名区间,排名奖励
1,<1;1>,{932=3;coin3=400;gold=80000}
2,<2;2>,{932=3;coin3=380;gold=75000}
3,<3;3>,{932=3;coin3=360;gold=70000}
4,<4;4>,{932=3;coin3=340;gold=65000}
5,<5;5>,{932=3;coin3=320;gold=60000}
6,<6;6>,{932=3;coin3=300;gold=55000}
7,<7;7>,{932=3;coin3=280;gold=50000}
8,<8;8>,{932=3;coin3=260;gold=45000}
9,<9;9>,{932=3;coin3=250;gold=40000}
10,<10;10>,{932=3;coin3=240;gold=38000}
11,<11;12>,{932=2;coin3=230;gold=36000}
12,<13;15>,{932=2;coin3=220;gold=34000}
13,<16;20>,{932=2;coin3=210;gold=32000}
14,<21;999>,{932=2;coin3=200;gold=30000}
