VariableName,memberMax,viceChairmanMax,levelUpContrib,taskExpMax,ContribMax,ContribSumMax,openFeature,trainingExp,dailyGift,dailyPacket1,totalCount1,dailyPacket2,totalCount2,dailyPacket3,totalCount3,skillLvMax,notice1_cn,notice1_vn,notice1_tw,notice1,notice1_en,notice1_th,notice1_in,notice1_ph,notice1_ma,notice2_cn,notice2_vn,notice2_tw,notice2,notice2_en,notice2_th,notice2_in,notice2_ph,notice2_ma,notice3,notice4
Defaults,99,2,100,100,1000,100,<>,0,{},{},10,{},10,{},10,2,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,公会成员上限,公会副会长上限,升级所需公会贡献,每周任务获得的经验上限,每日成员贡献上限次数,每日公会主线贡献总上限,开启功能,训练所基准经验,每日礼包,每日红包1,红包个数,每日红包2,红包个数,每日红包3,红包个数,修炼等级上限,公会升级提醒1,notice1_vn,公会升级提醒1,公会升级提醒1,notice1_en,notice1_th,notice1_in,notice1_ph,notice1_ma,公会升级提醒2,notice2_vn,公会升级提醒2,公会升级提醒2,notice2_en,notice2_th,notice2_in,notice2_ph,notice2_ma,公会升级提醒3,公会升级提醒4
1,30,,6000,27920,5,15000,<training;redpacket;dailygift;contribute>,1,{13=3;21841=1;gold=20000;coin3=100},{gold=1500000},20,{rmb=300},20,{coin3=1500},20,10,,,,,,,,,,,Mở khóa phụ bản công hội,,Unlock guild dungeon,Unlock guild dungeon,ปลดล็อกดันเจี้ยนกิลด์,Buka kunci dungeon guild,I-unlock ang guild dungeon,Buka kunci penjara guild,,
2,31,,12000,28760,5,15500,<fuben>,1,{13=3;21841=1;gold=25000;coin3=110},{gold=1700000},21,{rmb=320},21,{coin3=1600},21,10,,Giới hạn số lượng thành viên đã tăng 1 (đạt 31).,,Member limit increased by 1 (reached 31).,Member limit increased by 1 (reached 31).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 31),Batas anggota bertambah 1 (mencapai 31).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 31).,Had ahli bertambah 1 (mencapai 31).,,Mở khóa trung tâm quyên góp,,Unlock donation center,Unlock donation center,ปลดล็อกศูนย์บริจาค,Buka kunci pusat donasi,I-unlock ang sentro ng donasyon,Buka kunci pusat derma,,
3,32,,17000,29600,5,16000,<fragdonate>,1.01,{13=4;21841=1;gold=30000;coin3=120},{gold=1900000},22,{rmb=340},22,{coin3=1700},22,10,,Giới hạn số lượng thành viên đã tăng 1 (đạt 32).,,Member limit increased by 1 (reached 32).,Member limit increased by 1 (reached 32).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 32),Batas anggota bertambah 1 (mencapai 32).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 32).,Had ahli bertambah 1 (mencapai 32).,,"Mở khóa trung tâm tu luyện, chiến tranh công hội",,"Unlock training center, guild war","Unlock training center, guild war","ปลดล็อกศูนย์ฝึกฝน, สงครามกิลด์","Buka kunci pusat pelatihan, perang guild","I-unlock ang sentro ng pagsasanay, digmaan ng guild","Buka kunci pusat latihan, perang guild",,
4,33,,30000,30440,5,16500,<unionskill;unionFight;crossunionfight>,1.01,{13=4;21841=1;gold=35000;coin3=130},{gold=2100000},23,{rmb=360},23,{coin3=1800},23,10,,Giới hạn số lượng thành viên đã tăng 1 (đạt 33).,,Member limit increased by 1 (reached 33).,Member limit increased by 1 (reached 33).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 33),Batas anggota bertambah 1 (mencapai 33).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 33).,Had ahli bertambah 1 (mencapai 33).,,Mở khóa câu hỏi anh hùng,,Unlock hero questions,Unlock hero questions,ปลดล็อกคำถามฮีโร่,Buka kunci pertanyaan pahlawan,I-unlock ang mga tanong ng bayani,Buka kunci soalan wira,,
5,34,,48000,31280,5,17000,<unionqa>,1.02,{13=5;21841=1;gold=40000;coin3=140},{gold=2300000},24,{rmb=380},24,{coin3=1900},24,20,,Giới hạn số lượng thành viên đã tăng 1 (đạt 34).,,Member limit increased by 1 (reached 34).,Member limit increased by 1 (reached 34).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 34),Batas anggota bertambah 1 (mencapai 34).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 34).,Had ahli bertambah 1 (mencapai 34).,,,,,,,,,,,
6,35,,64000,32120,5,17500,,1.02,{13=5;21841=2;gold=45000;coin3=150},{gold=2500000},25,{rmb=400},25,{coin3=2000},25,20,,Giới hạn số lượng thành viên đã tăng 1 (đạt 35).,,Member limit increased by 1 (reached 35).,Member limit increased by 1 (reached 35).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 35),Batas anggota bertambah 1 (mencapai 35).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 35).,Had ahli bertambah 1 (mencapai 35).,,,,,,,,,,,
7,36,,92000,32960,5,18000,,1.03,{13=6;21841=2;gold=50000;coin3=160},{gold=2700000},26,{rmb=420},26,{coin3=2100},26,20,,Giới hạn số lượng thành viên đã tăng 1 (đạt 36).,,Member limit increased by 1 (reached 36).,Member limit increased by 1 (reached 36).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 36),Batas anggota bertambah 1 (mencapai 36).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 36).,Had ahli bertambah 1 (mencapai 36).,,,,,,,,,,,
8,37,,147000,33800,5,18500,,1.03,{13=6;21841=2;gold=55000;coin3=170},{gold=2900000},27,{rmb=440},27,{coin3=2200},27,20,,Giới hạn số lượng thành viên đã tăng 1 (đạt 37).,,Member limit increased by 1 (reached 37).,Member limit increased by 1 (reached 37).,ขีดจำกัดจำนวนสมาชิกเพิ่มขึ้น 1 (ถึง 37),Batas anggota bertambah 1 (mencapai 37).,Limitasyon ng miyembro nadagdagan ng 1 (umabot sa 37).,Had ahli bertambah 1 (mencapai 37).,,,,,,,,,,,
