VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
Defaults,,{},0,{coin3=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
25,,{452=10},10,{coin3=500},,100,,,12,,,,
26,,{5000=10},20,{coin3=400},,100,,,13,,,,
27,,{514=10},5,{coin3=200},,100,,,14,,,,
30,,{22493=10},5,{coin3=5000},,100,,,,,,,
31,,{21612=10},5,{coin3=1500},,100,,,1,,,,
32,,{20883=10},5,{coin3=1500},,100,,,2,,,,
33,,{21813=10},5,{coin3=1500},,100,,,3,,,,
34,,{23683=10},5,{coin3=500},,100,,,7,,,,
35,,{23283=10},5,{coin3=500},,100,,,8,,,,
36,,{22633=10},5,{coin3=500},,100,,,9,,,,
37,,{20402=10},5,{coin3=500},,100,,,10,,,,
41,,{21071=10},5,{coin3=1000},,100,,,4,,,,
42,,{21303=10},5,{coin3=1000},,100,,,5,,,,
43,,{21841=10},5,{coin3=1000},,100,,,6,,,,
101,,{5001=100;5003=100;5002=100},30,{coin3=300},,100,,,15,<1;27>,,,
102,,{5001=100;5003=100;5002=100},30,{coin3=300},,100,,,15,<1;27>,,,
103,,{5004=100;5006=100;5005=100},30,{coin3=360},,100,,,15,<1;39>,,,
104,,{5004=100;5006=100;5005=100},30,{coin3=360},,100,,,15,<1;39>,,,
105,,{5008=100;5009=100;5007=100},30,{coin3=360},,100,,,15,<1;49>,,,
106,,{5008=100;5009=100;5007=100},30,{coin3=360},,100,,,15,<1;49>,,,
107,,{5011=100;5012=100;5010=100},30,{coin3=430},,100,,,15,<28;59>,,,
108,,{5011=100;5012=100;5010=100},30,{coin3=430},,100,,,15,<28;59>,,,
109,,{5014=100;5015=100;5013=100},30,{coin3=500},,100,,,15,<40;69>,,,
110,,{5014=100;5015=100;5013=100},30,{coin3=500},,100,,,15,<40;69>,,,
111,,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,15,<50;79>,,,
112,,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,15,<50;79>,,,
113,,{5020=100;5019=100;5021=100},30,{coin3=650},,100,,,15,<60;84>,,,
114,,{5020=100;5019=100;5021=100},30,{coin3=650},,100,,,15,<60;84>,,,
115,,{5022=100;5024=100;5023=100},30,{coin3=720},,100,,,15,<70;100>,,,
116,,{5022=100;5024=100;5023=100},30,{coin3=720},,100,,,15,<70;100>,,,
117,,{5025=100;5027=100;5026=100},30,{coin3=790},,100,,,16,<80;104>,,,
118,,{5025=100;5027=100;5026=100},30,{coin3=790},,100,,,16,<80;104>,,,
119,,{5029=100;5028=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
120,,{5029=100;5028=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
121,,{5032=100;5033=100;5031=100},30,{coin3=930},,100,,,16,<95;114>,,,
122,,{5032=100;5033=100;5031=100},30,{coin3=930},,100,,,16,<95;114>,,,
123,,{5036=100;5034=100;5035=100},30,{coin3=990},,100,,,16,<100;119>,,,
124,,{5036=100;5034=100;5035=100},30,{coin3=990},,100,,,16,<100;119>,,,
125,,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
126,,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
127,,{5042=100;5041=100;5040=100},30,{coin3=1050},,100,,,16,<110;129>,,,
128,,{5042=100;5041=100;5040=100},30,{coin3=1050},,100,,,16,<110;129>,,,
129,,{5045=100;5044=100;5043=100},30,{coin3=1080},,100,,,16,<115;134>,,,
130,,{5045=100;5044=100;5043=100},30,{coin3=1080},,100,,,16,<115;134>,,,
131,,{5047=100;5046=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
132,,{5047=100;5046=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
133,,{5050=100;5051=100;5049=100},30,{coin3=1200},,100,,,16,<125;144>,,,
134,,{5050=100;5051=100;5049=100},30,{coin3=1200},,100,,,16,<125;144>,,,
135,,{5054=100;5052=100;5053=100},30,{coin3=1270},,100,,,16,<130;149>,,,
136,,{5054=100;5052=100;5053=100},30,{coin3=1270},,100,,,16,<130;149>,,,
201,,{5001=100;5003=100;5002=100},30,{coin3=300},,100,,,16,<1;27>,,,
202,,{5001=100;5003=100;5002=100},30,{coin3=300},,100,,,16,<1;27>,,,
203,,{5004=100;5006=100;5005=100},30,{coin3=360},,100,,,16,<1;39>,,,
204,,{5004=100;5006=100;5005=100},30,{coin3=360},,100,,,16,<1;39>,,,
205,,{5008=100;5009=100;5007=100},30,{coin3=360},,100,,,16,<1;49>,,,
206,,{5008=100;5009=100;5007=100},30,{coin3=360},,100,,,16,<1;49>,,,
207,,{5011=100;5012=100;5010=100},30,{coin3=430},,100,,,16,<28;59>,,,
208,,{5011=100;5012=100;5010=100},30,{coin3=430},,100,,,16,<28;59>,,,
209,,{5014=100;5015=100;5013=100},30,{coin3=500},,100,,,16,<40;69>,,,
210,,{5014=100;5015=100;5013=100},30,{coin3=500},,100,,,16,<40;69>,,,
211,,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,16,<50;79>,,,
212,,{5016=100;5017=100;5018=100},30,{coin3=570},,100,,,16,<50;79>,,,
213,,{5020=100;5019=100;5021=100},30,{coin3=650},,100,,,16,<60;84>,,,
214,,{5020=100;5019=100;5021=100},30,{coin3=650},,100,,,16,<60;84>,,,
215,,{5022=100;5024=100;5023=100},30,{coin3=720},,100,,,16,<70;100>,,,
216,,{5022=100;5024=100;5023=100},30,{coin3=720},,100,,,16,<70;100>,,,
217,,{5025=100;5027=100;5026=100},30,{coin3=790},,100,,,16,<80;104>,,,
218,,{5025=100;5027=100;5026=100},30,{coin3=790},,100,,,16,<80;104>,,,
219,,{5029=100;5028=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
220,,{5029=100;5028=100;5030=100},30,{coin3=860},,100,,,16,<85;109>,,,
221,,{5032=100;5033=100;5031=100},30,{coin3=930},,100,,,16,<95;114>,,,
222,,{5032=100;5033=100;5031=100},30,{coin3=930},,100,,,16,<95;114>,,,
223,,{5036=100;5034=100;5035=100},30,{coin3=990},,100,,,16,<100;119>,,,
224,,{5036=100;5034=100;5035=100},30,{coin3=990},,100,,,16,<100;119>,,,
225,,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
226,,{5037=100;5038=100;5039=100},30,{coin3=1020},,100,,,16,<105;124>,,,
227,,{5042=100;5041=100;5040=100},30,{coin3=1050},,100,,,16,<110;129>,,,
228,,{5042=100;5041=100;5040=100},30,{coin3=1050},,100,,,16,<110;129>,,,
229,,{5045=100;5044=100;5043=100},30,{coin3=1080},,100,,,16,<115;134>,,,
230,,{5045=100;5044=100;5043=100},30,{coin3=1080},,100,,,16,<115;134>,,,
231,,{5047=100;5046=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
232,,{5047=100;5046=100;5048=100},30,{coin3=1140},,100,,,16,<120;139>,,,
233,,{5050=100;5051=100;5049=100},30,{coin3=1200},,100,,,16,<125;144>,,,
234,,{5050=100;5051=100;5049=100},30,{coin3=1200},,100,,,16,<125;144>,,,
235,,{5054=100;5052=100;5053=100},30,{coin3=1270},,100,,,16,<130;149>,,,
236,,{5054=100;5052=100;5053=100},30,{coin3=1270},,100,,,16,<130;149>,,,
301,,{5001=100;5003=100;5002=100},30,{coin3=300},,100,,,17,<1;27>,,,
302,,{5001=100;5003=100;5002=100},30,{coin3=300},,100,,,17,<1;27>,,,
