VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;in;vn;en;th;ma;ph>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
101,,{22401=2},{coin10=3000},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
103,,{23003=2},{coin10=1500},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
104,,{22723=2},{coin10=1500},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
105,,{22242=2},{coin10=1500},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
111,,{21303=2},{coin10=1500},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
112,,{23283=2},{coin10=600},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
113,,{22593=2},{coin10=600},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
114,,{20493=2},{coin10=600},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
115,,{15=1},{coin10=200},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
116,,{514=15},{coin10=500},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
117,,{5000=20},{coin10=1000},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
600,,{850=50},{coin10=500},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
610,,{851=20},{coin10=300},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
620,,{2222=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
630,,{2222=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
640,,{851=20},{coin10=300},,,,,,,,,,<cn;in;vn;en;th;ma;ph>
1001,,{2226=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
1002,,{2227=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
1003,,{2223=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
1004,,{2228=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
1005,,{2229=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
1006,,{2220=1},{coin10=20000},,,,,,,4,1,,<cn;in;vn;en;th;ma;ph>
