VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma
Defaults,"""""","""""","""""","""""","""""","""""",""""""
ID,精灵名称,name_vn,name_en,name_th,name_in,name_ph,name_ma
1,Miao Hoa Hoa,Miao Hoa Hoa,Miao Hua Hua  ,เหมียว ฮวา ฮวา  ,Miao Hua Hua  ,Miao Hua Hua  ,Miao Hua Hua  
2,Siêu Miao Hoa Hoa,Siêu Miao Hoa Hoa,Super Miao Hua Hua  ,ซุปเปอร์ เหมียว ฮวา ฮวา  ,Super Miao Hua Hua  ,Super Miao Hua Hua  ,Super Miao Hua Hua  
3,Tiểu Hỏa Long,Tiểu Hỏa Long,Little Fire Dragon  ,มังกรไฟน้อย  ,Naga Api Kecil  ,Munting Dragon ng Apoy  ,Naga Api Kecil  
4,Hỏa Khủng Long,Hỏa Khủng Long,Fire Dinosaur  ,ไดโนเสาร์ไฟ  ,Dinosaurus Api  ,Dinosaur ng Apoy  ,Dinosaur Api  
11,Phun Hỏa Long,Phun Hỏa Long,Flame Dragon  ,มังกรพ่นไฟ  ,Naga Penyembur Api  ,Dragon Tagas Apoy  ,Naga Penyembur Api  
12,Siêu Phun Hỏa Long X,Siêu Phun Hỏa Long X,Super Flame Dragon X  ,ซุปเปอร์มังกรพ่นไฟ X  ,Super Naga Api X  ,Super Dragon Tagas Apoy X  ,Super Naga Api X  
13,Siêu Phun Hỏa Long Y,Siêu Phun Hỏa Long Y,Super Flame Dragon Y  ,ซุปเปอร์มังกรพ่นไฟ Y  ,Super Naga Api Y  ,Super Dragon Tagas Apoy Y  ,Super Naga Api Y  
14,Tiền Nghệ Quái,Tiền Nghệ Quái,Qian Yi Monster  ,สัตว์ประหลาดเฉียนอี้  ,Monster Qian Yi  ,Halimaw na Qian Yi  ,Raksasa Qian Yi  
15,Cam Mị Quái,Cam Mị Quái,Orange Charm Monster  ,สัตว์ประหลาดเสน่ห์สีส้ม  ,Monster Pesona Jingga  ,Kaakit-akit na Halimaw Kahel  ,Raksasa Daya Tarikan Jingga  
21,Thủy Tiễn Quái,Thủy Tiễn Quái,Water Arrow Monster  ,สัตว์ประหลาดลูกธนูน้ำ  ,Monster Panah Air  ,Halimaw ng Tubig Pana  ,Raksasa Anak Panah Air  
22,Siêu Thủy Tiễn Quái,Siêu Thủy Tiễn Quái,Super Water Arrow Monster  ,ซุปเปอร์สัตว์ประหลาดลูกธนูน้ำ  ,Super Monster Panah Air  ,Super Halimaw ng Tubig Pana  ,Super Raksasa Anak Panah Air  
23,Lục Mao Trùng,Lục Mao Trùng,Green Hair Bug  ,แมลงผมเขียว  ,Serangga Rambut Hijau  ,Bughaw na Buhok Insekto  ,Serangga Rambut Hijau  
24,Ba Đại Điệp,Ba Đại Điệp,Three Big Butterflies  ,ผีเสื้อสามตัวใหญ่  ,Tiga Kupu-Kupu Besar  ,Tatlong Malalaking Paruparo  ,Tiga Rama-Rama Besar  
31,Đại Châm Phong,Đại Châm Phong,Big Needle Bee  ,ผึ้งเข็มใหญ่  ,Lebah Jarum Besar  ,Malaking Bubuyog-Karang  ,Lebah Jarum Besar  
33,Siêu Đại Châm Phong,Siêu Đại Châm Phong,Super Big Needle Bee  ,ซุปเปอร์ผึ้งเข็มใหญ่  ,Super Lebah Jarum Besar  ,Super Malaking Bubuyog-Karang  ,Super Lebah Jarum Besar  
43,Bo Bo,Bo Bo,Bo Bo  ,โบ โบ  ,Bo Bo  ,Bo Bo  ,Bo Bo  
44,Tỷ Tỷ Chim,Tỷ Tỷ Chim,Sister Bird  ,นกพี่สาว  ,Burung Kakak  ,Ate Ibon  ,Burung Kakak  
51,Đại Tỷ Chim,Đại Tỷ Chim,Big Sister Bird  ,นกพี่สาวตัวใหญ่  ,Burung Kakak Besar  ,Ate Ibon Malaki  ,Burung Kakak Besar  
52,Tiểu Lạp Đa,Tiểu Lạp Đa,Little Lapda  ,ลัปด้าตัวน้อย  ,Lapda Kecil  ,Munting Lapda  ,Lapda Kecil  
53,Lạp Đa,Lạp Đa,Lapda  ,ลัปด้า  ,Lapda  ,Lapda  ,Lapda  
