VariableName,name_cn,name_th,name,name_vn,name_in,name_my,name_en,name_ph,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage,cardSkinScale,shiny,extraSkillList,shinyPos,cardSpine,cardSpineNeedStar,cardSpineScale,frontPriority,fakePassiveSkillList,cardSkinPos,cardSpinePos,shinyRes,showOpen,showOpenOffsetY,scaleY,ShowScale,cardIcon3,cardShowPosY,cardShowPos,cardShowRes,showRes
Defaults,宠物,Ninja,Ninja,Nhẫn Giả,Ninja,Ninja,Ninja,Ninja,,1,1,,FALSE,<>,{x=250;y=300},1000,0,,0,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1,{x=0;y=0},koudai_pikaqiu/pikaqiu.skel,,config/big_hero/standby/img_791_sejla@.png,0.5,{x=-200;y=0},<>,<>,,,{lifePos={y=320;x=0};namePos={y=320;x=0};headPos={y=280;x=0};hitPos={y=160;x=0}},1,<>,0,0.7,1,1,2,1,1,,,0,,0,<>,<>,<>,<>,<>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1.5,FALSE,<>,{y=0;x=0},,,1,,<>,{y=0;x=0},{y=0;x=0},,,240,1,1,,{x=-200;y=0},,,
ID,角色名,角色名,角色名,角色名,角色名,角色名,角色名,角色名,属性类型,修正稀有度,自然属性,第二自然属性,双属性标记,战斗内标记,点击区域,BOSS索引卡牌信息,boss血条数,卡牌/怪物卡牌ID,星级,攻击序列头像,精灵头像,精灵半身图,简化图标,精灵背包卡牌立绘,卡牌立绘缩放,卡牌立绘偏移,资源,皮肤,精灵待机立绘资源,技能半身像截取缩放,技能半身像位置偏移,被动类技能序列,技能序列,合体技目标,合体技技能,各个位置点,血条缩放,ui层特效,击杀mp1恢复,缩放,战斗中缩放修正,修正模式1调整且修正偏移2对技能缩放不影响,养成界面缩放,缩放,皮肤动画缩放,出生时间,复活时间,死亡动画播放时间,死亡音效,单位战斗力,触发buffId,buff持续回合,buff成功率,buff生效等级,buff效果参数1,血量成长,速度成长,攻击力成长,特殊攻击力成长,防御力成长,特殊防御力成长,血量基础加成,速度基础加成,物理伤害基础加成,物理防御基础加成,特殊攻击基础加成,特殊防御基础加成,HP修正,MP1修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,物理攻击修正,特殊攻击修正,物理防御力修正,特殊防御力修正,物理防御忽视修正,特殊防御忽视修正,先手值修正,会心一击修正,会心一击伤害修正,会心一击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避修正,命中修正,伤害闪避修正,伤害命中修正,伤害加成修正,伤害减免修正,必杀加成修正,必杀抗性修正,伤害加深,伤害降低,吸血修正,反弹修正,治疗效果修正,属性克制修正,控制率,免控率,效果限制ID,召唤物参与伤害计算,cardSkinScale,shiny,extraSkillList,shinyPos,cardSpine,cardSpineNeedStar,cardSpineScale,frontPriority,fakePassiveSkillList,cardSkinPos,cardSpinePos,shinyRes,showOpen,showOpenOffsetY,scaleY,ShowScale,cardIcon3,cardShowPosY,cardShowPos,cardShowRes,showRes
13,,Mario,Mario,Mario,Mario,Mario  ,Mario,Mario  ,base,2,14,2,,,,,,13,,config/portrait/speedranktouxiang/img_13.png,config/portrait/jinglingtouxiang/img_13.png,config/portrait/jinglingtouxiang2/img_13.png,config/portrait/simple/img_13.png,config/big_hero/normal/img_13.png,,,guandaogongjiangshi/guandaogongjiangshi.json,,config/big_hero/normal/img_13.png,,,,<131;132;133>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,92.312,1.17,10.013,10.573,3.948,4.013,1.23,1.3,1.25,1.23,1.32,1.25,7956,1000,400,,,,304,393,126,136,0,0,50,200,15000,,,200,3000,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_guandaogong.png,240,,2,,,,,qimukakaxi/qimukakaxi.json
44,,เบลเซบับ  ,Beelzebub,Beelzebub,Beelzebub  ,Beelzebub  ,Beelzebub,Beelzebub  ,base,,14,8,,,,,,44,,config/portrait/speedranktouxiang/img_44.png,config/portrait/jinglingtouxiang/img_44.png,config/portrait/jinglingtouxiang2/img_44.png,config/portrait/simple/img_44.png,config/big_hero/normal/img_44.png,,,beibijiangshi/beibijiangshi.json,,config/big_hero/normal/img_44.png,,,,<441;442;443>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,89.31,1.287,11.615,8.33,3.595,3.98,1.19,1.43,1.45,1.12,1.04,1.24,6762,1000,400,,,,561,100,80,129,0,0,69,300,15000,,,300,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_gelu.png,240,,,,,,,
53,,แบทแมน  ,Batman,Batman,Batman  ,Batman  ,Batman,Batman  ,base,,14,10,,,,,,53,,config/portrait/speedranktouxiang/img_53.png,config/portrait/jinglingtouxiang/img_53.png,config/portrait/jinglingtouxiang2/img_53.png,config/portrait/simple/img_53.png,config/big_hero/normal/img_53.png,,,bianfuxiajiangshi/bianfuxiajiangshi.json,,config/big_hero/normal/img_53.png,,,,<531;532;533>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,93.814,1.17,9.932,9.692,3.916,3.884,1.25,1.3,1.24,1.22,1.21,1.21,8460,1000,400,,,,291,257,122,116,0,0,50,,15000,,,300,3000,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_bianfuxia.png,240,,,,,,,
82,,ซอมบี้  ,Zombie,Zombie,Zombie  ,Zombie  ,Zombie,Zombie  ,base,,14,8,,,,,,82,,config/portrait/speedranktouxiang/img_82.png,config/portrait/jinglingtouxiang/img_82.png,config/portrait/jinglingtouxiang2/img_82.png,config/portrait/simple/img_82.png,config/big_hero/normal/img_82.png,,,qingchaojiangshi/qingchaojiangshi.json,,config/big_hero/normal/img_82.png,,,,<821;822;823>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,82.556,1.044,9.612,8.891,3.595,3.692,1.1,1.16,1.2,1.12,1.11,1.15,4914,1000,400,,,,279,188,86,98,0,0,35,,15000,150,,150,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_jiangshi.png,240,,,,,,,
163,,คางุระ  ,Kagura,Kagura,Kagura  ,Kagura  ,Kagura,Kagura  ,base,3,8,16,,<997051>,,,,163,,config/portrait/speedranktouxiang/img_163.png,config/portrait/jinglingtouxiang/img_163.png,config/portrait/jinglingtouxiang2/img_163.png,config/portrait/simple/img_163.png,config/big_hero/normal/img_163.png,,,shenle/shenle.json,,config/big_hero/normal/img_163.png,,,,<1631;1632;1633>,,,,,,,,,,1.75,,,,,,,,,,,,,100.568,1.341,10.894,10.413,4.269,4.269,1.34,1.49,1.36,1.33,1.3,1.33,10626,1000,400,,,,399,321,163,163,0,0,74,,15000,200,200,,3000,,,,,500,600,,500,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_shenle.png,240,,,,,,,
242,,สึนาโยชิ ซาวาดะ  ,Tsunayoshi Sawada,Tsunayoshi Sawada,Tsunayoshi Sawada  ,Tsunayoshi Sawada  ,Tsunayoshi Sawada,Tsunayoshi Sawada  ,base,3,2,7,,,,,,242,,config/portrait/speedranktouxiang/img_242.png,config/portrait/jinglingtouxiang/img_242.png,config/portrait/jinglingtouxiang2/img_242.png,config/portrait/simple/img_242.png,config/big_hero/normal/img_242.png,,,zetiangangji/zetiangangji.json,,config/big_hero/normal/img_242.png,,,,<2421;2422;2423>,,,,,,,,,,1.75,,,,,,,,,,,,,102.07,1.242,11.374,11.134,4.269,4.269,1.36,1.38,1.42,1.33,1.39,1.33,11220,1000,400,,,,483,440,163,163,0,0,56,500,16000,,,,3000,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_zetiangangji.png,240,,,,,,,
263,,โอโรจิ  ,Orochi,Orochi,Orochi  ,Orochi  ,Orochi,Orochi  ,base,4,11,16,,,,,,263,,config/portrait/speedranktouxiang/img_263.png,config/portrait/jinglingtouxiang/img_263.png,config/portrait/jinglingtouxiang2/img_263.png,config/portrait/simple/img_263.png,config/big_hero/normal/img_263.png,,,dashe/dashe.json,,config/big_hero/normal/img_263.png,,,,<2631;2632;2633>,,,,,,,,,,1.75,,,,,,,,,,,,,122.334,1.548,13.217,14.418,5.04,5.04,1.63,1.72,1.65,1.57,1.8,1.57,22428,1000,400,,,,822,1086,349,349,0,0,114,1500,15000,,,500,3000,,,,,1000,500,500,,,,,,,,,,,,,,,,,,,,,,,,lihui/lihui_dashe.skel,250,,,,,,,
273,,เคน  ,Ken,Ken,Ken  ,Ken  ,Ken,Ken  ,base,2,14,7,,,,,,273,,config/portrait/speedranktouxiang/img_273.png,config/portrait/jinglingtouxiang/img_273.png,config/portrait/jinglingtouxiang2/img_273.png,config/portrait/simple/img_273.png,config/big_hero/normal/img_273.png,,,jietoubawang/jietoubawang.json,,config/big_hero/normal/img_273.png,,,,<2731;2732;2733>,,,{lifePos={y=320;x=-50};hitPos={y=160;x=0};headPos={y=280;x=0};namePos={y=320;x=0}},,,,0.9,,,,,,,,,,,,,,,,95.314,1.044,11.134,9.532,3.98,4.013,1.27,1.16,1.39,1.24,1.19,1.25,9138,1000,400,,,,477,241,129,136,0,0,33,200,15000,,,,3000,,,,,100,200,,,,,,,,,,,,,,,,,,,,,,,,,config/big_lihui/lihui_ken.png,240,,,,,,,
