VariableName,name,name_tw,name_en,name_vn,name_kr,_备注,feature,desc,desc_vn,showLevel,startLevel,startLevel_kr,startLevel_vn,startLevel_cn,startGate,startVip,languages,servers
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""",0,0,0,0,0,0,0,<cn;in;tw;en;vn;th;kr;ma;ph>,{vn=<1;999999>;dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;th=<1;999999>;kr=<1;999999>;en=<1;999999>;xy=<1;999999>}
ID,名称,名称,名称,名称_越南,名称_韩,名称,功能key,说明,说明,显示等级，针对加锁类型,需要的等级（忽略showLevel）,需要的等级（忽略showLevel）,需要的等级（忽略showLevel）,需要的等级（忽略showLevel）,需要的关卡,需要的VIP等级,语言区域,服务器
1,,,Tự động chiến đấu qua ải,,,,gateAuto,Khóa; máy chủ không giới hạn,,,,,,,10102,,,
2,,,Tăng gấp đôi tốc độ cấp độ.,,,,gateSpeed2,Khóa; máy chủ không giới hạn,,,,,,,10102,,,
3,,,Tạm dừng cấp độ,,,,gatePause,Khóa; máy chủ không giới hạn,,,,,,,10105,,,
4,,,Màn khó khăn,,,,heroGate,Ẩn hiện,,5,5,,,,10204,,,
5,,,Tăng tốc chiêu cuối,,,,ultraAcc,Ẩn Hiện,,12,20,,,,,,,
6,,,Cấp độ ác mộng,,,,nightmareGate,Ẩn hiện,,36,47,,,,20101,,,
7,,,Tăng tốc độ gấp 3 lần ở cấp độ 3,,,,gateSpeed3,Khóa; máy chủ không giới hạn,,15,20,,,,10102,,,
8,,,Quét nhanh,,,,quickSweep,Ẩn Hiện,,60,60,,,,10910,,,
9,,,Bỏ qua trận chiến cho người mới bắt đầu,,,,skipNewbieBattle,,,50,50,,,,,,,
10,,,Bỏ qua thử thách ảo giác,,,,skipCloneBattle,Ẩn hiện,,75,75,,,,,,,
11,,,Quét sạch quà phụ bản hiện tại关,,,,dailyGiftGate,Ẩn hiện,,65,65,,,,,,,
20,,,Thiên đường thân mật,,,,lover,,,,,,,,10102,,,
21,,,Trò chuyện liên máy chủ,,,,crossChat,Khóa lại,,99999,40,,,,,,,
100,,,Cửa hàng thông thường,,,,shop,Khóa,,,9,,,,,,,
101,,,Cửa hàng thể thao điện tử,,,,arenaShop,Ẩn hiện,,15,15,,,,,,,
102,,,Cửa hàng công hội,,,,unionShop,Ẩn hiện,,20,20,,,,,,,
103,,,Cửa hàng mảnh ghép,,,,fragmentShop,Ẩn hiện,,26,26,,,,,,,
104,,,Phân loại cửa hàng,,,,shopClassity,Ẩn hiện,,55,55,,,,,,,
105,,,Vòng quay trang sức,,,,drawEquip,Ẩn hiện,,22,26,,,,,,,
106,,,Chức năng hộp báu tích lũy rút thăm giới hạn,,,,timeLimitUpDrawSumBox,Ẩn Hiện,,6,6,,,,,,,
107,,,Chức năng tích lũy rương báu khi rút thẻ,,,,drawSumBox,Ẩn Hiện,,6,6,,,,,,,
108,,,Gợi ý rút thẻ kim cương,,,,diamondDrawTips,Khóa lại,,,40,,,,,,,
109,,,Gợi ý rút thẻ trang sức,,,,equipDrawTips,Khóa,,,199,,,,,,,
110,,,Thông báo gacha giới hạn,,,,diamondUpDrawTips,,,,40,,,,,,,
111,,,Mẹo anh hùng giới hạn thời gian,,,,limitDrawTips,,,40,45,,,,,,,
112,,,Cửa hàng thời trang,,,,skinShop,,,30,30,,,,,,,
