VariableName,_vipLevel,icon,icon2,gift,gift_vn,gift_en,giftLevelLimit,monthGift,monthGift_vn,oldPrice,newPrice,upSum,dispatchTaskQualityUpd,dispatchTaskCount,megaItemMaxTimes,megaCommonItemMaxTimes,randomTowerPointRate,rmbDrawGemCountLimit,goldDrawGemCountLimit,rmbDrawChipCountLimit,itemDrawChipCountLimit,goldDrawCardCountLimit,drawItemCountLimit,crossArenaFreePWTimes,crossArenaBuyPWMaxTimes,freePWTimes,buyStaminaTimes,buyPWTimes,PWcoldTime,PWpointActive,buyHeroGateTimes,lianJinTimes,lianJinGift,lianJinUpstart,cardbgBuyNum,saodangCountOpen,chatTimes,roleChatTimes,chatTimes_kr,roleChatTimes_kr,chatTimes_en,roleChatTimes_en,chatTimes_tw,roleChatTimes_tw,bossTimeBuyLimit,skillPointRecoverTime,buySkillPointTimes,endlessTowerResetTimes,mysteryRefresh,shopRefreshLimit,fragShopRefreshLimit,explorerShopRefreshLimit,fishingShopRefreshLimit,hammer2048,freeTimes2048,buyTimes2048,freeTimesEatGreenBlock,buyTimesEatGreenBlock,freeTimesGoDown100,buyTimesGoDown100,arenaPassCD,huodongRedPacketSend,huodongRedPacketRob,gymTalentPointBuyTimes,gymBattleBuyTimes,fragExchangeTimes,heldItemExchangeTimes,crossMineRobBuyLimit,crossMineRevengeBuyLimit,huodongCrossRedPacketSend,huodongCrossRedPacketRob
Defaults,,,,{},{},{},0,{},{},,,,{},4,,,1,,,,,50,0,,,,,,,0,,5,{},{},,0,1,1,1,1,1,1,1,1,1,300,1,1,300,10,10,10,5,10,3,5,3,5,3,5,30,1,10,5,5,{},{},5,5,1,10
ID,vip等级（保证是ID-1）,icon,icon2,VIP礼包,VIP礼包,VIP礼包,VIP礼包购买等级限制,VIP月度礼包,VIP月度礼包,原价,现价,累计充值额度,派遣任务品质修正,派遣任务任务数量,进化石转化最大次数,钥石转化最大次数,试炼塔积分加成系数,钻石抽宝石次数,金币抽宝石次数,钻石抽芯片次数,道具抽芯片次数,金币抽卡次数限制,抽道具数量限制,跨服竞技场免费挑战次数,跨服竞技场购买排位赛次数上限,免费排位赛次数,恢复体力次数,购买排位赛次数,排位赛冷却时间,排位赛挑战失败积分2激活,重置困难关卡次数,每日炼金次数,每日炼金礼包序列,炼金暴击几率,卡牌背包最大购买次数,是否开启扫荡多次,聊天次数,私聊聊天次数,聊天次数,私聊聊天次数,聊天次数,私聊聊天次数,聊天次数,私聊聊天次数,世界BOSS购买挑战次数上限,技能点恢复时间,购买技能点次数上限,无尽之塔重置次数,神秘商店刷新次数,商店刷新次数上限,碎片商店刷新次数上限,探险寻宝商店刷新次数上限,钓鱼商店刷新次数上限,2048锤子次数,免费挑战次数,购买挑战次数,吃掉绿块免费挑战次数,吃掉绿块购买挑战次数,下100层免费挑战次数,下100层购买挑战次数,竞技场跳过CD,春节红包发次数,春节红包抢次数,道馆挑战加成购买次数,道馆副本挑战购买次数,卡牌碎片兑换次数,携带道具分解次数,跨服资源战抢夺次数购买上限,跨服资源战报仇次数购买上限,春节跨服红包发次数,春节跨服红包抢次数
1,,ICON/vip0.png,ICON/vip2_0.png,,,,,,,,,0,{1=0.2;2=0.4;3=0.3;4=0.1;5=0},,20,20,,100,30,100,30,100,10,5,100,5,3,100,300,,1,,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=95;2=5;3=0;5=0;10=0},15,3,50,10,,,50,10,,,2,,,,0,20,5,20,,3,,3,4,3,4,3,15,,,,,{5=0},{4=0},3,3,,
2,,ICON/vip1.png,ICON/vip2_1.png,{gold=200000;5000=10;5001=5;5002=5;5003=5;502=10},{gold=200000;5000=10;5001=5;5002=5;5003=5;502=10},{gold=200000;5000=10;5001=5;5002=5;5003=5;502=10},,,,680,18,100,{1=0.2;2=0.4;3=0.3;4=0.1;5=0},,20,20,,100,30,100,30,100,15,5,100,5,4,100,300,,1,10,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=93;2=5;3=2;5=0;10=0},20,10,100,100,,,100,100,,,2,,3,,0,20,5,20,,3,,3,4,3,4,3,15,,,,,{5=10},{4=1},4,4,,
3,,ICON/vip2.png,ICON/vip2_2.png,{100=5;517=5;gold=300000;20972=50;522=3;15=30},{100=5;517=5;gold=300000;20972=50;522=3;15=30},{100=5;517=5;gold=300000;20972=50;522=3;15=30},,,,1080,68,250,{1=0.1;2=0.4;3=0.4;4=0.1;5=0},,20,20,,100,30,100,30,100,20,5,100,5,5,100,300,,2,15,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=93;2=5;3=2;5=0;10=0},25,10,200,200,,,200,200,,,2,,5,,0,20,5,20,,3,,3,4,3,4,3,15,,,,,{5=10},{4=1},,,,
4,,ICON/vip3.png,ICON/vip2_3.png,{gold=500000;19=10;20972=100;501=2;15=30;521=5},{gold=500000;19=10;20972=100;501=2;15=30;521=5},{gold=500000;19=10;20972=100;501=2;15=30;521=5},,,,2880,280,500,{1=0.1;2=0.3;3=0.4;4=0.2;5=0},,20,20,,100,30,100,30,100,25,5,100,5,6,100,300,,2,20,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=93;2=5;3=2;5=0;10=0},30,10,400,400,,,400,400,,,2,60,7,,0,20,5,20,,3,,3,4,3,4,3,15,,,,,{5=10},{4=1},6,6,,
5,,ICON/vip4.png,ICON/vip2_4.png,{202=1;gold=1000000;20972=150;19=10;15=30;232=1},{202=1;gold=1000000;20972=150;19=10;15=30;232=1},{202=1;gold=1000000;20972=150;19=10;15=30;232=1},,,,4880,480,1000,{1=0.05;2=0.3;3=0.4;4=0.2;5=0.05},,20,20,,100,30,100,30,100,30,5,100,5,7,100,300,,2,25,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=91;2=6;3=3;5=0;10=0},35,50,600,600,,,600,600,,,2,60,9,,0,20,5,20,,3,,3,4,3,4,3,15,,,,,{5=20},{4=2},7,7,,
6,,ICON/vip5.png,ICON/vip2_5.png,{gold=2000000;card={id=3152};6100=1;2004=1;15=30;9061=10},{gold=2000000;card={id=3152};6100=1;2004=1;15=30;9061=10},{gold=2000000;card={id=3152};6100=1;2004=1;15=30;9061=10},,,,6880,680,2500,{1=0.05;2=0.3;3=0.4;4=0.2;5=0.05},,20,20,,100,30,100,30,100,35,5,100,5,8,100,300,1,3,30,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=91;2=6;3=3;5=0;10=0},40,50,800,800,,,800,800,,,2,60,12,,0,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=20},{4=2},8,8,,
7,,ICON/vip6.png,ICON/vip2_6.png,{203=1;gold=3000000;223=1;15=30;2103=30;23152=50},{203=1;gold=3000000;223=1;15=30;2103=30;23152=50},{203=1;gold=3000000;223=1;15=30;2103=30;23152=50},,,,8880,880,5000,{1=0;2=0.25;3=0.4;4=0.25;5=0.1},,20,20,1.1,100,30,100,30,100,40,5,100,5,9,100,300,1,3,35,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=91;2=6;3=3;5=0;10=0},45,50,1000,1000,,,1000,1000,,,2,60,16,,1,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=20},{4=2},9,9,,
8,,ICON/vip7.png,ICON/vip2_7.png,{gold=4000000;902=50;2221=1;15=50;23152=100;9061=30},{gold=4000000;902=50;2221=1;15=50;23152=100;9061=30},{gold=4000000;902=50;2221=1;15=50;23152=100;9061=30},,,,12880,1280,10000,{1=0;2=0.25;3=0.4;4=0.25;5=0.1},,20,20,1.1,100,30,100,30,100,45,5,100,5,10,100,300,1,3,40,{5={gold=30000};50={gold=300000};30={gold=200000};15={gold=100000}},{1=88;2=7;3=4;5=1;10=0},50,50,1200,1200,,,1200,1200,,,2,60,20,,1,20,5,20,,3,,3,4,3,4,3,0,,,,,{5=30},{4=3},10,10,,
