VariableName,desc8_in,desc9_in,desc7_in,desc11_in,desc3_in,desc4_in,desc1_in,desc2_in,desc10_in,desc6_in,desc5_in,desc8,desc9,desc7,desc11,desc3,desc4,desc1,desc2,desc10,desc6,desc5,desc8_th,desc9_th,desc7_th,desc11_th,desc3_th,desc4_th,desc1_th,desc2_th,desc10_th,desc6_th,desc5_th,desc8_vn,desc9_vn,desc7_vn,desc11_vn,desc3_vn,desc4_vn,desc1_vn,desc2_vn,desc10_vn,desc6_vn,desc5_vn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,desc8,desc9,desc7,desc11,desc3,desc4,desc1,desc2,desc10,desc6,desc5,desc8,desc9,desc7,desc11,desc3,desc4,desc1,desc2,desc10,desc6,desc5,desc8,desc9,desc7,desc11,desc3,desc4,desc1,desc2,desc10,desc6,desc5,desc8,desc9,desc7,desc11,desc3,desc4,desc1,desc2,desc10,desc6,desc5
1,,,,,,,,,,,,,,Can summon Beasts up to #C0xea7004#10#C0x473E37# times per day.,,Can buy Stamina #C0xea7004#3#C0x473E37# times per day  ,Can perform Treasure Hunt #C0xea7004#5#C0x473E37# times per day  ,Accumulate top-up of #C0xea7004#0#C0x473E37# Diamonds to receive the following privileges:  ,V0 Free Gift Pack: #C0xea7004#  ,,Hero Bag capacity can be purchased #C0xea7004#10#C0x473E37# times  ,Elite stage refreshes per day: #C0xea7004#1#C0x473E37# time  ,,,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004#10#C0x473E37# ครั้ง,,ต่อวันสามารถซื้อพลังงานได้ #C0xea7004#3#C0x473E37# ครั้ง,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#5#C0x473E37# ครั้ง,เติมสะสม #C0xea7004#0#C0x473E37# เพชร เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V0 แพ็กของขวัญฟรี: #C0xea7004#,,สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004#10#C0x473E37# ครั้ง,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#1#C0x473E37# ครั้ง,,,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004#10#C0x473E37# lần.,,Mỗi ngày có thể mua thể lực #C0xea7004#3#C0x473E37# lần,Mỗi ngày có thể tụ bảo #C0xea7004#5#C0x473E37# lần,Nạp tích lũy #C0xea7004#0#C0x473E37# Kim Cương để nhận các đặc quyền sau:,V0 Gói quà miễn phí:#C0xea7004#,,Có thể mua dung lượng túi anh hùng #C0xea7004#10#C0x473E37# lần,Mỗi ngày có thể làm mới ải tinh anh #C0xea7004#1#C0x473E37# lần
2,,,,,,,,,,,,,,Can summon Beasts up to #C0xea7004#15#C0x473E37# times per day.,,Can buy Stamina #C0xea7004#4#C0x473E37# times per day  ,Can perform Treasure Hunt #C0xea7004#10#C0x473E37# times per day  ,Accumulate top-up of #C0xea7004#100#C0x473E37# Diamonds or Gold Vouchers to enjoy the following privileges:  ,V1 Grand Gift Pack: #C0xea7004#Breakthrough Gift Pack  ,,Hero Backpack capacity can be purchased #C0xea7004#15#C0x473E37# times  ,Elite stage refreshes per day: #C0xea7004#1#C0x473E37# time  ,,,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004#15#C0x473E37# ครั้ง,,ต่อวันสามารถซื้อพลังงานได้ #C0xea7004#4#C0x473E37# ครั้ง,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#10#C0x473E37# ครั้ง,เติมสะสม #C0xea7004#100#C0x473E37# เพชรหรือคูปองทอง เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V1 แพ็กของขวัญใหญ่: #C0xea7004# แพ็กของขวัญทะลุขีดจำกัด,,สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004# 15 #C0x473E37# ครั้ง,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#1#C0x473E37# ครั้ง,,,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004#15#C0x473E37# lần.,,Mỗi ngày có thể mua thể lực #C0xea7004#4#C0x473E37# lần,Mỗi ngày có thể tụ bảo #C0xea7004#10#C0x473E37# lần,Nạp tích lũy #C0xea7004#100#C0x473E37# Kim Cương hoặc Kim Phiếu để tận hưởng các đặc quyền sau:,V1 Đại Lễ Bao:#C0xea7004#Gói Quà Đột Phá,,Có thể mua dung lượng ba lô anh hùng #C0xea7004# 15 #C0x473E37# lần,Mỗi ngày có thể làm mới ải tinh anh #C0xea7004#1#C0x473E37# lần
3,,,,,,,,,,,,Includes all content from V1.,,Can summon Beasts up to #C0xea7004#20#C0x473E37# times per day.,,Can buy Stamina #C0xea7004#5#C0x473E37# times per day  ,Can perform Treasure Hunt #C0xea7004#15#C0x473E37# times per day  ,Accumulate top-up of #C0xea7004#250#C0x473E37# Diamonds or Gold Vouchers to receive the following privileges:  ,V2 Grand Gift Pack: #C0xea7004#Tokisaki Kurumi Shards and Growth Support Pack  ,,Hero Bag capacity can be purchased #C0xea7004#20 times#C0x473E37#  ,Elite stage refreshes per day: #C0xea7004#2#C0x473E37# times  ,รวมเนื้อหาทั้งหมดของ V1,,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004#20#C0x473E37# ครั้ง,,ต่อวันสามารถซื้อพลังงานได้ #C0xea7004# 5 #C0x473E37# ครั้ง,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#15#C0x473E37# ครั้ง,เติมสะสม #C0xea7004#250#C0x473E37# เพชรหรือคูปองทอง เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V2 แพ็กของขวัญใหญ่: #C0xea7004# ชิ้นส่วนโทคิซากิ คุรุมิ และแพ็กสนับสนุนการเติบโต,,สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004# 20 ครั้ง #C0x473E37#,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#2#C0x473E37# ครั้ง,Bao gồm tất cả nội dung của V1,,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004#20#C0x473E37# lần.,,Mỗi ngày có thể mua thể lực #C0xea7004# 5 #C0x473E37# lần,Mỗi ngày có thể tụ bảo #C0xea7004#15#C0x473E37# lần,Nạp tích lũy #C0xea7004#250#C0x473E37# Kim Cương hoặc Kim Phiếu để nhận các đặc quyền sau:,V2 Đại Lễ Bao:#C0xea7004#Mảnh Tokisaki Kurumi và Gói Hỗ Trợ Tăng Trưởng,,Có thể mua dung lượng Túi Anh Hùng #C0xea7004# 20 lần #C0x473E37#,Mỗi ngày có thể làm mới ải tinh anh #C0xea7004#2#C0x473E37# lần
4,,,,,,,,,,,,Hero Bag capacity can be purchased #C0xea7004#25#C0x473E37# times.,Summon Beasts up to #C0xea7004#25#C0x473E37# times per day.,Can refresh Elite stages up to #C0xea7004#2#C0x473E37# times per day.,,Unlock Level Fund #C0xea7004# with 10x return  ,#C0xea7004#Skill point recovery speed reduced to 1 point / 60 seconds  ,Accumulate top-up of #C0xea7004#500#C0x473E37# Diamonds or Gold Vouchers to enjoy the following privileges:  ,V3 Grand Gift Pack: #C0xea7004#Shizaki Kurumi Shards and Jewelry Star Upgrade Items  ,Includes all privilege content from V2 and below.,Daily Treasure Hunt limit: #C0xea7004#20#C0x473E37# times  ,Stamina purchases per day: #C0xea7004#6#C0x473E37# times  ,สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004# 25 ครั้ง #C0x473E37#,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004# 25 #C0x473E37# ครั้ง,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#2#C0x473E37# ครั้ง,,ปลดล็อกกองทุนเลเวล #C0xea7004# คืนผลตอบแทน 10 เท่า,#C0xea7004# เวลาฟื้นฟูแต้มสกิลลดลงเหลือ 1 แต้ม/60 วินาที,เติมสะสม #C0xea7004#500#C0x473E37# เพชรหรือคูปองทอง เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V3 แพ็กของขวัญใหญ่: #C0xea7004# ชิ้นส่วนชิซากิ คุรุมิ และไอเทมเพิ่มดาวเครื่องประดับ,รวมสิทธิพิเศษทั้งหมดของ V2 ลงไป,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#20#C0x473E37# ครั้ง,ต่อวันสามารถซื้อพลังงานได้ #C0xea7004#6#C0x473E37# ครั้ง,Có thể mua dung lượng Túi Anh Hùng #C0xea7004# 25 lần #C0x473E37#,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004# 25 #C0x473E37# lần.,Mỗi ngày có thể làm mới các màn chơi tinh anh #C0xea7004#2#C0x473E37# lần.,,Mở khóa quỹ cấp độ #C0xea7004# hoàn trả gấp 10 lần,#C0xea7004#Thời gian hồi phục điểm kỹ năng giảm xuống 1 điểm/60 giây,Nạp tích lũy #C0xea7004#500#C0x473E37# Kim Cương hoặc Kim Phiếu để tận hưởng các đặc quyền sau:,V3 Đại Lễ Bao: #C0xea7004# Mảnh Shizaki Kurumi và đạo cụ tăng sao trang sức,Bao gồm tất cả nội dung đặc quyền của V2 trở xuống.,Mỗi ngày có thể tụ bảo #C0xea7004#20#C0x473E37# lần,Có thể mua thể lực #C0xea7004#6#C0x473E37# lần mỗi ngày
5,,,,,,,,,,,,Summon Beasts up to #C0xea7004#30#C0x473E37# times per day.,Includes all VIP 3 and lower privilege content.,Hero Backpack capacity can be purchased #C0xea7004#30 times.#C0x473E37#,,Unlock Quick Sweep for 50 Story Dungeon battles #C0xea7004#  ,Can buy Stamina #C0xea7004#7#C0x473E37# times per day  ,Accumulate top-up of #C0xea7004#1000#C0x473E37# Diamonds or Gold Vouchers to enjoy the following privileges:  ,V4 Grand Gift Pack: #C0xea7004#Tokisaki Kurumi Shards and Jewelry Awakening Items  ,,Elite stages can be refreshed daily #C0xea7004#2#C0x473E37# times  ,Treasure Hunt per day: #C0xea7004#25#C0x473E37# times  ,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004# 30 #C0x473E37# ครั้ง,รวมสิทธิพิเศษทั้งหมดของ V3 ลงไป,สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004# 30 ครั้ง #C0x473E37#,,ปลดล็อกฟังก์ชันกวาดล้างด่านเนื้อเรื่อง 50 ครั้ง #C0xea7004#,ต่อวันสามารถซื้อพลังงานได้ #C0xea7004#7#C0x473E37# ครั้ง,เติมสะสม #C0xea7004#1000#C0x473E37# เพชรหรือคูปองทอง เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V4 แพ็กของขวัญใหญ่: #C0xea7004# ชิ้นส่วนโทคิซากิ คุรุมิ และไอเทมปลุกพลังเครื่องประดับ,,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#2#C0x473E37# ครั้ง,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#25#C0x473E37# ครั้ง,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004# 30 #C0x473E37# lần.,Bao gồm tất cả nội dung đặc quyền của V3 trở xuống,Có thể mua dung lượng ba lô anh hùng #C0xea7004# 30 lần. #C0x473E37#,,Mở khóa chức năng quét nhanh 50 lần phó bản cốt truyện #C0xea7004#.,Mỗi ngày có thể mua thể lực #C0xea7004#7#C0x473E37# lần,Nạp tích lũy #C0xea7004#1000#C0x473E37# Kim Cương hoặc Kim Phiếu để tận hưởng các đặc quyền sau:,V4 Đại Lễ Bao: #C0xea7004# Mảnh Tokisaki Kurumi và đạo cụ thức tỉnh trang sức,,Mỗi ngày có thể làm mới các ải tinh anh #C0xea7004#2#C0x473E37# lần,Mỗi ngày có thể tụ bảo #C0xea7004#25#C0x473E37# lần
6,,,,,,,,,,,,Treasure Hunt available #C0xea7004#30#C0x473E37# times per day.,Elite stages can be refreshed #C0xea7004#3#C0x473E37# times per day.,Stamina can be purchased up to #C0xea7004#8#C0x473E37# times per day.,Can summon Beasts up to #C0xea7004#35#C0x473E37# times per day.,#C0xea7004#Arena defeat also grants +2 points  ,Unlock #C0xea7004# Guild Supreme Sacrifice  ,Accumulate top-up of #C0xea7004#2500#C0x473E37# Diamonds or Gold Vouchers to receive the following privileges:  ,V5 Grand Gift Pack: #C0xea7004#Shana and a full set of Purple Spirit Beasts  ,Hero Backpack capacity can be purchased #C0xea7004#35#C0x473E37# times.,#C0xea7004#Arena skip battle has no cooldown  ,Unlocks: #C0xea7004# Daily Mission - Luxury Rebate  ,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#30#C0x473E37# ครั้ง,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#3#C0x473E37# ครั้ง,สามารถซื้อพลังงานได้ #C0xea7004#8#C0x473E37# ครั้งต่อวัน,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004#35#C0x473E37# ครั้ง,#C0xea7004# คะแนนแพ้ในสนามประลองก็ +2,ปลดล็อก #C0xea7004# การบูชายัญสูงสุดของสมาคม,เติมสะสม #C0xea7004#2500#C0x473E37# เพชรหรือคูปองทอง เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V5 แพ็กของขวัญใหญ่: #C0xea7004# ชานะ และชุดวิญญาณสัตว์สีม่วง,สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004#35#C0x473E37# ครั้ง,#C0xea7004# สนามประลองข้ามการต่อสู้โดยไม่ต้องรอคูลดาวน์,ปลดล็อก #C0xea7004# ภารกิจรายวัน - คืนหรูหรา,Mỗi ngày có thể tụ bảo #C0xea7004#30#C0x473E37# lần,Mỗi ngày có thể làm mới màn chơi tinh anh #C0xea7004#3#C0x473E37# lần.,Có thể mua thể lực #C0xea7004#8#C0x473E37# lần mỗi ngày,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004#35#C0x473E37# lần.,#C0xea7004#Điểm thua đấu trường cũng +2,Mở khóa #C0xea7004# Hiến Tế Tối Thượng Bang Hội,Nạp tích lũy #C0xea7004#2500#C0x473E37# Kim Cương hoặc Kim Phiếu để nhận các đặc quyền sau:,V5 Đại Lễ Bao: #C0xea7004# Shana và một bộ Linh Thú màu Tím,Có thể mua dung lượng ba lô Anh Hùng #C0xea7004#35#C0x473E37# lần,#C0xea7004#Đấu trường bỏ qua trận chiến không thời gian hồi chiêu,Mở khóa #C0xea7004# Nhiệm vụ hàng ngày - Hoàn trả sang trọng
7,,,,,,,,,,,,Summon Beasts up to #C0xea7004#40#C0x473E37# times per day.,Includes all VIP 5 and lower privilege content.,Hero Backpack capacity can be purchased up to #C0xea7004#40#C0x473E37# times.,,Can buy Stamina #C0xea7004#9#C0x473E37# times per day  ,#C0xea7004#+10% Dimensional Tower battle points  ,Accumulate top-up of #C0xea7004#5000#C0x473E37# Diamonds or Gold Vouchers to enjoy the following privileges:  ,V6 Grand Gift Pack: #C0xea7004#Shana Shards and Jewelry Awakening Items  ,,Elite stages can be refreshed daily #C0xea7004#3#C0x473E37# times  ,Treasure Hunt per day: #C0xea7004#35#C0x473E37# times  ,ต่อวันสามารถอัญเชิญสัตว์อัญเชิญได้ #C0xea7004# 40 #C0x473E37# ครั้ง,รวมสิทธิพิเศษทั้งหมดของ V5 ลงไป,จำนวนครั้งที่สามารถซื้อความจุกระเป๋าฮีโร่ได้ #C0xea7004# คือ #40# #C0x473E37#,,ต่อวันสามารถซื้อพลังงานได้ #C0xea7004#9#C0x473E37# ครั้ง,#C0xea7004# เพิ่มพลังต่อสู้ของหอคอยมิติ 10%,เติมสะสม #C0xea7004#5000#C0x473E37# เพชรหรือคูปองทอง เพื่อรับสิทธิพิเศษดังต่อไปนี้:,V6 แพ็กของขวัญใหญ่: #C0xea7004# ชิ้นส่วนชานะ และไอเทมปลุกพลังเครื่องประดับ,,ต่อวันสามารถรีเฟรชด่านขั้นสูงได้ #C0xea7004#3#C0x473E37# ครั้ง,ต่อวันสามารถล่าสมบัติได้ #C0xea7004#35#C0x473E37# ครั้ง,Mỗi ngày có thể triệu hồi thú triệu hồi #C0xea7004# 40 #C0x473E37# lần.,Bao gồm tất cả nội dung đặc quyền của V5 trở xuống.,Số lần có thể mua dung lượng ba lô anh hùng #C0xea7004# là #40# #C0x473E37#,,Mỗi ngày có thể mua thể lực #C0xea7004#9#C0x473E37# lần,#C0xea7004#Tăng 10% điểm chiến đấu Tháp Thứ Nguyên,Nạp tích lũy #C0xea7004#5000#C0x473E37# Kim Cương hoặc Kim Phiếu để tận hưởng các đặc quyền sau:,V6 Đại Lễ Bao: #C0xea7004# Mảnh Shana và đạo cụ thức tỉnh trang sức,,Mỗi ngày có thể làm mới các màn chơi tinh anh #C0xea7004#3#C0x473E37# lần.,Mỗi ngày có thể tụ bảo #C0xea7004#35#C0x473E37# lần
