VariableName,name,name_vn,huodongID,res,ranWeight,attrType,lrSpeedDelta,udSpeedDelta,gravity,power,scale,hitRadius,hitOffsetPos,skillType,failRate
Defaults,宠物,宠物,1,,1,1,4.5,20,-1,0,1.3,32,{'x'=0;'y'=0},1,0
ID,名称,名称,活动ID,资源,随机权重,属性类型,移动速度,跳起速度,落下重力,力量,缩放,触碰体积半径,触碰体积位置偏移,技能类型(1冰2超能3电4岩石),ai接球失误率
21,杰尼龟,,300011,volleyball_jienigui/jienigui.skel,2,,7,22,,2,,33,{y=100;x=4},,50
92,皮卡丘,,300011,volleyball_pikaqiu/hero_pikaqiu.skel,2,,7,24,,2,,34,{y=70;x=45},3,9
101,穿山鼠,,300011,volleyball_chuanshanshu/chuanshanshu.skel,,,7,,,2,1.5,,{y=90;x=35},4,35
152,胖丁,,300011,volleyball_pangding/pangding.skel,,3,5,,,2,,45,{y=80;x=4},2,50
221,可达鸭,,300011,volleyball_kedaya/hero_kedaya.skel,2,,7,21,,2,,34,{y=100;x=-20},,30
502,吉利蛋,,300011,volleyball_jld/jld.skel,,3,5,,,2,,50,{y=60;x=4},2,15
592,电击兽,,300011,volleyball_dianjishou/hero_dianjishou.skel,,2,5,,,3,1.5,35,{y=120;x=10},3,9
893,玛力露丽,,300011,volleyball_mlll/hero_mlll.skel,,2,5,,,3,,37,{y=95;x=15},,40
1392,奇鲁莉安,,300011,volleyball_qilulian1/qilulian1.skel,,2,5,,,2,,35,{y=120;x=4},2,15
2242,路卡利欧,,300011,volleyball_lukaliou/lulikaou.skel,2,2,5,,,3,,35,{y=120;x=40},4,30
2591,石丸子,,300011,volleyball_shiwanzi/shiwanzi.skel,2,3,5,,,2,,40,{y=110;x=4},4,60
11852,冰鬼护,,300011,volleyball_bingguihu/bingguihu.skel,2,3,5,16,,2,,60,{y=80;x=10},,9
