VariableName,weatherType,name,name_tw,name_en,name_vn,name_kr,iconRes,describe,describe_tw,describe_en,describe_vn,describe_kr,effectRes,lifeRound,overlay,targetArgs,regEffect,buffId,buffValueGroup
Defaults,,,,,,,,,,,,,,,,,,,
ID,天气类型(对应不同的天气类型,天气名字,天气名字,天气名字,天气名字_越南,天气名字_韩,天气icon资源路径,天气介绍,天气介绍,天气介绍,天气介绍_越南,天气介绍_韩,天气特效资源路径,初始持续回合,覆盖层级(1-99数值小的覆盖数值大的，同一优先级的后触发的天气覆盖之前存在的天气),效果目标参会数（预留）,固定效果效果组（预留）<{百分比值要加 百分号};{固定值直接填}>,天气buffID组<<>;<>>  ,天气组buff效果参数组每一组必须有三个参数<<{};{}>;<{}>> {buffProb=1;buffLifeRound=4;buffValue=-target:hpMax()*0.2}
,,,,,,,battle/weather_icon/icon_turbulence.png,,,,,,,,,,,,
1,1,,,,,,battle/weather_icon/icon_rain.png,,,,,,weather/xiayu.skel,4,99,,<{skillPower=10%};{skillPower=-10%}>,,
2,2,,,,,,battle/weather_icon/icon_thunderstorm.png,,,,,,weather/leiyu.skel,4,99,,<{skillPower=10%};{skillPower=-10%}>,,
3,3,,,,,,battle/weather_icon/icon_snow.png,,,,,,weather/xuehua.skel,4,99,,,<<990001>>,<<{buffValue=-target:hpMax()*0.1;buffLifeRound=4;buffProb=1}>>
4,4,,,,,,battle/weather_icon/icon_sandstorm.png,,,,,,weather/shachen.skel,4,99,,,<<990002>;<990003>>,<<{buffValue=-target:hpMax()*0.15;buffLifeRound=4;buffProb=1}>;<{buffValue=target:specialDefence()*0.45;buffLifeRound=4;buffProb=1}>>
5,5,,,,,,battle/weather_icon/icon_turbulence.png,,,,,,weather/luanliu.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
6,6,,,,,,battle/weather_icon/icon_sun.png,,,,,,weather/darizhao.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
7,7,,,,,,battle/weather_icon/icon_fog.png,,,,,,weather/nongwu.skel,10,99,,,<<990001>>,<<{buffValue=-target:hpMax()*0.1;buffLifeRound=10;buffProb=1}>>
8,8,,,,,,battle/weather_icon/icon_nightmoon.png,,,,,,weather/yewan.skel,10,99,,,<<990002>;<990003>>,<<{buffValue=-target:hpMax()*0.15;buffLifeRound=10;buffProb=1}>;<{buffValue=target:specialDefence()*0.45;buffLifeRound=10;buffProb=1}>>
9,9,,,,,,battle/weather_icon/icon_nightmoon.png,,,,,,weather/yewan.skel,10,99,,,<<990002>;<990003>>,<<{buffValue=-target:hpMax()*0.15;buffLifeRound=10;buffProb=1}>;<{buffValue=target:specialDefence()*0.45;buffLifeRound=10;buffProb=1}>>
