VariableName,huodongID,_beizhu,bossID,gateID,baseHP,serverTargetAward,serverTargetRes,desc,bg,skillIcon,bossPos,bossScale
Defaults,0,,0,0,100000,{},,"""""","""""",<>,{},1
ID,活动版本号,备注,BOSS的ID,关卡ID,基础血量,全服目标奖励,全服目标奖励宝箱资源,BOSS描述,背景图,技能图标显示,boss位置,boss缩放
1,1001,,25001,70001,30000000,{gold=100000;rmb=100;talent_point=1},config/world_boss/box/bx.png,,battle/scene/battle_map_2.png,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,,0.9
2,1002,,25102,70002,30000000,{rmb=100;2103=5;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_31.png,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,,0.9
3,1003,,25001,70001,30000000,{850=100;rmb=100;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_2.png,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,,0.9
4,1004,,25102,70002,30000000,{rmb=100;451=60;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_31.png,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,,0.9
5,1005,,25001,70001,30000000,{gold=100000;rmb=100;talent_point=1},config/world_boss/box/bx.png,,battle/scene/battle_map_2.png,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,,0.9
6,1006,,25102,70002,30000000,{rmb=100;2103=5;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_31.png,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,,0.9
7,1007,,25001,70001,30000000,{850=100;rmb=100;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_2.png,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,,0.9
8,1008,,25102,70002,30000000,{rmb=100;451=60;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_31.png,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,,0.9
9,1009,,25001,70001,30000000,{gold=100000;rmb=100;talent_point=1},config/world_boss/box/bx.png,,battle/scene/battle_map_2.png,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,,0.9
10,1010,,25102,70002,30000000,{rmb=100;2103=5;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_31.png,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,,0.9
11,1011,,25001,70001,30000000,{850=100;rmb=100;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_2.png,<config/world_boss/skill_icon/icon_1.png;config/world_boss/skill_icon/icon_2.png;config/world_boss/skill_icon/icon_3.png;config/world_boss/skill_icon/icon_4.png>,,0.9
12,1012,,25102,70002,30000000,{rmb=100;451=60;gold=100000},config/world_boss/box/bx.png,,battle/scene/battle_map_31.png,<config/world_boss/skill_icon/icon_5.png;config/world_boss/skill_icon/icon_6.png;config/world_boss/skill_icon/icon_7.png;config/world_boss/skill_icon/icon_8.png>,,0.9
