VariableName,huodongID,_beizhu,rank,award,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
Defaults,,,,{},无奖励吗,无奖励吗,无奖励吗,无奖励吗,无奖励吗,无奖励吗,无奖励吗
ID,活动版本号,备注,名次内,排行奖励,奖励描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
1,1001,,1,{5000=60;gold=800000;talent_point=4},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
2,1001,,2,{5000=50;gold=600000;talent_point=3},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
3,1001,,3,{5000=45;gold=550000;talent_point=3},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
4,1001,,6,{5000=40;gold=500000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
5,1001,,10,{5000=35;gold=450000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
6,1001,,30,{5000=30;gold=400000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
7,1001,,60,{5000=25;gold=350000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
8,1001,,100,{5000=20;gold=300000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
9,1001,,300,{5000=18;gold=250000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
10,1001,,600,{5000=16;gold=200000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
11,1001,,1000,{5000=14;gold=180000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
12,1001,,99999,{5000=12;gold=160000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
101,1002,,1,{930=60;2103=15;gold=800000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
102,1002,,2,{930=50;2103=12;gold=600000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
103,1002,,3,{930=45;2103=12;gold=550000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
104,1002,,6,{930=40;2103=10;gold=500000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
105,1002,,10,{930=35;2103=10;gold=450000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,World Boss Reward  
