VariableName,huodongID,_beizhu,rank,award,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
Defaults,,,,{},无奖励吗,无奖励吗,无奖励吗,无奖励吗,无奖励吗,无奖励吗,无奖励吗
ID,活动版本号,备注,名次内,排行奖励,奖励描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma
1,1001,,1,{14=30;gold=250000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
2,1001,,2,{14=25;gold=200000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
3,1001,,3,{14=20;gold=160000;talent_point=2},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
4,1001,,6,{14=15;gold=140000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
5,1001,,10,{14=12;gold=120000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
6,1001,,30,{14=10;gold=100000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
7,1001,,999,{14=8;gold=90000;talent_point=1},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
101,1002,,1,{14=30;2103=8;gold=250000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
102,1002,,2,{14=25;2103=7;gold=200000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
103,1002,,3,{14=20;2103=6;gold=160000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
104,1002,,6,{14=15;2103=5;gold=140000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
105,1002,,10,{14=12;2103=5;gold=120000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
106,1002,,30,{14=10;2103=4;gold=100000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
107,1002,,999,{14=8;2103=4;gold=90000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
201,1003,,1,{850=160;14=30;gold=250000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
202,1003,,2,{850=140;14=25;gold=200000},World BOSS rewards,Phần thưởng BOSS thế giới,World BOSS rewards,รางวัลบอสโลก,Hadiah BOSS Dunia,Gantimpala ng World BOSS,Ganjaran Boss Dunia
