VariableName,huodongID,mainItem,minorItem,compoundItem,desc,desc_tw,desc_en,desc_vn,desc_th,desc_in,desc_ph,desc_ma
Defaults,0,{},{},{},"""""","""""","""""","""""","""""","""""","""""",""""""
ID,活动版本ID,主料道具,配料道具,合成道具,功能描述,功能描述,功能描述,功能描述,功能描述,功能描述,功能描述,功能描述
1,1001,{6352=1},{6355=1},{6358=1},（带有桂花香气的龙舟粽）,,(Osmanthus Dumpling),(Bánh ú hoa quế),(ขนมเรือมังกร),(Ketupat Osanthus),(Osmanthus Dumpling),(Pulut Osmanthus)
2,1001,{6352=1},{6356=1},{6358=1},（有着绵密蛋黄的龙舟粽）,,(Smooth Salted Egg),(Trứng muối mịn),(ไข่เค็มเนียน),(Telur Asin Halus),(Malatamis Itlog),(Telur Masin)
3,1001,{6352=1},{6357=1},{6358=1},（附带板栗甜香的龙舟粽）,,(Sweet Chestnut),(Hạt dẻ ngọt),(เกาลัดหวาน),(Rasa Kastanye),(Matamis Kastanye),(Rasa Kastanye)
4,1001,{6353=1},{6355=1},{6359=1},（鲜肉与桂花组合的口味）,,(Fresh Meat),(Hương thịt tươi),(รสเนื้อสด),(Daging Segar),(Sariwang Karne),(Daging Segar)
5,1001,{6353=1},{6356=1},{6360=1},,,,,,,,
6,1001,{6353=1},{6357=1},{6361=1},,,,,,,,
7,1001,{6354=1},{6356=1},{6359=1},（蜜枣与蛋黄组合的口味）,,(Honey Apple Flavor),(Hương táo mật),(รสแอปเปิ้ลน้ำผึ้ง),(Rasa Apel Madu),(Lasa Mansanas Pulot),(Rasa Epal Madu)
8,1001,{6354=1},{6357=1},{6362=1},,,,,,,,
9,1001,{6354=1},{6355=1},{6363=1},,,,,,,,
10,1002,{6352=1},{6355=1},{6358=1},（带有桂花香气的龙舟粽）,（帶有桂花香氣的龍舟粽）,(Osmanthus Dumpling),(Bánh ú hoa quế),(ขนมเรือมังกร),(Ketupat Osanthus),(Osmanthus Dumpling),(Pulut Osmanthus)
11,1002,{6352=1},{6356=1},{6358=1},（有着绵密蛋黄的龙舟粽）,（有著綿密蛋黃的龍舟粽）,(Smooth Salted Egg),(Trứng muối mịn),(ไข่เค็มเนียน),(Telur Asin Halus),(Malatamis Itlog),(Telur Masin)
12,1002,{6352=1},{6357=1},{6358=1},（附带板栗甜香的龙舟粽）,（附帶板栗甜香的龍舟粽）,(Sweet Chestnut),(Hạt dẻ ngọt),(เกาลัดหวาน),(Rasa Kastanye),(Matamis Kastanye),(Rasa Kastanye)
13,1002,{6353=1},{6355=1},{6359=1},（鲜肉与桂花组合的口味）,（鮮肉與桂花組合的口味）,(Fresh Meat Flavor),(Hương thịt tươi),(รสเนื้อสด),(Rasa Daging Segar),(Lasa Karne Sariwa),(Rasa Daging Segar)
14,1002,{6353=1},{6356=1},{6360=1},,,,,,,,
15,1002,{6353=1},{6357=1},{6361=1},,,,,,,,
16,1002,{6354=1},{6356=1},{6359=1},（蜜枣与蛋黄组合的口味）,（蜜棗與蛋黃組合的口味）,(Honey Apple Flavor),(Hương táo mật),(รสแอปเปิ้ลน้ำผึ้ง),(Rasa Apel Madu),(Lasa Mansanas Pulot),(Rasa Epal Madu)
17,1002,{6354=1},{6357=1},{6362=1},,,Function Description,Mô tả chức năng,คำอธิบายฟังก์ชัน,Deskripsi Fungsi,Paglalarawan ng Function,Deskripsi Fungsi
18,1002,{6354=1},{6355=1},{6363=1},,,(Dragon Boat dumplings fragrant with woody aroma),(Há cảo thuyền rồng thơm ngào ngạt hương mộc),(เกี๊ยวเรือมังกรมีกลิ่นหอมไม้),(Pangsit Perahu Naga harum dengan aroma kayu),(Halad ng Dragon Boat na may amoy ng kahoy),(Pangsit Perahu Naga harum dengan aroma kayu)
