VariableName,huodongID,taskParam,award
Defaults,0,9999,{}
ID,活动版本ID,目标数量,任务奖励
1,1001,5,{stamina=50;gold=999999;502=5;rmb=199}
2,1001,10,{stamina=100;gold=1999999;502=5;rmb=399;452=200}
3,1001,20,{2405=1;502=5;gold=2999999;rmb=699;851=200}
4,1001,30,{stamina=200;gold=3999999;521=5;rmb=999;974=1}
5,1001,50,{2660=1;gold=4999999;521=10;rmb=1999;7305=1}
11,1002,5,{gold=200000;519=1;2327=1;rmb=50}
12,1002,10,{502=3;gold=200000;519=2;rmb=50}
13,1002,20,{2029=1;519=2;gold=300000;rmb=100}
14,1002,30,{519=2;gold=300000;501=1;rmb=100}
15,1002,50,{2660=1;gold=500000;519=3;rmb=150}
