VariableName,huodongID,cardid,remark,star,freeaward,item,limit,rechargeID,name,name_my,name_en,name_vn,name_th,name_ph
Defaults,0,0,"""""",0,{},{},10,-1,"""""","""""","""""","""""","""""",""""""
ID,huodongID,cardid,remark,star,freeaward,item,limit,rechargeID,name,name_my,name_en,name_vn,name_th,name_ph
1,1000,572,Rayquaza,0,{rmb=500},{15=50;gold=1000000;rmb=2888;card={id=572}},1,106,Bản chính,,,,,
2,1000,572,Rayquaza,4,{19=10},{19=10;15=10;rmb=388;20572=10},3,103,Gói 4 sao Hero,,,,,
3,1000,572,Rayquaza,5,{100=15},{15=20;100=15;rmb=888;20572=20},3,106,Gói 5 sao Hero,,,,,
4,1000,572,Rayquaza,6,{talent_point=20},{15=40;talent_point=20;rmb=1888;20572=35},3,107,Gói 6 sao Hero,,,,,
5,1000,572,Rayquaza,7,{452=300},{15=60;452=300;rmb=2888;20572=50},3,108,Gói 7 sao Hero,,,,,
6,1000,572,Rayquaza,8,{604=200},{20572=60;gold=1000000;rmb=3888;604=200},3,109,Gói 8 sao Hero,,,,,
7,1000,572,Rayquaza,9,{501=25},{20572=70;gold=2000000;rmb=5888;501=25},3,110,Gói 9 sao Hero,,,,,
8,1000,572,Rayquaza,10,{6059=1},{20572=80;gold=3000000;6059=1;rmb=6888},3,111,Gói 10 sao Hero,,,,,
9,1000,572,Rayquaza,11,{945=1},{20572=120;gold=6660000;945=1;rmb=9888},2,112,Gói 11 sao Hero,,,,,
10,1000,572,Rayquaza,12,{2153=1},{20572=160;gold=8880000;rmb=18888;6105=1},1,113,Gói 12 sao Hero,,,,,
101,1001,393,Hades,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=393}},1,108,Bản chính,,,,,
102,1001,393,Hades,4,{19=10},{20393=10;15=10;rmb=388;19=10},3,103,Gói 4 sao Hero,,,,,
103,1001,393,Hades,5,{100=15},{20393=20;15=20;100=15;rmb=888},3,106,Gói 5 sao Hero,,,,,
104,1001,393,Hades,6,{talent_point=20},{20393=35;15=40;talent_point=20;rmb=1888},3,107,Gói 6 sao Hero,,,,,
105,1001,393,Hades,7,{452=300},{20393=50;15=60;452=300;rmb=2888},3,108,Gói 7 sao Hero,,,,,
106,1001,393,Hades,8,{604=200},{20393=60;604=200;gold=1000000;rmb=3888},3,109,Gói 8 sao Hero,,,,,
107,1001,393,Hades,9,{501=25},{20393=70;gold=2000000;rmb=5888;501=25},3,110,Gói 9 sao Hero,,,,,
108,1001,393,Hades,10,{6059=1},{20393=80;6059=1;gold=3000000;rmb=6888},3,111,Gói 10 sao Hero,,,,,
109,1001,393,Hades,11,{945=1},{20393=120;gold=6660000;945=1;rmb=9888},2,112,Gói 11 sao Hero,,,,,
110,1001,393,Hades,12,{2153=1},{20393=160;gold=8880000;rmb=18888;6105=1},1,113,Gói 12 sao Hero,,,,,
201,1001,701,Levi Ackerman,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=701}},1,108,Bản chính,,,,,
202,1001,701,Levi Ackerman,4,{19=10},{19=10;15=10;rmb=388;20701=10},3,103,Gói 4 sao Hero,,,,,
203,1001,701,Levi Ackerman,5,{100=15},{15=20;100=15;rmb=888;20701=20},3,106,Gói 5 sao Hero,,,,,
204,1001,701,Levi Ackerman,6,{talent_point=20},{15=40;talent_point=20;rmb=1888;20701=35},3,107,Gói 6 sao Hero,,,,,
205,1001,701,Levi Ackerman,7,{452=300},{15=60;452=300;rmb=2888;20701=50},3,108,Gói 7 sao Hero,,,,,
206,1001,701,Levi Ackerman,8,{604=200},{20701=60;gold=1000000;rmb=3888;604=200},3,109,Gói 8 sao Hero,,,,,
207,1001,701,Levi Ackerman,9,{501=25},{20701=70;gold=2000000;rmb=5888;501=25},3,110,Gói 9 sao Hero,,,,,
208,1001,701,Levi Ackerman,10,{6059=1},{20701=80;gold=3000000;6059=1;rmb=6888},3,111,Gói 10 sao Hero,,,,,
209,1001,701,Levi Ackerman,11,{945=1},{20701=120;gold=6660000;945=1;rmb=9888},2,112,Gói 11 sao Hero,,,,,
210,1001,701,Levi Ackerman,12,{2153=1},{20701=160;gold=8880000;rmb=18888;6105=1},1,113,Gói 12 sao Hero,,,,,
301,1001,721,Toosaka Rin,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=721}},1,108,Bản chính,,,,,
302,1001,721,Toosaka Rin,4,{19=10},{19=10;15=10;20721=10;rmb=388},3,103,Gói 4 sao Hero,,,,,
303,1001,721,Toosaka Rin,5,{100=15},{15=20;100=15;20721=20;rmb=888},3,106,Gói 5 sao Hero,,,,,
304,1001,721,Toosaka Rin,6,{talent_point=20},{15=40;talent_point=20;20721=35;rmb=1888},3,107,Gói 6 sao Hero,,,,,
305,1001,721,Toosaka Rin,7,{452=300},{15=60;452=300;20721=50;rmb=2888},3,108,Gói 7 sao Hero,,,,,
306,1001,721,Toosaka Rin,8,{604=200},{604=200;gold=1000000;20721=60;rmb=3888},3,109,Gói 8 sao Hero,,,,,
307,1001,721,Toosaka Rin,9,{501=25},{gold=2000000;20721=70;rmb=5888;501=25},3,110,Gói 9 sao Hero,,,,,
308,1001,721,Toosaka Rin,10,{6059=1},{6059=1;gold=3000000;20721=80;rmb=6888},3,111,Gói 10 sao Hero,,,,,
309,1001,721,Toosaka Rin,11,{945=1},{gold=6660000;20721=120;rmb=9888;945=1},2,112,Gói 11 sao Hero,,,,,
310,1001,721,Toosaka Rin,12,{2153=1},{gold=8880000;20721=160;rmb=18888;6105=1},1,113,Gói 12 sao Hero,,,,,
401,1001,771,Madoka,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=771}},1,108,Bản chính,,,,,
402,1001,771,Madoka,4,{19=10},{19=10;15=10;rmb=388;20771=10},3,103,Gói 4 sao Hero,,,,,
403,1001,771,Madoka,5,{100=15},{15=20;100=15;rmb=888;20771=20},3,106,Gói 5 sao Hero,,,,,
404,1001,771,Madoka,6,{talent_point=20},{15=40;talent_point=20;rmb=1888;20771=35},3,107,Gói 6 sao Hero,,,,,
405,1001,771,Madoka,7,{452=300},{15=60;452=300;rmb=2888;20771=50},3,108,Gói 7 sao Hero,,,,,
406,1001,771,Madoka,8,{604=200},{20771=60;gold=1000000;rmb=3888;604=200},3,109,Gói 8 sao Hero,,,,,
407,1001,771,Madoka,9,{501=25},{20771=70;gold=2000000;rmb=5888;501=25},3,110,Gói 9 sao Hero,,,,,
408,1001,771,Madoka,10,{6059=1},{20771=80;gold=3000000;6059=1;rmb=6888},3,111,Gói 10 sao Hero,,,,,
409,1001,771,Madoka,11,{945=1},{20771=120;gold=6660000;945=1;rmb=9888},2,112,Gói 11 sao Hero,,,,,
410,1001,771,Madoka,12,{2153=1},{20771=160;gold=8880000;rmb=18888;6105=1},1,113,Gói 12 sao Hero,,,,,
501,1001,1231,Kurosaki Ichigo,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=1231}},1,108,Bản chính,,,,,
502,1001,1231,Kurosaki Ichigo,4,{19=10},{19=10;15=10;rmb=388;21231=10},3,103,Gói 4 sao Hero,,,,,
503,1001,1231,Kurosaki Ichigo,5,{100=15},{15=20;100=15;rmb=888;21231=20},3,106,Gói 5 sao Hero,,,,,
504,1001,1231,Kurosaki Ichigo,6,{talent_point=20},{15=40;talent_point=20;rmb=1888;21231=35},3,107,Gói 6 sao Hero,,,,,
505,1001,1231,Kurosaki Ichigo,7,{452=300},{15=60;452=300;rmb=2888;21231=50},3,108,Gói 7 sao Hero,,,,,
506,1001,1231,Kurosaki Ichigo,8,{604=200},{604=200;gold=1000000;rmb=3888;21231=60},3,109,Gói 8 sao Hero,,,,,
507,1001,1231,Kurosaki Ichigo,9,{501=25},{gold=2000000;rmb=5888;21231=70;501=25},3,110,Gói 9 sao Hero,,,,,
508,1001,1231,Kurosaki Ichigo,10,{6059=1},{6059=1;gold=3000000;rmb=6888;21231=80},3,111,Gói 10 sao Hero,,,,,
509,1001,1231,Kurosaki Ichigo,11,{945=1},{gold=6660000;945=1;rmb=9888;21231=120},2,112,Gói 11 sao Hero,,,,,
510,1001,1231,Kurosaki Ichigo,12,{2153=1},{gold=8880000;rmb=18888;6105=1;21231=160},1,113,Gói 12 sao Hero,,,,,
601,1001,1393,Homura Akemi,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=1393}},1,108,Bản chính,,,,,
602,1001,1393,Homura Akemi,4,{19=10},{19=10;15=10;rmb=388;21393=10},3,103,Gói 4 sao Hero,,,,,
603,1001,1393,Homura Akemi,5,{100=15},{15=20;100=15;rmb=888;21393=20},3,106,Gói 5 sao Hero,,,,,
604,1001,1393,Homura Akemi,6,{talent_point=20},{15=40;talent_point=20;rmb=1888;21393=35},3,107,Gói 6 sao Hero,,,,,
605,1001,1393,Homura Akemi,7,{452=300},{15=60;452=300;rmb=2888;21393=50},3,108,Gói 7 sao Hero,,,,,
606,1001,1393,Homura Akemi,8,{604=200},{604=200;gold=1000000;rmb=3888;21393=60},3,109,Gói 8 sao Hero,,,,,
607,1001,1393,Homura Akemi,9,{501=25},{gold=2000000;501=25;rmb=5888;21393=70},3,110,Gói 9 sao Hero,,,,,
608,1001,1393,Homura Akemi,10,{6059=1},{6059=1;gold=3000000;rmb=6888;21393=80},3,111,Gói 10 sao Hero,,,,,
609,1001,1393,Homura Akemi,11,{945=1},{gold=6660000;945=1;rmb=9888;21393=120},2,112,Gói 11 sao Hero,,,,,
610,1001,1393,Homura Akemi,12,{2153=1},{gold=8880000;rmb=18888;6105=1;21393=160},1,113,Gói 12 sao Hero,,,,,
701,1001,1503,Maple,0,{rmb=1000},{15=50;gold=1000000;rmb=2888;card={id=1503}},1,108,Bản chính,,,,,
