VariableName,huodongID,rechargeID,icon,name,name_th,awards,buyTimes,optionalAwards1,optionalAwards2,optionalAwards3,optionalAwards4
Defaults,,0,"""""","""""","""""",{},0,<>,<>,<>,<>
ID,活动版本号,对应的兑换ID,礼包资源图,优惠礼包,优惠礼包,固定奖励（可为空）,限购次数,自选槽位配置1,自选槽位配置2,自选槽位配置3,自选槽位配置4
1,1001,101,,1元订制礼包,1元订制礼包,,1,<{53=20};{111=10};{rmb=30};{card={id=11}}>,,,
2,1001,102,,6元订制礼包,6元订制礼包,,2,<{602=10};{925=1};{rmb=30};{card={id=11}}>,,,
3,1001,103,,12元订制礼包,12元订制礼包,{rmb=200},1,<{602=10};{925=1};{rmb=30};{card={id=11}}>,,,
4,1001,104,,18元订制礼包,18元订制礼包,{rmb=300},2,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,,,
5,1001,105,,25元订制礼包,25元订制礼包,,1,<{20001=5};{925=1};{rmb=30};{card={id=11}}>,,,
6,1001,106,,30元订制礼包,30元订制礼包,,2,<{20641=10};{20721=10};{20731=10};{20741=10}>,<{coin7=300};{coin8=300};{coin14=300};{coin1=300}>,,
7,1001,107,,60元订制礼包,60元订制礼包,{rmb=600},1,<{card={id=1031}};{card={id=1081}};{card={id=1171}};{card={id=1291}}>,,,
8,1001,108,,98元订制礼包,98元订制礼包,,2,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,<{coin7=1000};{coin8=1000};{coin14=1000};{coin1=1000}>,<{53=90};{11=90};{100=60};{523=40}>,
9,1001,109,,128元订制礼包,128元订制礼包,{rmb=1280},1,<{card={id=1221}};{card={id=1231}};{card={id=1241}}>,,,
10,1001,110,,168元订制礼包,168元订制礼包,{rmb=1680},2,<{502=50};{521=20}>,<{gold=1000000};{coin6=1000};{coin10=1000};{coin11=1000}>,,
11,1001,111,,198元订制礼包,198元订制礼包,{967=20},1,<{602=100};{603=60}>,<{6231=2};{6232=2};{6233=2};{6234=2}>,,
12,1001,112,,328元订制礼包,328元订制礼包,,2,<{502=100};{521=50}>,<{coin7=5000};{coin8=5000};{coin14=5000};{coin1=5000}>,<{53=300};{11=300};{100=100};{523=100}>,<{20641=50};{20721=50};{20731=50};{20741=50}>
13,1001,113,,648元订制礼包,648元订制礼包,{rmb=6480},1,<{card={id=1971}};{card={id=1961}};{card={id=1981}}>,<{coin7=10000};{coin8=10000};{coin14=10000};{coin1=10000}>,,
101,1002,102,,Custom Pack 1,แพ็กปรับแต่ง 30,{rmb=1000},1,<{gold=500000}>,<{503=20};{519=20};{520=20}>,<{502=10};{19=10};{500=1}>,
102,1002,106,,Custom Pack 2,แพ็กปรับแต่ง 150,{rmb=5000},1,<{gold=3000000};{5000=1000};{501=30};{100=10};{502=30};{930=100};{19=30}>,<{503=30};{520=30};{519=30};{531=10};{537=10};{452=200};{851=200};{152=30};{112=50}>,<{451=300};{2103=10};{902=10};{850=300};{151=200};{111=100};{529=750};{124=10};{4000=200}>,
103,1002,107,,Custom Pack 3,แพ็กปรับแต่ง 300,{rmb=10000},1,<{112=80};{5000=2000};{gold=5000000};{501=30};{100=30};{521=30};{930=300};{19=50}>,<{452=300};{503=50};{604=50};{851=300};{152=100};{531=30};{537=30};{520=30}>,<{451=500};{2103=30};{902=20};{850=500};{151=300};{111=200};{529=1500};{124=30};{4000=300}>,
104,1002,108,,Custom Pack 4,แพ็กปรับแต่ง 450,{rmb=15000},1,<{100=50};{501=50};{gold=10000000};{521=50};{930=500};{19=80}>,<{452=500};{503=70};{604=100};{851=500};{152=200};{112=150};{531=30};{537=50};{520=20}>,<{451=1000};{2103=30};{902=30};{850=1000};{151=500};{111=500};{529=2000};{124=50};{4000=500}>,
105,1002,111,,Custom Pack 5,แพ็กปรับแต่ง 900,{rmb=20000},1,<{521=80};{2153=1};{942=1};{994=3};{7325=3}>,<{452=1000};{503=100};{604=200};{851=800};{152=300};{112=300};{531=60};{537=80};{520=30}>,<{451=2000};{2103=60};{902=60};{850=2000};{151=1000};{111=1000};{529=4000};{124=100};{4000=1000}>,
106,1002,112,,Custom Pack 6,แพ็กปรับแต่ง 1500,{rmb=30000},1,<{521=120};{2153=2};{942=2};{994=4};{7325=4}>,<{452=2000};{503=100};{604=300};{851=2000};{152=500};{112=500};{531=100};{537=160};{520=50}>,<{451=3000};{2103=100};{902=100};{850=3000};{151=1500};{111=1500};{529=6000};{124=150};{4000=1500}>,
107,1002,113,,Custom Pack 7,แพ็กปรับแต่ง 3000,{rmb=50000},1,<{521=240};{2153=3};{942=3};{994=5};{7325=5}>,<{452=3000};{503=200};{604=500};{851=3000};{152=800};{112=1000};{531=200};{537=320};{520=100}>,<{451=5000};{2103=200};{902=200};{850=5000};{151=3000};{111=3000};{529=12000};{124=300};{4000=3000}>,
